id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
d_subquest_1062_16,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_16,True,,1,worry,,3,idle,,13,idle,,2,2,1.0,,
d_subquest_1062_17,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_17,True,,1,worry,,3,idle,,13,idle,,2,12,1.0,,
d_subquest_1062_18,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_18,True,,1,void,,3,idle,,13,idle,,12,10,2.0,none,
d_subquest_1062_19,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_19,True,,1,void,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1062_20,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_20,True,,1,void,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1062_21,d_subquest_1062,Speech,neon,neon,Locale_SubScenario:d_subquest_1062_21,True,,1,void,,3,idle,,13,idle,,10,S_30,1.0,bgm_story_fairytalesend_if,
d_subquest_1062_22,d_subquest_1062,Self,neon,Self,Locale_SubScenario:d_subquest_1062_22,True,,1,void,,3,idle,,13,idle,,S_30,S_30,1.0,,
d_subquest_1062_23,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_23,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,
d_subquest_1062_24,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_24,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,
d_subquest_1062_25,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_25,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,
d_subquest_1062_26,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_26,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,
d_subquest_1062_27,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_27,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,
d_subquest_1062_28,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_28,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,
d_subquest_1062_29,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_29,True,,1,void,,3,idle,,13,idle,,130,130,1.0,,
d_subquest_1062_30,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_30,True,,1,pain,,3,idle,,13,idle,,130,10,2.0,,
d_subquest_1062_31,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_31,True,,1,pain,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1062_32,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_32,True,,1,pain,,3,idle,,13,idle,,10,10,1.0,,
d_subquest_1062_33,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_33,True,,1,pain,,3,idle,,13,think,,130,130,1.0,,
d_subquest_1062_34,d_subquest_1062,Speech,anis,anis,Locale_SubScenario:d_subquest_1062_34,True,,1,sad,,3,idle,,13,think,,10,10,1.0,,
d_subquest_1062_35,d_subquest_1062,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1062_35,True,,1,sad,,3,idle,,13,idle,,10,130,2.0,,
