id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_20_10_s_15,d_main_20_10_s,Speech,neon,Locale_MainScenario:d_main_20_10_s_15,True,,S_130,S_130,1.0,,,,neon,,,,,,1,idle,,13,angry,,15,void,,17,think
d_main_20_10_s_16,d_main_20_10_s,Speech,neon,Locale_MainScenario:d_main_20_10_s_16,True,,S_130,S_130,1.0,,,,neon,,,,,,1,idle,,13,angry,,15,void,,17,think
d_main_20_10_s_17,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_17,True,,14,14,1.0,,,,anis,,,,,,1,idle,,13,angry,,15,worry,,17,think
d_main_20_10_s_18,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_18,True,,14,14,1.0,,,,anis,,,,,,1,idle,,13,angry,,15,worry,,17,think
d_main_20_10_s_19,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_19,True,,14,150,2.0,,,,anis,,,,,,1,idle,,13,idle,,15,idle,,17,think
d_main_20_10_s_20,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_20,True,,150,150,1.0,,,,anis,,,,,,1,idle,,13,idle,,15,idle,,17,think
d_main_20_10_s_21,d_main_20_10_s,Speech,rapi,Locale_MainScenario:d_main_20_10_s_21,True,,10,10,1.0,,,,rapi,,,,,,1,think,,13,idle,,15,void,,17,think
d_main_20_10_s_22,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_22,True,,150,150,1.0,,,,anis,,,,,,1,think,,13,idle,,15,worry,,17,think
d_main_20_10_s_23,d_main_20_10_s,Self,Self,Locale_MainScenario:d_main_20_10_s_23,False,,150,150,1.0,,,,,,,,,,1,idle,,13,idle,,15,worry,,17,think
d_main_20_10_s_24,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_24,True,,150,150,1.0,,,,anis,,,,,,1,idle,,13,idle,,15,idle,,17,think
d_main_20_10_s_25,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_25,True,,150,150,1.0,,,,anis,,,,,,1,idle,,13,idle,,15,idle,,17,think
d_main_20_10_s_26,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_26,True,,150,150,1.0,,,,anis,,,,,,1,idle,,13,idle,,15,idle,,17,think
d_main_20_10_s_27,d_main_20_10_s,Self,Self,Locale_MainScenario:d_main_20_10_s_27,False,,150,150,1.0,,,,,,,,,,1,idle,,13,idle,,15,idle,,17,think
d_main_20_10_s_28,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_28,True,,150,150,1.0,,,,anis,,,,,,1,idle,,13,idle,,15,idle,,17,think
d_main_20_10_s_29,d_main_20_10_s,Speech,anis,Locale_MainScenario:d_main_20_10_s_29,True,,150,150,1.0,,,,anis,,,,,,1,idle,,13,idle,,15,idle,,17,think
