id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_04af_02_35,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_35,True,,S_70,S_70,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_36,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_36,True,,S_70,S_700,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_37,d_main_04af_02,Speech,syuen,syuen,Locale_MainScenario:d_main_04af_02_37,True,,S_700,S_700,1.0,,,,1,idle,,,3,angry,,13,idle,,7,delight
d_main_04af_02_38,d_main_04af_02,Narration,syuen,Narration,Locale_MainScenario:d_main_04af_02_38,True,,S_700,1,1.0,,,,1,idle,,,3,angry,,13,idle,,9,delight
d_main_04af_02_39,d_main_04af_02,Speech,neon,neon,Locale_MainScenario:d_main_04af_02_39,True,,1,113,1.0,,,,1,idle,,,3,angry,,13,idle,,,
d_main_04af_02_40,d_main_04af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_02_40,True,,113,113,1.0,,,,1,idle,,,3,angry,,13,idle,,,
d_main_04af_02_41,d_main_04af_02,Speech,neon,neon,Locale_MainScenario:d_main_04af_02_41,True,,113,113,1.0,,,,1,idle,,,3,angry,,13,idle,,,
d_main_04af_02_42,d_main_04af_02,Speech,rapi,rapi,Locale_MainScenario:d_main_04af_02_42,True,,113,10,1.0,,,,1,idle,,,3,angry,,13,idle,,,
d_main_04af_02_43,d_main_04af_02,Narration,Narration,Narration,Locale_MainScenario:d_main_04af_02_43,True,,10,10,1.0,,,,1,idle,rapi,,3,angry,,13,idle,,,
d_main_04af_02_44,d_main_04af_02,Monologue,,,Locale_MainScenario:d_main_04af_02_44,True,,10,10,1.0,,,,,,,,,angry,,13,idle,,,
