id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_modernbar_04_44,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_44,True,,1315,1315,1.0,,laplace,laplace,,5,idle,,13,idle,,15,smile,,
d_ex_modernbar_04_45,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_45,True,,1315,1315,1.0,,noise,noise,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_46,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_46,False,,1315,1315,1.0,,,,,5,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_47,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_47,False,,1315,5,1.0,,dolla,dolla,,5,no,,13,idle,,15,idle,,
d_ex_modernbar_04_48,d_ex_modernbar_04,Monologue,Locale_SuddenStory:d_ex_modernbar_04_48,False,,5,5,1.0,,,,,5,no,,13,idle,,15,idle,,
d_ex_modernbar_04_49,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_49,False,,5,1315,1.0,,,,,5,no,,13,idle,,15,idle,,
d_ex_modernbar_04_50,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_50,False,,1315,1315,1.0,,laplace,laplace,,5,idle,,13,think,,15,idle,,
d_ex_modernbar_04_51,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_51,False,,1315,1315,1.0,,noise,noise,,5,idle,,13,think,,15,idle,,
d_ex_modernbar_04_52,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_52,False,,1315,150,2.0,,noise,noise,,5,idle,,13,think,,15,think,,
d_ex_modernbar_04_53,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_53,True,,150,150,1.0,,noise,noise,,5,idle,,13,think,,15,angry,,
d_ex_modernbar_04_54,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_54,True,,150,1500,1.0,,noise,noise,,5,idle,,13,think,,15,angry,,
d_ex_modernbar_04_55,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_55,True,,1500,1500,1.0,,noise,noise,,5,idle,,13,think,,15,angry,,
d_ex_modernbar_04_56,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_56,True,,1500,1315,2.0,,noise,noise,,5,idle,,13,think,,15,think,,
d_ex_modernbar_04_57,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_57,True,,1315,1315,1.0,,noise,noise,,5,idle,,13,think,,15,smile,,
d_ex_modernbar_04_58,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_58,True,,1315,1315,1.0,,laplace,laplace,,5,idle,,13,delight,,15,smile,,
d_ex_modernbar_04_59,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_59,True,,1315,1315,1.0,,noise,noise,,5,idle,,13,delight,,15,smile,,
d_ex_modernbar_04_60,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_60,False,,1315,1315,1.0,,,,,5,idle,,13,delight,,15,smile,,
d_ex_modernbar_04_61,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_61,True,,S_130,S_1300,0.5,,laplace,laplace,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_62,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_62,True,,150,1500,0.5,,noise,noise,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_63,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_63,False,,1500,1500,1.0,,,,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_64,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_64,True,,1500,150,1.0,,noise,noise,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_65,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_65,True,,S_130,S_130,1.0,,laplace,laplace,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_66,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_66,True,,150,150,1.0,,noise,noise,,5,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_67,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_67,True,,S_10,S_10,1.0,,dolla,dolla,,1,idle,,13,idle,,15,angry,,
d_ex_modernbar_04_68,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_68,False,,S_10,1315,1.0,,noise,noise,,1,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_69,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_69,False,,1315,1315,1.0,,laplace,laplace,,1,idle,,13,think,,15,idle,,
d_ex_modernbar_04_70,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_70,True,,1315,1,1.0,,dolla,dolla,,1,idle,,13,think,,15,idle,,
d_ex_modernbar_04_71,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_71,False,,1,1315,1.0,,noise,noise,,1,idle,,13,think,,15,think,,
d_ex_modernbar_04_72,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_72,False,,1315,1315,1.0,,laplace,laplace,,1,idle,,13,think,,15,think,,
d_ex_modernbar_04_73,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_73,True,,1315,1315,1.0,,noise,noise,,1,idle,,13,think,,15,sad,,
d_ex_modernbar_04_74,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_74,True,,1315,1315,1.0,,laplace,laplace,,1,idle,,13,angry,,15,sad,,
d_ex_modernbar_04_75,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_75,True,,1315,1315,1.0,,noise,noise,,1,idle,,13,angry,,15,idle,,
d_ex_modernbar_04_76,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_76,True,,1315,1315,1.0,,laplace,laplace,,1,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_77,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_77,True,,1315,1315,1.0,,laplace,laplace,,1,idle,,13,idle,,15,idle,,
d_ex_modernbar_04_78,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_78,True,,1315,1315,1.0,,noise,noise,,1,idle,,13,idle,,15,smile,,
d_ex_modernbar_04_79,d_ex_modernbar_04,Monologue,Locale_SuddenStory:d_ex_modernbar_04_79,False,,1315,1315,1.0,,,,,1,idle,,13,idle,,15,smile,laplace,noise
d_ex_modernbar_04_80,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_80,False,,1315,1,1.0,,dolla,dolla,,1,idle,,,,,,,,
d_ex_modernbar_04_81,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_81,False,,1,1,1.0,,,,,1,idle,,,,,,,,
d_ex_modernbar_04_82,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_82,True,,1,S_10,2.0,,dolla,dolla,,1,idle,,,,,,,,
d_ex_modernbar_04_83,d_ex_modernbar_04,Monologue,Locale_SuddenStory:d_ex_modernbar_04_83,False,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,
d_ex_modernbar_04_84,d_ex_modernbar_04,Narration,Locale_SuddenStory:d_ex_modernbar_04_84,False,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,
d_ex_modernbar_04_85,d_ex_modernbar_04,Speech,Locale_SuddenStory:d_ex_modernbar_04_85,True,,S_10,S_10,1.0,,dolla,dolla,,1,idle,,,,,,,,
d_ex_modernbar_04_86,d_ex_modernbar_04,Self,Locale_SuddenStory:d_ex_modernbar_04_86,False,,S_10,S_10,1.0,,,,,1,idle,,,,,,,,
