id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_subquest_1105_s_17,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_17,False,,raptilion_50,raptilion_50,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_18,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_18,False,,raptilion_50,raptilion_50,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_19,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_19,False,,raptilion_50,raptilion_50,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_20,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_20,False,,raptilion_50,raptilion_50,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_21,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_21,False,,raptilion_50,12,0.5,sfx_scn_tyrantnormal,none,sinister,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_22,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_22,False,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_23,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_23,False,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_24,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_24,False,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_25,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_25,False,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_26,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_26,False,,raptilion_5,12,1.0,sfx_scn_rapturehowl,bgm_emergency,sinister,Low_2,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_27,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_27,False,,12,raptilion_5,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_28,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_28,False,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_29,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_29,False,,raptilion_5,raptilion_5,1.0,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_30,d_subquest_1105_s,Narration,Locale_SubScenario:d_subquest_1105_s_30,False,,raptilion_5,raptilion_9,1.0,,,,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_31,d_subquest_1105_s,Monologue,Locale_SubScenario:d_subquest_1105_s_31,False,,raptilion_9,raptilion_9,1.0,,,,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_32,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_32,False,,12,12,1.0,sfx_scn_tyrantcry,,sinister,Low_2,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_33,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_33,False,,12,raptilion_5,0.5,,,raptilion,,,,,,,,,,,,,5,idle,,9,idle
d_subquest_1105_s_34,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_34,True,none,black,black,1.0,,,unknown,,anis,rapi,1,idle,anis,13,idle,neon,15,idle,,5,idle,,9,idle
d_subquest_1105_s_35,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_35,True,,black,black,1.0,,,unknown,,anis,,1,idle,,13,idle,,15,idle,,5,idle,,9,idle
d_subquest_1105_s_36,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_36,True,,black,black,1.0,,,unknown,,neon,,1,idle,,13,idle,,15,idle,,5,idle,,9,idle
d_subquest_1105_s_37,d_subquest_1105_s,Speech,Locale_SubScenario:d_subquest_1105_s_37,True,,black,black,1.0,,,unknown,,rapi,,1,idle,,13,idle,,15,idle,,5,idle,,9,idle
