id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_filter_01,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_ex_trainstation_07_11,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_11,True,,S_130,S_130,1.0,,soline,soline,,1,idle,,13,angry,,,,,,,,,,
d_ex_trainstation_07_12,d_ex_trainstation_07,Self,Locale_SuddenStory:d_ex_trainstation_07_12,False,,S_130,S_130,1.0,,soline,,,1,idle,,13,angry,,,,,,,,,,
d_ex_trainstation_07_13,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_13,True,,S_130,10,1.0,,diesel,diesel,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_14,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_14,True,,10,10,1.0,,diesel,diesel,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_15,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_15,True,,10,10,1.0,,diesel,diesel,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_16,d_ex_trainstation_07,Self,Locale_SuddenStory:d_ex_trainstation_07_16,False,,10,10,1.0,,diesel,,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_17,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_17,True,,10,12,1.0,,soline,soline,,1,idle,,13,delight,,,,,,,,,,
d_ex_trainstation_07_18,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_18,True,,12,12,1.0,,diesel,diesel,,1,delight,,13,delight,,,,,,,,,,
d_ex_trainstation_07_19,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_19,True,,12,12,1.0,,soline,soline,,1,delight,,13,delight,,,,,,,,,,
d_ex_trainstation_07_20,d_ex_trainstation_07,Self,Locale_SuddenStory:d_ex_trainstation_07_20,False,,12,12,1.0,,soline,,,1,delight,,13,delight,,,,,,,,,,
d_ex_trainstation_07_21,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_21,True,,12,12,1.0,,diesel,diesel,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_22,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_22,True,,12,12,1.0,,diesel,diesel,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_23,d_ex_trainstation_07,Narration,Locale_SuddenStory:d_ex_trainstation_07_23,False,,12,12,1.0,,diesel,,,1,idle,,13,idle,sfx_scn_heelfootstep,,,,,,,,,
d_ex_trainstation_07_24,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_24,True,,12,15,1.0,,diesel,diesel,,1,idle,,13,idle,,,,,,,,,,
d_ex_trainstation_07_25,d_ex_trainstation_07,Monologue,Locale_SuddenStory:d_ex_trainstation_07_25,False,,15,15,1.0,,diesel,,,1,idle,,13,idle,,Blur_High,,,,,,,,
d_ex_trainstation_07_26,d_ex_trainstation_07,Monologue,Locale_SuddenStory:d_ex_trainstation_07_26,False,,15,150,1.0,,diesel,,,1,idle,,13,idle,,Blur_High,privaty_m,15,idle,,,,,
d_ex_trainstation_07_27,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_27,True,,150,150,1.0,,privaty_m,diesel,,1,surprise,,13,idle,,,,15,idle,,,,,
d_ex_trainstation_07_28,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_28,True,,150,150,1.0,,privaty_m,soline,,1,surprise,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_29,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_29,True,,150,150,1.0,,privaty_m,privaty_m,,1,surprise,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_30,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_30,True,,150,150,1.0,,privaty_m,privaty_m,,1,surprise,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_31,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_31,True,,150,150,1.0,,privaty_m,privaty_m,,1,surprise,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_32,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_32,True,,150,150,1.0,,privaty_m,privaty_m,,1,surprise,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_33,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_33,True,,150,1500,1.0,,privaty_m,privaty_m,,1,surprise,,13,angry,,,,15,surprise,Low_2,,,,
d_ex_trainstation_07_34,d_ex_trainstation_07,Self,Locale_SuddenStory:d_ex_trainstation_07_34,False,,1500,1500,1.0,,privaty_m,,,1,surprise,,13,angry,,,,15,surprise,,,,,
d_ex_trainstation_07_35,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_35,True,,1500,150,1.0,,privaty_m,privaty_m,,1,surprise,,13,angry,,,,15,surprise,,,,,
d_ex_trainstation_07_36,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_36,True,,150,150,1.0,,privaty_m,privaty_m,,1,surprise,,13,angry,,,,15,surprise,,,,,
d_ex_trainstation_07_37,d_ex_trainstation_07,Self,Locale_SuddenStory:d_ex_trainstation_07_37,False,,150,150,1.0,,privaty_m,,,1,surprise,,13,angry,,,,15,surprise,,,,,
d_ex_trainstation_07_38,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_38,True,,12,12,1.0,,diesel,diesel,,1,surprise,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_39,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_39,True,,12,12,1.0,,diesel,diesel,,1,delight,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_40,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_40,True,,12,12,1.0,,diesel,diesel,,1,delight,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_41,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_41,True,,12,12,1.0,,soline,soline,,1,idle,,13,angry,,,,15,idle,,,,,
d_ex_trainstation_07_42,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_42,True,,12,14,1.0,,soline,soline,,1,idle,,13,angry,,,,15,no,,,,,
d_ex_trainstation_07_43,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_43,True,,14,14,1.0,,privaty_m,privaty_m,,1,idle,,13,angry,,,,15,no,,,,,
d_ex_trainstation_07_44,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_44,True,,14,14,1.0,,privaty_m,privaty_m,,1,idle,,13,angry,,,,15,no,,,,,
d_ex_trainstation_07_45,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_45,True,,14,14,1.0,,soline,soline,,1,idle,,13,idle,,,,15,idle,,,,,
d_ex_trainstation_07_46,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_46,True,,14,14,1.0,,soline,soline,,1,idle,,13,idle,,,,15,idle,,,,,
d_ex_trainstation_07_47,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_47,True,,14,14,1.0,,soline,soline,,1,idle,,13,idle,,,,15,idle,,,,,
d_ex_trainstation_07_48,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_48,True,,14,14,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,delight,,,,,
d_ex_trainstation_07_49,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_49,True,,14,14,1.0,,soline,soline,,1,idle,,13,idle,,,,15,delight,,,,,
d_ex_trainstation_07_50,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_50,True,,14,14,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,angry,,,,,
d_ex_trainstation_07_51,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_51,True,,14,14,1.0,,soline,soline,,1,idle,,13,angry,,,,15,angry,,,,,
d_ex_trainstation_07_52,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_52,True,,14,14,1.0,,soline,soline,,1,idle,,13,angry,,,,15,angry,,,,,
d_ex_trainstation_07_53,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_53,True,,14,14,1.0,,soline,soline,,1,idle,,13,angry,,,,15,angry,,,,,
d_ex_trainstation_07_54,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_54,True,,14,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_55,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_55,True,,150,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_56,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_56,True,,150,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_57,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_57,True,,150,14,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_58,d_ex_trainstation_07,Monologue,Locale_SuddenStory:d_ex_trainstation_07_58,False,,14,14,1.0,,privaty_m,,,1,idle,,13,idle,,,,17,shy,,privaty_m,,,
d_ex_trainstation_07_59,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_59,True,,14,12,1.0,,soline,soline,,1,idle,,13,angry,,,,15,shy,,,,,
d_ex_trainstation_07_60,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_60,True,,12,12,1.0,,soline,soline,,1,idle,,13,angry,,,,15,shy,,,,,
d_ex_trainstation_07_61,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_61,True,,12,12,1.0,,diesel,diesel,,1,delight,,13,angry,,,,15,shy,,,,,
d_ex_trainstation_07_62,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_62,True,,12,12,1.0,,diesel,diesel,,1,delight,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_63,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_63,True,,12,12,1.0,,soline,soline,,1,delight,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_64,d_ex_trainstation_07,Self,Locale_SuddenStory:d_ex_trainstation_07_64,False,,12,12,1.0,,soline,,,1,delight,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_65,d_ex_trainstation_07,Monologue,Locale_SuddenStory:d_ex_trainstation_07_65,False,,12,12,1.0,,,,,1,idle,,13,idle,,Grey,,15,shy,,,diesel,soline,black
d_ex_trainstation_07_66,d_ex_trainstation_07,Monologue,Locale_SuddenStory:d_ex_trainstation_07_66,False,,12,12,1.0,,,,,1,idle,,13,idle,,Grey,,15,shy,,,,,
d_ex_trainstation_07_67,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_67,True,,12,12,1.0,,diesel,diesel,diesel,1,idle,soline,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_68,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_68,True,,12,12,1.0,,diesel,diesel,,1,idle,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_69,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_69,True,,12,12,1.0,,diesel,diesel,,1,delight,,13,idle,,,,15,shy,,,,,
d_ex_trainstation_07_70,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_70,True,,1500,1500,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,privaty_m,15,sad2,Low_2,,,,
d_ex_trainstation_07_71,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_71,True,,1500,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,sad2,,,,,
d_ex_trainstation_07_72,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_72,True,,10,10,1.0,,diesel,diesel,,1,idle,,13,idle,,,,15,sad2,,,,,
d_ex_trainstation_07_73,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_73,True,,10,10,1.0,,diesel,diesel,,1,idle,,13,idle,,,,15,sad2,,,,,
d_ex_trainstation_07_74,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_74,True,,150,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,sad2,,,,,
d_ex_trainstation_07_75,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_75,True,,150,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,delight,,,,,
d_ex_trainstation_07_76,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_76,True,,10,10,1.0,,diesel,diesel,,1,idle,,13,idle,,,,15,delight,,,,,
d_ex_trainstation_07_77,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_77,True,,150,1500,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,surprise,,,,,
d_ex_trainstation_07_78,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_78,True,,1500,1500,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,surprise,,,,,
d_ex_trainstation_07_79,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_79,True,,1500,14,1.0,,soline,soline,,1,idle,,13,delight,,,,15,surprise,,,,,
d_ex_trainstation_07_80,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_80,True,,14,14,1.0,,soline,soline,,1,idle,,13,delight,,,,15,surprise,,,,,
d_ex_trainstation_07_81,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_81,True,,14,14,1.0,,soline,soline,,1,idle,,13,delight,,,,15,surprise,,,,,
d_ex_trainstation_07_82,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_82,True,,14,12,1.0,,diesel,diesel,,1,idle,,13,idle,,,,15,surprise,,,,,
d_ex_trainstation_07_83,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_83,True,,12,12,1.0,,diesel,diesel,,1,idle,,13,idle,,,,15,surprise,,,,,
d_ex_trainstation_07_84,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_84,True,,12,12,1.0,,diesel,diesel,,1,idle,,13,idle,,,,15,surprise,,,,,
d_ex_trainstation_07_85,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_85,True,,150,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,idle,,,,,
d_ex_trainstation_07_86,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_86,True,,150,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,smile,,,,,
d_ex_trainstation_07_87,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_87,True,,150,150,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,smile,,,,,
d_ex_trainstation_07_88,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_88,True,,150,15,1.0,,privaty_m,privaty_m,,1,idle,,13,idle,,,,15,smile,,,,,
d_ex_trainstation_07_89,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_89,True,,15,12,1.0,,diesel,diesel,,1,idle,,13,idle,,,,15,smile,,,,,
d_ex_trainstation_07_90,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_90,True,,12,12,1.0,,diesel,diesel,,1,delight,,13,idle,,,,15,smile,,,,,
d_ex_trainstation_07_91,d_ex_trainstation_07,Speech,Locale_SuddenStory:d_ex_trainstation_07_91,True,,12,12,1.0,,diesel,diesel,,1,delight,,13,idle,,,,15,smile,,,,,
d_ex_trainstation_07_92,d_ex_trainstation_07,Monologue,Locale_SuddenStory:d_ex_trainstation_07_92,False,,12,12,1.0,,,,,1,delight,,13,idle,,,,15,smile,,,,,
d_ex_trainstation_07_93,d_ex_trainstation_07,Monologue,Locale_SuddenStory:d_ex_trainstation_07_93,False,,12,150,1.0,,,,,1,delight,,13,idle,,,,15,smile,,,,,
