id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_13_06_e_13,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_13,False,,7,7,1.0,,,,,1,idle,,13,idle,,15,surprise,,,,,7,idle,,,,,
d_main_13_06_e_14,d_main_13_06_e,Narration,talkative,,Locale_MainScenario:d_main_13_06_e_14,True,,7,3,2.0,,,,,1,idle,,13,idle,,15,surprise,snowwhite,3,idle,,7,idle,,,,,
d_main_13_06_e_15,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_15,True,,3,L_30,1.0,,,,,1,idle,,13,idle,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_16,d_main_13_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_06_e_16,True,,12,12,2.0,,,,,1,idle,,13,worry,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_17,d_main_13_06_e,Speech,anis,anis,Locale_MainScenario:d_main_13_06_e_17,True,,12,12,1.0,,,,,1,idle,,13,worry,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_18,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_18,True,,L_30,L_30,1.0,,,,,1,idle,,13,worry,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_19,d_main_13_06_e,Speech,neon,neon,Locale_MainScenario:d_main_13_06_e_19,True,,S_150,S_150,1.0,,,,,1,idle,,13,idle,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_20,d_main_13_06_e,Speech,anis,anis,Locale_MainScenario:d_main_13_06_e_20,True,,10,10,1.0,,,,,1,sad,,13,idle,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_21,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_21,True,,10,L_30,1.0,,,,,1,sad,,13,idle,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_22,d_main_13_06_e,Speech,anis,anis,Locale_MainScenario:d_main_13_06_e_22,False,,L_30,L_30,1.0,,,,,1,worry,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_23,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_23,True,,L_30,L_300,0.5,,,,,1,worry,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_24,d_main_13_06_e,Self,snowwhite,,Locale_MainScenario:d_main_13_06_e_24,True,,L_300,L_300,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_25,d_main_13_06_e,Narration,snowwhite,,Locale_MainScenario:d_main_13_06_e_25,True,,L_300,L_300,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_26,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_26,True,,L_300,S_70,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_27,d_main_13_06_e,Narration,talkative,,Locale_MainScenario:d_main_13_06_e_27,True,,S_70,7,1.0,,,Low_2,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_28,d_main_13_06_e,Speech,shifty,shifty,Locale_MainScenario:d_main_13_06_e_28,True,,7,7,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,shifty,OP_leftup,angry,
d_main_13_06_e_29,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_29,True,,7,S_70,0.5,,,,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,,OP_leftup,angry,shifty
d_main_13_06_e_30,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_30,True,,S_70,L_30,1.0,,,,,1,idle,,13,idle,,15,idle,,3,pain,,7,idle,,,,,
d_main_13_06_e_31,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_31,True,,L_30,2,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_32,d_main_13_06_e,Speech,anis,anis,Locale_MainScenario:d_main_13_06_e_32,True,,2,2,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_33,d_main_13_06_e,Narration,anis,,Locale_MainScenario:d_main_13_06_e_33,True,,2,2,1.0,,sfx_scn_bikeengine,,,1,idle,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_34,d_main_13_06_e,Speech,anis,anis,Locale_MainScenario:d_main_13_06_e_34,True,,2,10,0.5,,,,,1,void,,13,idle,,15,idle,,3,idle,,7,idle,,,,,
d_main_13_06_e_35,d_main_13_06_e,Speech,neon,neon,Locale_MainScenario:d_main_13_06_e_35,True,,S_150,S_150,1.0,,,,,1,idle,,13,idle,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_36,d_main_13_06_e,Speech,anis,anis,Locale_MainScenario:d_main_13_06_e_36,True,,10,10,1.0,,,,,1,idle,,13,idle,,15,surprise,,3,idle,,7,idle,,,,,
d_main_13_06_e_37,d_main_13_06_e,Narration,anis,,Locale_MainScenario:d_main_13_06_e_37,True,,black,black,1.0,none,,,,1,idle,,13,idle,,15,surprise,,3,idle,,9,idle,talkative,,,,
d_main_13_06_e_38,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_38,False,,black,black,1.0,,,,,1,idle,,13,idle,,15,surprise,,3,idle,sugar,5,idle,,,,,
d_main_13_06_e_39,d_main_13_06_e,Monologue,snowwhite,,Locale_MainScenario:d_main_13_06_e_39,True,,5,S_50,1.0,bgm_thecalmbeforethestorm_b,,,,1,idle,,13,idle,,15,surprise,,3,idle,,5,idle,,,,,
d_main_13_06_e_40,d_main_13_06_e,Speech,snowwhite,neon,Locale_MainScenario:d_main_13_06_e_40,True,,S_50,S_50,1.0,,,,,1,idle,,13,idle,,15,delight,,3,idle,,5,idle,,,,,
d_main_13_06_e_41,d_main_13_06_e,Speech,snowwhite,anis,Locale_MainScenario:d_main_13_06_e_41,True,,S_50,S_50,1.0,,,,,1,delight,,13,idle,,15,delight,,3,idle,,5,idle,,,,,
d_main_13_06_e_42,d_main_13_06_e,Speech,sugar,sugar,Locale_MainScenario:d_main_13_06_e_42,True,,S_50,S_50,1.0,,,,,1,delight,,13,idle,,15,delight,,3,idle,,5,idle,,,,,
d_main_13_06_e_43,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_43,False,,S_50,L_30,2.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_44,d_main_13_06_e,Speech,sugar,sugar,Locale_MainScenario:d_main_13_06_e_44,False,,L_30,4,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_45,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_45,True,,4,4,1.0,,,,,1,idle,,13,idle,,15,idle,,3,delight,,5,idle,,,,,
d_main_13_06_e_46,d_main_13_06_e,Speech,sugar,sugar,Locale_MainScenario:d_main_13_06_e_46,True,,4,4,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,delight,,,,,
d_main_13_06_e_47,d_main_13_06_e,Speech,sugar,sugar,Locale_MainScenario:d_main_13_06_e_47,True,,4,5,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_48,d_main_13_06_e,Speech,sugar,sugar,Locale_MainScenario:d_main_13_06_e_48,True,,5,S_50,0.5,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_49,d_main_13_06_e,Self,sugar,,Locale_MainScenario:d_main_13_06_e_49,True,,S_50,S_50,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_50,d_main_13_06_e,Speech,sugar,sugar,Locale_MainScenario:d_main_13_06_e_50,True,,S_50,S_50,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_51,d_main_13_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_06_e_51,True,,130,130,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_52,d_main_13_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_06_e_52,True,,130,130,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_53,d_main_13_06_e,Speech,rapi,rapi,Locale_MainScenario:d_main_13_06_e_53,True,,130,130,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_54,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_54,True,,L_30,L_30,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,,,,
d_main_13_06_e_55,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_55,True,,L_30,S_90,1.0,,,,,1,idle,,13,idle,,15,idle,,3,idle,,5,idle,,talkative,9,idle,
d_main_13_06_e_56,d_main_13_06_e,Narration,talkative,,Locale_MainScenario:d_main_13_06_e_56,True,,black,black,1.0,,sfx_scn_snowwhiterifle,,,1,idle,,13,idle,,15,idle,,5,idle,,3,idle,,,9,idle,
d_main_13_06_e_57,d_main_13_06_e,Speech,talkative,talkative,Locale_MainScenario:d_main_13_06_e_57,True,,S_90,9,0.5,,,Low_2,,1,idle,,13,idle,,15,idle,,5,idle,,3,idle,,,9,idle,
d_main_13_06_e_58,d_main_13_06_e,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_13_06_e_58,True,,9,5,1.0,,,,,1,idle,,13,idle,,15,idle,,5,angry,,3,idle,,,9,idle,
d_main_13_06_e_59,d_main_13_06_e,Speech,anis,anis,Locale_MainScenario:d_main_13_06_e_59,True,,10,10,1.0,,,,,1,idle,,13,idle,,15,idle,,5,idle,,3,idle,,,9,idle,
d_main_13_06_e_60,d_main_13_06_e,Speech,neon,neon,Locale_MainScenario:d_main_13_06_e_60,True,,10,S_150,1.0,,,,,1,idle,,13,idle,,15,idle,,5,idle,,3,idle,,,9,idle,
d_main_13_06_e_61,d_main_13_06_e,Speech,sugar,sugar,Locale_MainScenario:d_main_13_06_e_61,True,,S_30,S_30,1.0,,,,,1,idle,,13,idle,,15,idle,,5,idle,,3,idle,,,9,idle,
