id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_camera_shake,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,set_filter_01
d_main_29_08_s_39,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_39,False,,,,,5,idle,,3,void,,1,idle,,13,special,,S_1300,S_1300,1.0,,,,,,,,
d_main_29_08_s_40,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_40,False,,,,,5,idle,,3,void,,1,idle,,13,special,,S_1300,S_1300,1.0,,,,,,,,
d_main_29_08_s_41,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_41,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_1300,S_1300,1.0,,,,,,,,
d_main_29_08_s_42,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_42,True,trony_op_r,OP_rightup,shy,,5,idle,,3,void,,1,idle,,13,special,,S_1300,S_130,1.0,,,,,,,,
d_main_29_08_s_43,d_main_29_08_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_08_s_43,True,,OP_rightup,shy,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_44,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_44,True,,OP_rightup,shy,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,trony_op_r,,,,,,
d_main_29_08_s_45,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_45,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_46,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_46,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_47,d_main_29_08_s,Self,elegg,,Locale_MainScenario:d_main_29_08_s_47,False,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_48,d_main_29_08_s,Speech,elegg,elegg,Locale_MainScenario:d_main_29_08_s_48,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,S_130,1.0,,,,,,,,
d_main_29_08_s_49,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_49,True,,,,,5,idle,,3,void,,1,idle,,13,special,,S_130,10,1.0,,,,,,,,
d_main_29_08_s_50,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_50,True,,,,,5,idle,,3,void,,1,idle,,13,special,,10,10,1.0,,,,,,,,
d_main_29_08_s_51,d_main_29_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_08_s_51,True,,,,,5,idle,,3,void,,1,idle,,13,special,,10,10,1.0,,,,,,,,
d_main_29_08_s_52,d_main_29_08_s,Self,,,Locale_MainScenario:d_main_29_08_s_52,False,,,,,5,idle,,3,void,,1,idle,,13,special,EventScene_Chap_29_01,black,black,1.0,,,,neon,anis,rapi,elegg,
d_main_29_08_s_53,d_main_29_08_s,Monologue,,,Locale_MainScenario:d_main_29_08_s_53,False,,,,,,,,,,,,,,,,,1,1,1.0,,,,,,,,Grey
d_main_29_08_s_54,d_main_29_08_s,Monologue,,,Locale_MainScenario:d_main_29_08_s_54,False,,,,,,,,,,,,,,,,,1,10,1.0,,,,,,,,Grey
d_main_29_08_s_55,d_main_29_08_s,Self,,,Locale_MainScenario:d_main_29_08_s_55,False,,,,,,,,,,,,,,,,,10,10,1.0,,,,,,,,Grey
