id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/hide_char_id
d_main_38_04_15,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_15,True,,1,idle,Crystalchunk,10,100,1.0,,rapi_red,rapi_red
d_main_38_04_16,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_16,True,,,,,100,100,1.0,,rapi_red,
d_main_38_04_17,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_17,True,,,,EventScene_Chap_35_04,100,100,1.0,,rapi_red,
d_main_38_04_18,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_18,True,,,,,100,100,1.0,,rapi_red,
d_main_38_04_19,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_19,True,,,,EventScene_Chap_35_03_01,100,100,1.0,,rapi_red,
d_main_38_04_20,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_20,True,,,,,100,100,1.0,,rapi_red,
d_main_38_04_21,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_21,False,,,,,100,100,1.0,,,
d_main_38_04_22,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_22,False,ziz,1,idle,black,100,1,1.0,,,
d_main_38_04_23,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_23,True,,1,idle,,1,1,1.0,,rapi_red,
d_main_38_04_24,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_24,True,,1,idle,,1,1,1.0,,rapi_red,
d_main_38_04_25,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_25,True,rapi_red,1,idle,SilverSea,1,10,1.0,,rapi_red,ziz
d_main_38_04_26,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_26,True,,1,idle,,10,10,1.0,,rapi_red,
d_main_38_04_27,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_27,False,,1,idle,,10,10,1.0,,,
d_main_38_04_28,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_28,False,,1,idle,,10,10,1.0,,,
d_main_38_04_29,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_29,False,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_30,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_30,True,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_31,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_31,False,,1,think,,10,10,1.0,,,
d_main_38_04_32,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_32,False,,1,think,,10,10,1.0,,,
d_main_38_04_33,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_33,False,,1,think,,10,10,1.0,,,
d_main_38_04_34,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_34,True,,1,idle,,10,10,1.0,,rapi_red,
d_main_38_04_35,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_35,True,,1,idle,,10,10,1.0,,rapi_red,
d_main_38_04_36,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_36,False,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_37,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_37,True,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_38,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_38,True,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_39,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_39,False,,1,think,,10,10,1.0,,,
d_main_38_04_40,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_40,False,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_41,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_41,True,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_42,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_42,True,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_43,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_43,False,,1,think,,10,10,1.0,,rapi_red,
d_main_38_04_44,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_44,False,,1,idle,,10,100,0.7,,rapi_red,
d_main_38_04_45,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_45,True,,1,no,,100,100,1.0,,rapi_red,
d_main_38_04_46,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_46,False,,1,no,,100,100,1.0,,,
d_main_38_04_47,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_47,True,,1,idle,,100,100,1.0,,rapi_red,
d_main_38_04_48,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_48,True,,1,idle,,100,100,1.0,,rapi_red,
d_main_38_04_49,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_49,True,,1,idle,,100,100,1.0,,rapi_red,
d_main_38_04_50,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_50,True,,1,idle,,100,100,1.0,,rapi_red,
d_main_38_04_51,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_51,True,,1,idle,,100,100,1.0,,rapi_red,
d_main_38_04_52,d_main_38_04,Speech,rapi_red,Locale_MainScenario:d_main_38_04_52,True,,1,idle,,100,100,1.0,,rapi_red,
d_main_38_04_53,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_53,False,,1,idle,,100,10,1.0,,,
d_main_38_04_54,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_54,False,,1,idle,,10,10,1.0,,,
d_main_38_04_55,d_main_38_04,Self,rapi_red,Locale_MainScenario:d_main_38_04_55,False,,1,idle,,10,10,1.0,,,
