id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/5/hide_char_id,characters/9/hide_char_id,characters/6/hide_char_id,characters/4/hide_char_id,characters/7/hide_char_id,set_camera_shake
d_main_11_01_21,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_21,True,,3,idle,,13,no,,1,sad,,9,idle,,,,,,,,,,,,,,5,void,,4,1,1.0,,,,,,,,,,
d_main_11_01_22,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_22,True,,3,idle,,13,angry,,1,sad,,9,idle,,,,,,,,,,,,,,5,void,,1,12,1.0,,,,,,,,,,
d_main_11_01_23,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_23,True,,3,idle,,13,angry,,1,angry,,9,idle,,,,,,,,,,,,,,5,void,,12,12,1.0,,,,,,,,,,
d_main_11_01_24,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_24,True,,3,idle,,13,no,,1,angry,,9,idle,,,,,,,,,,,,,,5,void,,12,12,1.0,,,,,,,,,,
d_main_11_01_25,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_25,True,,3,idle,,13,no,,1,sad,,9,idle,,,,,,,,,,,,,,5,void,,12,12,1.0,,,,,,,,,,
d_main_11_01_26,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_26,True,,3,angry,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,12,3,1.0,,,,,,,,,,
d_main_11_01_27,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_27,True,,3,angry,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,3,3,1.0,,,,,,,,,,
d_main_11_01_28,d_main_11_01,Speech,anis,anis,Locale_MainScenario:d_main_11_01_28,True,,3,angry,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,3,4,1.0,,,,,,,,,,
d_main_11_01_29,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_29,False,,3,think,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,4,S_30,0.6,,,,,,,,,,Low_2
d_main_11_01_30,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_30,True,,3,think,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,S_30,S_30,1.0,,,,,,,,,,
d_main_11_01_31,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_31,True,,3,angry,,13,no,,1,idle,,9,idle,,,,,,,,,,,,,,5,void,,S_30,S_300,1.0,,,,,,,,,,
d_main_11_01_32,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_32,True,,3,angry,,13,no,,1,angry,,9,idle,,,,,,,,,,,,,,5,void,,S_300,2,1.0,,,,,,,,,,
d_main_11_01_33,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_33,True,,3,angry,,13,no,,1,angry,,9,idle,,,,,,,,,,,,,,5,void,,2,2,1.0,,,,,,,,,,
d_main_11_01_34,d_main_11_01,Speech,neon,neon,Locale_MainScenario:d_main_11_01_34,True,,3,angry,,13,no,,1,idle,,9,idle,,,,,,,neon,17,delight,emma,15,surprise,,5,void,,16,16,1.0,,,,,,,,,,
d_main_11_01_35,d_main_11_01,Speech,emma,emma,Locale_MainScenario:d_main_11_01_35,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,delight,,15,surprise,,5,void,,16,16,1.0,,,,,,,,,,
d_main_11_01_36,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_36,True,,3,idle,,13,angry,,1,idle,,9,idle,,,,,,,,17,delight,,15,surprise,,5,void,,16,14,1.0,,,,,,,,,,
d_main_11_01_37,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_37,True,,3,idle,,13,angry,,1,idle,,9,idle,,,,,,,,17,delight,,15,surprise,,5,void,,14,14,1.0,,,,,,,,,,
d_main_11_01_38,d_main_11_01,Speech,emma,emma,Locale_MainScenario:d_main_11_01_38,True,,3,idle,,13,angry,,1,idle,,9,idle,,,,,,,,17,delight,,15,idle,,5,void,,14,14,1.0,,,,,,,,,,
d_main_11_01_39,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_39,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,delight,,15,idle,,5,void,,14,14,1.0,,,,,,,,,,
d_main_11_01_40,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_40,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,15,idle,,5,void,,90,90,1.0,,,,,,,,,,
d_main_11_01_41,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_41,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,15,idle,,5,void,,90,90,1.0,,,,,,,,,,
d_main_11_01_42,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_42,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,15,idle,,5,void,,10,10,1.0,,,,,,,,,,
d_main_11_01_43,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_43,True,,3,idle,,13,no,,1,idle,,9,angry,,,,,,,,17,idle,,15,idle,,5,void,,90,90,1.0,,,,,,,,,,
d_main_11_01_44,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_44,True,,3,idle,,13,no,,1,idle,,9,angry,,,,,,,,17,idle,,15,idle,,5,void,,10,10,1.0,,,,,,,,,,
d_main_11_01_45,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_45,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,15,idle,,5,void,,90,90,1.0,,,,,,,,,,
d_main_11_01_46,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_46,True,,3,idle,,13,no,,1,idle,,9,idle,rapi,7,idle,,,,,17,idle,,15,idle,,5,void,,10,10,1.0,,,,,,,,,,
d_main_11_01_47,d_main_11_01,Speech,rapi,rapi,Locale_MainScenario:d_main_11_01_47,False,,3,idle,,13,no,,1,idle,,9,idle,,7,think,,,,,17,idle,,15,idle,,5,void,,6,6,1.0,,,,,,,,,emma,
d_main_11_01_48,d_main_11_01,Speech,anis,anis,Locale_MainScenario:d_main_11_01_48,True,,3,idle,,13,no,,1,idle,,9,idle,,7,think,,,,,17,idle,emma,3,idle,,5,sad,,6,6,1.0,,,,,,,,,emma,
d_main_11_01_49,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_49,True,,3,idle,,13,no,,1,idle,,9,idle,,7,think,,,,,17,idle,emma,7,idle,,5,sad,,10,10,1.0,,,,,,,,,emma,
d_main_11_01_50,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_50,True,,3,idle,,13,no,,1,idle,,9,idle,,7,think,,,,,17,idle,,,,,5,void,,10,10,1.0,,,,,,,,rapi,,
d_main_11_01_51,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_51,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,,,,5,void,,10,10,1.0,,,,,,,,,,
d_main_11_01_52,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_52,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,,,,5,void,,10,10,1.0,,,,,,,,,,
d_main_11_01_53,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_53,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,emma,7,idle,,5,void,,10,10,1.0,,,,,,,,,,
d_main_11_01_54,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_54,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,7,idle,,5,void,,10,10,1.0,,,,,,,,,,
d_main_11_01_55,d_main_11_01,Speech,emma,emma,Locale_MainScenario:d_main_11_01_55,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,7,surprise,,5,void,,8,8,1.0,,,,,,,,,,
d_main_11_01_56,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_56,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,7,surprise,,5,void,,8,8,1.0,,,,,,,,,,
d_main_11_01_57,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_57,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,7,surprise,,5,void,,2,2,1.0,,,,,,,,,,
d_main_11_01_58,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_58,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,17,idle,,7,surprise,,5,void,,2,2,1.0,,,,,,,,,,
d_main_11_01_59,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_59,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,15,idle,,7,surprise,,5,void,,2,2,1.0,,,,,,,,,,
d_main_11_01_60,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_60,True,,3,idle,,13,no,,1,idle,,9,idle,,,,,,,,15,idle,,7,surprise,,5,void,,9,9,1.0,,,,,,,,,,
d_main_11_01_61,d_main_11_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_01_61,False,,3,idle,,13,no,,1,sad,,9,idle,,,,,,,,15,idle,,7,surprise,,5,void,,1,10,0.6,,,,,,,,,,
d_main_11_01_62,d_main_11_01,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_11_01_62,False,,3,idle,,13,no,,1,sad,,9,angry,,,,,,,,15,idle,,7,surprise,,5,void,,9,90,1.0,,,,,,,,,,
d_main_11_01_63,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_63,True,,3,idle,,13,angry,,1,sad,,9,angry,,,,,,,,15,idle,,7,surprise,,5,void,,14,14,1.0,,,,,,,,,emma,
d_main_11_01_64,d_main_11_01,Speech,neon,neon,Locale_MainScenario:d_main_11_01_64,True,,3,idle,,13,angry,,1,sad,,9,angry,,,,,,,,15,idle,,,,,5,void,,14,14,1.0,,,,,,,,,,
d_main_11_01_65,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_65,True,,3,idle,,13,no,,1,sad,,9,angry,,,,,,,,15,idle,,,,,5,void,,14,14,1.0,,,,,,,,,,
d_main_11_01_66,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_66,True,,3,idle,,13,no,,1,sad,,9,angry,,,,,,,,15,idle,,,,,5,void,,14,13,1.0,,,,,,,,,,
d_main_11_01_67,d_main_11_01,Speech,drake,drake,Locale_MainScenario:d_main_11_01_67,False,,3,idle,,13,no,,1,sad,,9,angry,,,,,,,,15,idle,,,,,5,void,,13,130,0.6,,,,,,,,,,
d_main_11_01_68,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_68,True,,3,idle,,13,no,,1,sad,,9,angry,,,,,,,,15,idle,,,,,5,void,,3,3,1.0,,,,,,,,,,
d_main_11_01_69,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_69,True,,3,idle,,13,no,,1,sad,,9,angry,,,,,,,,15,idle,,,,,5,void,,3,3,1.0,,,,,,,neon,,,
d_main_11_01_70,d_main_11_01,Speech,laplace,laplace,Locale_MainScenario:d_main_11_01_70,False,,3,think,,13,no,,1,sad,,9,angry,,,,,,,,,,,,,,5,void,,3,S_30,0.6,,,,,,,,,,
d_main_11_01_71,d_main_11_01,Speech,anis,anis,Locale_MainScenario:d_main_11_01_71,True,,3,think,,13,no,,1,sad,,9,angry,,,,,,,,,,,,,,5,no,,S_30,50,1.0,,,,,,,,,,
