id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade
d_main_39_09_14,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_14,True,,5,angry_02,,3,angry,,1,idle,,13,sad,,15,idle,,L_130,L_130,1.0,,
d_main_39_09_15,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_15,True,,5,angry_02,,3,idle,,1,idle,,13,sad,,15,idle,,L_30,L_30,1.0,,
d_main_39_09_16,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_16,True,,5,angry_02,,3,idle,,1,idle,,13,sad,,15,idle,,L_30,53,1.0,,
d_main_39_09_17,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_17,True,,5,angry_02,,3,idle,,1,idle,,13,sad,,15,idle,,53,53,1.0,,
d_main_39_09_18,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_18,True,,5,angry_02,,3,idle,,1,idle,,13,sad,,15,idle,,53,53,1.0,,
d_main_39_09_19,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_19,True,,5,angry_02,,3,idle,,1,idle,,13,worry,,15,idle,,L_130,L_130,1.0,,
d_main_39_09_20,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_20,True,,5,angry_02,,3,no,,1,idle,,13,worry,,15,idle,,L_30,L_300,1.0,,
d_main_39_09_21,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_21,True,,5,angry_02,,3,no,,1,idle,,13,worry,,15,idle,,L_1300,L_1300,1.0,,
d_main_39_09_22,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_22,True,,5,angry_02,,3,no,,1,idle,,13,worry,,15,idle,,L_1300,100,1.0,,
d_main_39_09_23,d_main_39_09,Self,nayuta_n,,Locale_MainScenario:d_main_39_09_23,False,,5,angry_02,,3,idle,,1,idle,,13,worry,,15,idle,,100,100,1.0,,
d_main_39_09_24,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_24,True,,5,angry_02,,3,idle,,1,idle,,13,worry,,15,idle,,100,100,1.0,,
d_main_39_09_25,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_25,True,,5,angry_02,,3,idle,,1,idle,,13,worry,,15,idle,,100,10,1.0,,
d_main_39_09_26,d_main_39_09,Monologue,nayuta_n,,Locale_MainScenario:d_main_39_09_26,False,,5,angry_02,,3,idle,,1,idle,,13,worry,,15,idle,,black,black,1.0,,
d_main_39_09_27,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_27,True,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,53,53,1.0,,
d_main_39_09_28,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_28,True,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,53,53,1.0,,
d_main_39_09_29,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_29,True,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,53,1,1.0,,
d_main_39_09_30,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_30,True,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,1,1,1.0,,
d_main_39_09_31,d_main_39_09,Monologue,nayuta_n,,Locale_MainScenario:d_main_39_09_31,False,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,black,black,1.0,,
d_main_39_09_32,d_main_39_09,Monologue,nayuta_n,,Locale_MainScenario:d_main_39_09_32,False,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,black,black,1.0,,
d_main_39_09_33,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_33,True,,5,idle,,3,delight,,1,idle,,13,idle,,15,idle,,53,53,1.0,,
d_main_39_09_34,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_34,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,idle,,53,53,1.0,,
d_main_39_09_35,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_35,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,idle,,53,1,1.0,,
d_main_39_09_36,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_36,True,,5,idle,,3,angry,,1,idle,,13,idle,,15,idle,,1,1,1.0,,
d_main_39_09_37,d_main_39_09,Monologue,nayuta_n,,Locale_MainScenario:d_main_39_09_37,False,,5,idle,,3,angry,,1,idle,,13,idle,,15,idle,,black,black,1.0,,
d_main_39_09_38,d_main_39_09,Monologue,nayuta_n,,Locale_MainScenario:d_main_39_09_38,False,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,black,black,1.0,,
d_main_39_09_39,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_39,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,S_500,S_500,1.0,,
d_main_39_09_40,d_main_39_09,Speech,laplace_p,laplace_p,Locale_MainScenario:d_main_39_09_40,True,,5,special_02,,3,idle,,1,idle,,13,idle,,15,idle,,S_500,S_500,1.0,,
d_main_39_09_41,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_41,True,,5,special_02,,3,angry,,1,idle,,13,idle,,15,idle,,S_500,L_300,1.0,,
d_main_39_09_42,d_main_39_09,Speech,drake_p,drake_p,Locale_MainScenario:d_main_39_09_42,True,,5,special_02,,3,think,,1,idle,,13,idle,,15,idle,,L_300,L_30,1.0,,
d_main_39_09_43,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_43,True,,5,special_02,,3,think,,1,idle,,13,idle,,15,idle,,L_30,10,1.0,,
d_main_39_09_44,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_44,True,,5,idle,,3,think,,1,idle,,13,idle,,15,idle,,10,10,1.0,,
d_main_39_09_45,d_main_39_09,Self,nayuta_n,,Locale_MainScenario:d_main_39_09_45,False,,5,idle,,3,no,,1,idle,,13,idle,,15,idle,,10,10,1.0,,
d_main_39_09_46,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_46,True,,5,idle,,3,no,,1,idle,,13,idle,,15,idle,,10,10,1.0,,
d_main_39_09_47,d_main_39_09,Self,nayuta_n,,Locale_MainScenario:d_main_39_09_47,False,,5,idle,,3,no,,1,idle,,13,idle,,15,idle,,10,10,1.0,,
d_main_39_09_48,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_48,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,10,10,1.0,,
d_main_39_09_49,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_49,True,,5,idle,,3,idle,,1,idle,,13,rage,,15,idle,,10,113,1.0,,
d_main_39_09_50,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_50,True,,5,idle,,3,idle,,1,idle,,13,rage,,15,idle,,113,113,1.0,,
d_main_39_09_51,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_51,True,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,113,113,1.0,,
d_main_39_09_52,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_52,False,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,113,1,1.0,,
d_main_39_09_53,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_53,True,,5,idle,,3,idle,,1,delight,,13,angry,,15,idle,,1,10,1.0,,
d_main_39_09_54,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_54,True,,5,idle,,3,idle,,1,delight,,13,angry,,15,idle,,10,10,1.0,,
d_main_39_09_55,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_55,True,,5,idle,,3,idle,,1,delight,,13,angry,,15,idle,,10,10,1.0,,
d_main_39_09_56,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_56,True,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,10,100,0.7,,black
d_main_39_09_57,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_57,True,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,L_1300,L_130,1.0,,
d_main_39_09_58,d_main_39_09,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_09_58,True,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,L_130,150,1.0,,
d_main_39_09_59,d_main_39_09,Self,rapi_red,,Locale_MainScenario:d_main_39_09_59,False,,5,idle,,3,idle,,1,idle,,13,angry,,15,idle,,150,150,1.0,,
d_main_39_09_60,d_main_39_09,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_39_09_60,True,,5,idle,,3,idle,,1,idle,,13,angry,,15,worry,,150,150,1.0,,
d_main_39_09_61,d_main_39_09,Self,rapi_red,,Locale_MainScenario:d_main_39_09_61,False,,5,idle,,3,idle,,1,idle,,13,angry,,15,worry,,150,150,1.0,,
d_main_39_09_62,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_62,True,,5,idle,,3,idle,,1,idle,,13,worry,,15,worry,,150,L_130,1.0,,
d_main_39_09_63,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_63,True,,5,idle,,3,idle,,1,delight,,13,worry,,15,worry,,L_130,113,1.0,,
d_main_39_09_64,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_64,True,,5,idle,,3,idle,,1,delight,,13,worry,,15,idle,,113,113,1.0,,
d_main_39_09_65,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_65,True,,5,idle,,3,idle,,1,delight,,13,worry,,15,idle,,113,113,1.0,,
d_main_39_09_66,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_66,True,,5,idle,,3,idle,,1,delight,,13,worry,,15,idle,,113,113,1.0,,
d_main_39_09_67,d_main_39_09,Speech,nayuta_n,nayuta_n,Locale_MainScenario:d_main_39_09_67,True,,5,idle,,3,idle,,1,idle,,13,worry,,15,idle,,113,113,1.0,,
d_main_39_09_68,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_68,True,,5,idle,,3,idle,,1,idle,,13,worry,,15,idle,,113,113,1.0,,
d_main_39_09_69,d_main_39_09,Speech,maxwell_p,maxwell_p,Locale_MainScenario:d_main_39_09_69,True,,5,idle,,3,idle,,1,idle,,13,worry,,15,idle,,113,113,1.0,,
