id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_11_05_19,d_main_11_05,Self,,Self,Locale_MainScenario:d_main_11_05_19,False,,10,10,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,,,
d_main_11_05_20,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_20,True,,10,10,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,,,
d_main_11_05_21,d_main_11_05,Self,,Self,Locale_MainScenario:d_main_11_05_21,False,,10,10,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,,,
d_main_11_05_22,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_22,True,,5,5,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,,,
d_main_11_05_23,d_main_11_05,Self,,Self,Locale_MainScenario:d_main_11_05_23,False,,5,5,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,,,
d_main_11_05_24,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_24,True,,5,5,1.0,,,1,idle,,,3,idle,,,13,no,,5,idle,,,,
d_main_11_05_25,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_25,True,,5,4,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_26,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_26,True,,4,4,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_27,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_27,True,,4,4,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_28,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_28,True,,4,4,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_29,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_29,True,,4,4,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_30,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_30,True,,4,4,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_31,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_31,True,,4,S_30,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_32,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_32,True,,S_30,S_30,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_33,d_main_11_05,Self,,Self,Locale_MainScenario:d_main_11_05_33,False,,S_30,S_30,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_34,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_34,True,,S_30,S_30,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_35,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_35,True,,S_30,S_30,1.0,,,1,idle,,,3,angry,,,13,no,,5,idle,,,,
d_main_11_05_36,d_main_11_05,Speech,drake,drake,Locale_MainScenario:d_main_11_05_36,False,,12,12,1.0,,,1,idle,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_37,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_37,True,,12,12,1.0,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_38,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_38,True,,S_30,S_30,1.0,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_39,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_39,True,,S_30,S_30,1.0,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_40,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_40,True,,S_30,S_30,1.0,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_41,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_41,True,,S_30,S_30,1.0,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_42,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_42,True,,S_30,S_30,1.0,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_43,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_43,True,,5,5,1.0,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_44,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_44,True,,S_30,S_300,0.8,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_45,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_45,True,,S_300,S_300,1.0,,,1,angry,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_46,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_46,False,,S_300,2,2.0,,,1,sad,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_47,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_47,True,,2,2,1.0,,,1,sad,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_48,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_48,True,,2,2,1.0,,,1,sad,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_49,d_main_11_05,Speech,laplace,laplace,Locale_MainScenario:d_main_11_05_49,True,,2,2,1.0,,,1,sad,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_50,d_main_11_05,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_05_50,True,,2,2,1.0,,,1,sad,,,3,angry,,,13,delight,,5,idle,,,,
d_main_11_05_51,d_main_11_05,Narration,,Narration,Locale_MainScenario:d_main_11_05_51,False,,2,2,1.0,,,1,sad,maxwell,,3,angry,laplace,,13,delight,,5,idle,,,,
d_main_11_05_52,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_52,False,,2,5,1.0,,,,,,,,,,,13,delight,,5,idle,,,,
d_main_11_05_53,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_53,True,,5,5,1.0,,,,,,,,,,,13,delight,,5,idle,,,,
d_main_11_05_54,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_54,True,,5,5,1.0,,,,,,,,,,,13,delight,,5,idle,,,,
d_main_11_05_55,d_main_11_05,Speech,drake,drake,Locale_MainScenario:d_main_11_05_55,False,,5,4,1.0,,,,,,,,,,,3,idle,,5,idle,,,,
d_main_11_05_56,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_56,False,,4,4,1.0,,,,,,,,,,,3,idle,,5,idle,,,,
d_main_11_05_57,d_main_11_05,Speech,drake,drake,Locale_MainScenario:d_main_11_05_57,False,,4,4,1.0,,,,,,,,,,,3,delight,,5,idle,,,,
d_main_11_05_58,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_58,True,,4,4,1.0,,,,,,,,,,,3,delight,,5,idle,,,,
d_main_11_05_59,d_main_11_05,Speech,drake,drake,Locale_MainScenario:d_main_11_05_59,True,,4,300,0.8,,,,,,,,,,,3,idle,,5,idle,,,,
d_main_11_05_60,d_main_11_05,Speech,rapi,rapi,Locale_MainScenario:d_main_11_05_60,True,,300,50,1.0,,,,,,,,,,,3,idle,,5,think,,,,
