id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,fade
d_main_21af_01_38,d_main_21af_01,Speech,anis,anis,Locale_MainScenario:d_main_21af_01_38,True,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,700,700,1.0,,,,,
d_main_21af_01_39,d_main_21af_01,Monologue,,Monologue,Locale_MainScenario:d_main_21af_01_39,False,,7,void,,5,idle,,3,idle,,13,idle,,15,idle,,black,black,1.0,none,anis,neon,rapi,
d_main_21af_01_40,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_40,False,,,,,,,,,,,13,idle,,15,think,,1315,1315,1.0,,,,,black
d_main_21af_01_41,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_41,False,,,,,,,,,,,13,idle,,15,think,,1315,1315,1.0,,,,,
d_main_21af_01_42,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_42,True,,,,,,,,,,,13,idle,,15,think,,1315,1315,1.0,,,,,
d_main_21af_01_43,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_43,True,,,,,,,,,,,13,idle,,15,think,,1315,1315,1.0,,,,,
d_main_21af_01_44,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_44,True,,,,,,,,,,,13,idle,,15,think,,1315,130,1.0,,,,,
d_main_21af_01_45,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_45,True,,,,,,,,,,,13,idle,,15,think,,130,S_150,1.0,,,,,
d_main_21af_01_46,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_46,True,,,,,,,,,,,13,idle,,15,idle,,S_150,S_1500,2.0,,,,,
d_main_21af_01_47,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_47,False,,,,,,,,,,,13,idle,,15,idle,,S_1500,1300,1.0,,,,,
d_main_21af_01_48,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_48,True,,,,,,,,,,,13,idle,,15,think,,1300,1315,1.0,,,,,
d_main_21af_01_49,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_49,True,,,,,,,,,,,13,idle,,15,delight,,1315,1315,1.0,,,,,
d_main_21af_01_50,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_50,True,,,,,,,,,,,13,idle,,15,delight,,1315,1315,1.0,,,,,
d_main_21af_01_51,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_51,True,,,,,,,,,,,13,idle,,15,delight,,1315,1315,1.0,,,,,
d_main_21af_01_52,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_52,True,,,,,,,,,,,13,idle,,15,delight,,1315,130,1.0,bgm_mystery,,,,
d_main_21af_01_53,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_53,True,,,,,,,,,,,13,idle,,15,think,,130,130,1.0,,,,,
d_main_21af_01_54,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_54,True,,,,,,,,,,,13,idle,,15,think,,S_150,S_150,1.0,,,,,
d_main_21af_01_55,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_55,True,,,,,,,,,,,13,idle,,15,think,,130,130,1.0,,,,,
d_main_21af_01_56,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_56,True,,,,,,,,,,,13,idle,,15,think,,130,130,1.0,,,,,
d_main_21af_01_57,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_57,True,,,,,,,,,,,13,idle,,15,idle,,S_150,S_150,1.0,,,,,
d_main_21af_01_58,d_main_21af_01,Speech,papillon,papillon,Locale_MainScenario:d_main_21af_01_58,True,,,,,,,,,,,13,idle,,15,idle,,S_150,S_150,1.0,,,,,
d_main_21af_01_59,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_59,True,,,,,,,,,,,13,idle,,15,idle,,130,130,1.0,,,,,
d_main_21af_01_60,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_60,True,,,,,,,,,,,13,idle,,15,idle,,130,130,1.0,,,,,
d_main_21af_01_61,d_main_21af_01,Speech,dorothy,dorothy,Locale_MainScenario:d_main_21af_01_61,True,,,,,,,,,,,13,idle,,15,idle,,130,1300,2.0,,,,,
