id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,play_sound,set_camera_shake,fade,effects/0/play_effect_id,effects/0/set_effect_position
d_main_22_12_e_29,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_29,False,,,,,,,,,,,,,,,,,,,,,,,nihilisterend_01,nihilisterend_01,1.0,,,,,,,,,,,,,
d_main_22_12_e_30,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_30,False,,,,,,,,,,,,,,,,,,,,,,,nihilisterend_01,nihilisterend_02,2.0,,,,,,,,,,,,,
d_main_22_12_e_31,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_31,False,,,,,,,,,,,,,,,,,,,,,,,nihilisterend_02,nihilisterend_02,1.0,,,,,,,,,,,,,
d_main_22_12_e_32,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_32,False,,,,,,,,,,,,,,,,,,,,,,EventScene_Chap_22_05,angel_01,angel_01,1.0,bgm_story_whitelight,,,,,,,,,,black,,
d_main_22_12_e_33,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_33,False,,,,,,,,,,,,,,,,,,,,,,,angel_01,angel_01,1.0,,,,,,,,,,,,,
d_main_22_12_e_34,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_34,False,,,,,,,,,,,,,,,,,,,,,,,angel_01,angel_02,3.0,,,,,,,,,,,,,
d_main_22_12_e_35,d_main_22_12_e,Narration,,,Locale_MainScenario:d_main_22_12_e_35,False,,,,,,,,,,,,,,,,,,,,,,,angel_02,angel_02,1.0,,,,,,,,,,,,,
d_main_22_12_e_36,d_main_22_12_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_22_12_e_36,False,dorothyangel02,event,idle,,,,,,,,,,,,,,,,,,,none,dorothyangel_01,dorothyangel_01,1.0,,,,,,,,,,,white,fx_EventScene_Chap_22_06_flare,fx_EventScene_Chap_22_06_flare
d_main_22_12_e_37,d_main_22_12_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_22_12_e_37,False,,event,idle,,,,,,,,,,,,,,,,,,,,dorothyangel_01,dorothyangel_02,3.0,,,,,,,,,,,,,
d_main_22_12_e_38,d_main_22_12_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_22_12_e_38,False,,event,idle,,,,,,,,,,,,,,,,,,,,dorothyangel_02,dorothyangel_02,1.0,,,,,,,,,,,,,
d_main_22_12_e_39,d_main_22_12_e,Speech,dorothy,dorothy,Locale_MainScenario:d_main_22_12_e_39,False,,event,idle,,,,,,,,,,,,,,,,,,,,dorothyangel_02,dorothyangel_02,2.0,,,,,,,,,,,,,
