id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_church_05_60,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_60,True,,S_50,S_50,1.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_61,d_ex_church_05,Narration,Narration,Locale_SuddenStory:d_ex_church_05_61,False,,black,black,1.0,,,,12,idle,,sfx_scn_rustle,,5,idle
d_ex_church_05_62,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_62,False,,S_50,S_50,1.0,,,,12,idle,,,,5,idle
d_ex_church_05_63,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_63,False,,S_50,S_50,1.0,,,,12,idle,,,,5,idle
d_ex_church_05_64,d_ex_church_05,Choice,,Locale_SuddenStory:d_ex_church_05_64,False,,120,120,1.0,,,,12,idle,d_ex_church_05_66,,,5,idle
d_ex_church_05_65,d_ex_church_05,Choice,,Locale_SuddenStory:d_ex_church_05_65,False,,120,120,1.0,,,,12,idle,d_ex_church_05_70,,,5,idle
d_ex_church_05_66,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_66,True,,120,120,1.0,,d,,12,angry,,,,5,idle
d_ex_church_05_67,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_67,False,,120,120,1.0,,,,12,angry,,,,5,idle
d_ex_church_05_68,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_68,False,,120,120,1.0,,d,,12,think,,,,5,idle
d_ex_church_05_69,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_69,True,,120,120,1.0,,d,,12,think,d_ex_church_05_76,,,5,idle
d_ex_church_05_70,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_70,True,,120,120,1.0,,d,,12,angry,,,,5,idle
d_ex_church_05_71,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_71,False,,120,120,1.0,,,,12,angry,,,,5,idle
d_ex_church_05_72,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_72,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_73,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_73,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_74,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_74,False,,120,120,1.0,,d,,12,shy,,,,5,idle
d_ex_church_05_75,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_75,True,,120,120,1.0,,d,,12,think,,,,5,idle
d_ex_church_05_76,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_76,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_77,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_77,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_78,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_78,True,,120,5,2.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_79,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_79,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_80,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_80,True,,5,5,1.0,,isabel,,12,idle,,,,5,idle
d_ex_church_05_81,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_81,True,,5,5,1.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_82,d_ex_church_05,Narration,Narration,Locale_SuddenStory:d_ex_church_05_82,False,,5,5,1.0,,,,12,idle,,sfx_scn_chain,,6,shy
d_ex_church_05_83,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_83,False,,5,5,1.0,,,,12,idle,,,,6,shy
d_ex_church_05_84,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_84,True,,5,5,1.0,,isabel,,12,idle,,,,5,surprise
d_ex_church_05_85,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_85,True,,5,5,1.0,,isabel,,12,idle,,,,5,angry
d_ex_church_05_86,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_86,True,,5,5,1.0,,isabel,,12,idle,,,,5,angry
d_ex_church_05_87,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_87,False,,5,5,1.0,,,,12,idle,,,,4,angry
d_ex_church_05_88,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_88,False,,5,5,1.0,,,,12,idle,,,,5,angry
d_ex_church_05_89,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_89,True,,5,S_50,2.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_90,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_90,True,,S_50,S_50,1.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_91,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_91,True,,S_50,S_50,1.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_92,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_92,True,,S_50,S_50,1.0,,isabel,,12,idle,,,,5,shy
d_ex_church_05_93,d_ex_church_05,Speech,isabel,Locale_SuddenStory:d_ex_church_05_93,False,,S_50,5,3.0,,isabel,,12,idle,,,,5,"expression_0,shy"
d_ex_church_05_94,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_94,False,,5,12,2.0,,d,,12,idle,,,,5,shy
d_ex_church_05_95,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_95,True,,12,12,1.0,,d,,12,idle,,,,5,shy
d_ex_church_05_96,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_96,False,,12,12,1.0,,,,12,idle,,,,5,shy
d_ex_church_05_97,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_97,True,,12,12,1.0,,d,,12,think,,,,5,idle
d_ex_church_05_98,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_98,True,,12,12,1.0,,d,,12,think,,,,5,idle
d_ex_church_05_99,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_99,True,,12,12,1.0,,d,,12,think,,,,5,idle
d_ex_church_05_100,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_100,True,,12,120,2.0,,d,,12,idle,,,,5,idle
d_ex_church_05_101,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_101,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_102,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_102,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_103,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_103,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_104,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_104,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_105,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_105,False,,120,120,1.0,,,,12,idle,,,,5,idle
d_ex_church_05_106,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_106,False,,120,120,1.0,,,,12,idle,,,,5,idle
d_ex_church_05_107,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_107,False,,120,120,1.0,,,,12,idle,,,,5,idle
d_ex_church_05_108,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_108,False,,120,120,1.0,,d,,12,think,,,,5,idle
d_ex_church_05_109,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_109,True,,120,120,1.0,,d,,12,think,,,,5,idle
d_ex_church_05_110,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_110,True,,120,120,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_111,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_111,True,,120,12,1.0,,d,,12,idle,,,,5,idle
d_ex_church_05_112,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_112,False,,12,12,1.0,,,,13,idle,,,,5,idle
d_ex_church_05_113,d_ex_church_05,Monologue,Monologue,Locale_SuddenStory:d_ex_church_05_113,False,,12,13,0.5,,,,13,idle,,,,5,idle
d_ex_church_05_114,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_114,False,,13,13,1.0,,,,13,idle,,,,5,idle
d_ex_church_05_115,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_115,False,,13,13,1.0,,,,13,idle,,,,5,idle
d_ex_church_05_116,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_116,True,,13,130,2.0,,d,,13,idle,,,,5,idle
d_ex_church_05_117,d_ex_church_05,Self,Self,Locale_SuddenStory:d_ex_church_05_117,False,,130,130,1.0,,,,13,idle,,,,5,idle
d_ex_church_05_118,d_ex_church_05,Speech,d,Locale_SuddenStory:d_ex_church_05_118,False,,130,130,1.0,,d,,13,think,,,,5,idle
