id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade,set_filter_01,set_camera_shake
d_ex_shopping_01_26,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_26,True,privaty,1,idle,,12,12,1.0,,dolla,13,idle,,,,,,,
d_ex_shopping_01_27,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_27,True,,1,idle,,12,12,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_28,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_28,True,,1,idle,,12,S_130,2.0,,,13,good,,,,,,,
d_ex_shopping_01_29,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_29,True,,1,idle,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_30,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_30,True,,1,idle,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_31,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_31,False,,1,surprise,,S_130,12,0.7,,,13,good,,,,,,,
d_ex_shopping_01_32,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_32,True,,1,surprise,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_33,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_33,True,,1,shy,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_34,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_34,True,,1,shy,,12,S_130,0.7,,,13,good,,,,,,,
d_ex_shopping_01_35,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_35,True,,1,shy,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_36,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_36,True,,1,shy,,S_130,S_130,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_37,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_37,True,,1,shy,,S_130,S_130,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_38,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_38,True,,1,shy,,S_130,S_130,1.0,,,13,no,,,,,,,
d_ex_shopping_01_39,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_39,True,,1,surprise,,S_130,10,0.3,,,13,no,,,,,,,
d_ex_shopping_01_40,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_40,True,,1,surprise,,10,S_130,0.5,,,13,good,,,,,,,
d_ex_shopping_01_41,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_41,True,,1,surprise,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_42,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_42,True,,1,surprise,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_43,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_43,True,,1,shy,,S_130,12,0.5,,,13,good,,,,,,,
d_ex_shopping_01_44,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_44,True,,1,shy,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_45,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_45,False,,1,shy,,12,12,1.0,,,13,"expression_0,good",,,,,,,
d_ex_shopping_01_46,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_46,True,,1,shy,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_47,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_47,True,,1,shy,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_48,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_48,True,,1,shy,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_49,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_49,True,,1,surprise,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_50,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_50,True,,1,surprise,,12,12,1.0,,,13,good,,,,,,,
d_ex_shopping_01_51,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_51,True,,1,surprise,,12,S_130,0.3,,,13,good,,,,,,,
d_ex_shopping_01_52,d_ex_shopping_01,Self,dolla,,Locale_SuddenStory:d_ex_shopping_01_52,True,,1,surprise,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_53,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_53,True,,1,surprise,,S_130,S_130,1.0,,,13,good,,,,,,,
d_ex_shopping_01_54,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_54,True,,1,surprise,,S_130,S_130,1.0,,,13,idle,,,,,,,
d_ex_shopping_01_55,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_55,True,,1,surprise,,S_130,S_1300,0.3,,,13,good,,,,,,,
d_ex_shopping_01_56,d_ex_shopping_01,Speech,dolla,dolla,Locale_SuddenStory:d_ex_shopping_01_56,True,,1,surprise,,S_1300,S_1300,1.0,,,13,good,,,,,,,
d_ex_shopping_01_57,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_57,False,,1,surprise,,S_1300,S_100,0.3,,,13,good,,,,,,,
d_ex_shopping_01_58,d_ex_shopping_01,Choice,privaty,,Locale_SuddenStory:d_ex_shopping_01_58,True,,1,surprise,,S_100,S_100,1.0,,,13,good,d_ex_shopping_01_60,,,,,,
d_ex_shopping_01_59,d_ex_shopping_01,Choice,privaty,,Locale_SuddenStory:d_ex_shopping_01_59,True,,1,surprise,,S_100,S_100,1.0,,,13,good,d_ex_shopping_01_60,,,,,,
d_ex_shopping_01_60,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_60,True,,1,shy,,S_100,S_100,1.0,,,13,good,,,,,,,
d_ex_shopping_01_61,d_ex_shopping_01,Narration,privaty,,Locale_SuddenStory:d_ex_shopping_01_61,True,,1,idle,OutpostOut,1,1,1.0,bgm_story_orangepop,,13,idle,,,privaty,dolla,black,,
d_ex_shopping_01_62,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_62,True,privaty,1,idle,,1,1,1.0,,,,,,,,,,,
d_ex_shopping_01_63,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_63,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_ex_shopping_01_64,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_64,True,,1,shy,,1,1,1.0,,,,,,,,,,,
d_ex_shopping_01_65,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_65,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_ex_shopping_01_66,d_ex_shopping_01,Narration,privaty,,Locale_SuddenStory:d_ex_shopping_01_66,True,,1,idle,,black,black,1.0,none,,,,,sfx_scn_paperopen,,,,,
d_ex_shopping_01_67,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_67,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_ex_shopping_01_68,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_68,True,,1,idle,,1,1,1.0,,,,,,,,,,,
d_ex_shopping_01_69,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_69,True,,1,surprise,,1,1,1.0,,,,,,,,,,Grey,
d_ex_shopping_01_70,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_70,True,,1,surprise,,1,10,0.3,,,,,,,,,,,Low_2
d_ex_shopping_01_71,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_71,True,,1,surprise,,10,10,1.0,bgm_story_tomboyprincess,,,,,,,,,,
d_ex_shopping_01_72,d_ex_shopping_01,Self,privaty,,Locale_SuddenStory:d_ex_shopping_01_72,True,,1,surprise,,10,10,1.0,,,,,,,,,,,
d_ex_shopping_01_73,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_73,True,,1,surprise,,10,10,1.0,,,,,,,,,,,
d_ex_shopping_01_74,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_74,True,,1,surprise,,10,10,1.0,,,,,,,,,,,
d_ex_shopping_01_75,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_75,True,,1,shy,,10,S_100,0.3,,,,,,,,,,,
d_ex_shopping_01_76,d_ex_shopping_01,Speech,privaty,privaty,Locale_SuddenStory:d_ex_shopping_01_76,True,,1,shy,,S_100,S_100,1.0,,,,,,,,,,,
d_ex_shopping_01_77,d_ex_shopping_01,Self,privaty,,Locale_SuddenStory:d_ex_shopping_01_77,True,,7,shy,,S_100,S_100,1.0,,,,,,,privaty,,,,
d_ex_shopping_01_78,d_ex_shopping_01,Narration,privaty,,Locale_SuddenStory:d_ex_shopping_01_78,True,,7,shy,none,black,black,1.0,,,,,,sfx_scn_run,,,,,
