id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,set_camera_shake,characters/9/hide_char_id,play_sound
d_main_04_07_36,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_36,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_37,d_main_04_07,Self,shifty_c,Self,Locale_MainScenario:d_main_04_07_37,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_38,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_38,False,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,think,,,
d_main_04_07_39,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_39,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,no,,,
d_main_04_07_40,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_40,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_41,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_41,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_42,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_42,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_43,d_main_04_07,Speech,shifty_c,shifty_c,Locale_MainScenario:d_main_04_07_43,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,,
d_main_04_07_44,d_main_04_07,Narration,shifty_c,Narration,Locale_MainScenario:d_main_04_07_44,True,,,,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,OP_center,angry,,shifty_c,sfx_scn_over
d_main_04_07_45,d_main_04_07,Self,,Self,Locale_MainScenario:d_main_04_07_45,True,rapi,1,idle,,,,,,,,17,idle,,19,think,,1,1,1.0,,,,,,,,
d_main_04_07_46,d_main_04_07,Speech,rapi,rapi,Locale_MainScenario:d_main_04_07_46,True,,1,idle,,,,,,,,17,idle,,19,think,,1,10,1.0,,,,,,,,
