id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,fade,set_camera_shake,set_filter_01,set_filter_02
d_ex_powerplant_03_29,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_29,True,,black,black,1.0,,,milk,,,,,,,,d_ex_powerplant_03_30,,,,,,
d_ex_powerplant_03_30,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_30,True,,3,12,2.0,,none,milk,,frima,1,idle,milk,13,idle,,,,black,,,
d_ex_powerplant_03_31,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_31,False,,12,12,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_32,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_32,True,,12,12,1.0,,bgm_story_herecomestrouble,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_33,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_33,True,,12,12,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_34,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_34,True,,12,10,1.0,,,frima,frima,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_35,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_35,False,,10,S_130,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_36,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_36,True,,S_130,S_130,1.0,,,milk,milk,,1,idle,,13,good,,,,,,,
d_ex_powerplant_03_37,d_ex_powerplant_03,Narration,Locale_SuddenStory:d_ex_powerplant_03_37,True,,S_130,S_1300,0.5,sfx_scn_spark,,milk,,,1,idle,,13,idle,,,,,Low_2,,
d_ex_powerplant_03_38,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_38,False,,S_1300,S_1300,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_39,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_39,False,,S_1300,100,1.0,,,frima,frima,,1,think,,13,idle,,,,,,,
d_ex_powerplant_03_40,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_40,True,,100,10,1.0,,,frima,frima,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_41,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_41,True,,S_130,S_130,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_42,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_42,True,,10,10,1.0,,,frima,frima,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_43,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_43,True,,10,12,1.0,,,milk,milk,,1,idle,,13,no,,,,,,,
d_ex_powerplant_03_44,d_ex_powerplant_03,Narration,Locale_SuddenStory:d_ex_powerplant_03_44,True,,12,12,0.5,sfx_scn_electricityoff,,milk,,,1,surprise,,13,surprise,,,,,Low_2,Blur_Low,Vignetting
d_ex_powerplant_03_45,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_45,True,,black,black,1.0,,,milk,,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_46,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_46,False,,black,black,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_47,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_47,True,,black,black,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_48,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_48,True,,black,black,1.0,,,frima,frima,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_49,d_ex_powerplant_03,Narration,Locale_SuddenStory:d_ex_powerplant_03_49,True,,12,12,1.0,sfx_scn_spark,,frima,,,1,surprise,,13,surprise,,,,,Low_2,,
d_ex_powerplant_03_50,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_50,True,,black,black,1.0,,,frima,,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_51,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_51,False,,black,black,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_52,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_52,True,,black,black,1.0,,,frima,frima,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_53,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_53,True,,black,black,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_54,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_54,True,,black,black,1.0,,,frima,frima,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_55,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_55,False,,black,black,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_56,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_56,True,,black,black,1.0,,,milk,milk,,1,idle,,13,idle,,,,,,,
d_ex_powerplant_03_57,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_57,True,,190,19,2.0,,,milk,,,1,idle,,13,idle,,frima,milk,black,,Grey,Vignetting
d_ex_powerplant_03_58,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_58,True,,19,13,1.0,,,milk,,,,,,,,,,,,,Grey,Vignetting
d_ex_powerplant_03_59,d_ex_powerplant_03,Monologue,Locale_SuddenStory:d_ex_powerplant_03_59,True,,13,S_130,2.0,,,milk,,frima,1,sleep_01,milk,13,shy,,,,,,Grey,Vignetting
d_ex_powerplant_03_60,d_ex_powerplant_03,Self,Locale_SuddenStory:d_ex_powerplant_03_60,True,,S_130,S_130,1.0,,,milk,,,1,think,,13,shy,,,,,,Grey,Vignetting
d_ex_powerplant_03_61,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_61,False,,S_130,S_130,1.0,,,milk,milk,,1,think,,13,shy,,,,,,Grey,Vignetting
d_ex_powerplant_03_62,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_62,True,,S_130,S_1300,0.5,,,milk,milk,,1,sleep_01,,13,shy,,,,,,Grey,Vignetting
d_ex_powerplant_03_63,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_63,True,,S_1300,S_1300,1.0,,,milk,milk,,1,sleep_01,,13,angry,,,,,,Grey,Vignetting
d_ex_powerplant_03_64,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_64,True,,S_1300,S_1300,1.0,,,milk,milk,,1,sleep_01,,13,angry,,,,,,Grey,Vignetting
d_ex_powerplant_03_65,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_65,True,,S_1300,S_130,1.0,,,milk,milk,,1,sleep_01,,13,no,,,,,,Grey,Vignetting
d_ex_powerplant_03_66,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_66,False,,S_130,10,2.0,,,frima,frima,,1,sleep_01,,13,idle,,,,,,Grey,Vignetting
d_ex_powerplant_03_67,d_ex_powerplant_03,Speech,Locale_SuddenStory:d_ex_powerplant_03_67,True,,10,12,2.0,,,frima,frima,,1,sleep_01,,13,no,,,,,,Grey,Vignetting
