id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound
d_ex_wingofvictory_03_16,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_16,True,,5,sad,,XS_50,53,2.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_17,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_17,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_18,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_18,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_19,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_19,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_20,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_20,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_21,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_21,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_22,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_22,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_23,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_23,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_24,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_24,True,,5,sad,,53,XS_50,2.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_25,d_ex_wingofvictory_03,Speech,ether,harran,Locale_SuddenStory:d_ex_wingofvictory_03_25,False,,5,angry,,XS_50,XS_50,1.0,none,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_26,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_26,True,,5,angry,,XS_50,XS_500,2.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_27,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_27,True,,5,angry,,XS_500,XS_500,1.0,bgm_story_crawlinganxiety,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_28,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_28,True,,5,angry,,300,300,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_29,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_29,True,,5,angry,,XS_500,XS_500,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_30,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_30,True,,5,angry,,300,300,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_31,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_31,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_32,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_32,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_33,d_ex_wingofvictory_03,Self,harran,,Locale_SuddenStory:d_ex_wingofvictory_03_33,False,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_34,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_34,True,,5,sad,,53,30,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_35,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_35,True,,5,sad,,30,30,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_36,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_36,True,,5,sad,,30,30,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_37,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_37,True,,5,sad,,30,30,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_38,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_38,True,,5,sad,,30,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_39,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_39,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_40,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_40,False,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_41,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_41,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_42,d_ex_wingofvictory_03,Choice,harran,,Locale_SuddenStory:d_ex_wingofvictory_03_42,False,,5,sad,,53,53,1.0,,,3,idle,d_ex_wingofvictory_03_44,,,,,,,,
d_ex_wingofvictory_03_43,d_ex_wingofvictory_03,Choice,harran,,Locale_SuddenStory:d_ex_wingofvictory_03_43,False,,5,sad,,53,53,1.0,,,3,idle,d_ex_wingofvictory_03_44,,,,,,,,
d_ex_wingofvictory_03_44,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_44,True,,5,sad,,53,53,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_45,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_45,True,,5,sad,,53,31,1.0,,,3,idle,,,,,,,,,
d_ex_wingofvictory_03_46,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_46,True,,5,sad,,31,10,1.0,none,,3,idle,,emma,1,delight,,,,,
d_ex_wingofvictory_03_47,d_ex_wingofvictory_03,Speech,emma,harran,Locale_SuddenStory:d_ex_wingofvictory_03_47,False,,5,sad,,10,10,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_48,d_ex_wingofvictory_03,Speech,emma,ether,Locale_SuddenStory:d_ex_wingofvictory_03_48,False,,5,sad,,10,10,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_49,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_49,True,,5,sad,,10,1,1.0,bgm_story_herecomestrouble,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_50,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_50,False,,5,sad,,1,53,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_51,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_51,True,,5,sad,,53,53,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_52,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_52,True,,5,sad,,53,1,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_53,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_53,True,,5,sad,,1,1,1.0,,,3,rage,,,1,surprise,,,,,
d_ex_wingofvictory_03_54,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_54,True,,5,sad,,1,1,1.0,,,3,idle,,,1,idle,,,,,
d_ex_wingofvictory_03_55,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_55,True,,5,sad,,1,100,0.5,,,3,idle,,,1,delight,,,,,
d_ex_wingofvictory_03_56,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_56,True,,5,sad,,53,53,1.0,,,3,idle,,,1,delight,,,,,
d_ex_wingofvictory_03_57,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_57,True,,5,sad,,53,53,1.0,,,3,idle,,,1,delight,,,,,
d_ex_wingofvictory_03_58,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_58,True,,5,sad,,53,31,1.0,,,3,idle,,,1,idle,,,,,
d_ex_wingofvictory_03_59,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_59,True,,5,sad,,31,31,1.0,,,3,idle,,,1,idle,,,,,
d_ex_wingofvictory_03_60,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_60,True,,5,sad,,31,31,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_61,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_61,False,,5,sad,,31,30,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_62,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_62,True,,5,sad,,30,30,1.0,,,3,idle,,,1,idle,,,,,
d_ex_wingofvictory_03_63,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_63,True,,5,sad,,10,100,0.5,,,3,idle,,,1,delight,,,,,
d_ex_wingofvictory_03_64,d_ex_wingofvictory_03,Narration,emma,,Locale_SuddenStory:d_ex_wingofvictory_03_64,False,,5,sad,,1,1,1.0,,,3,idle,,,1,idle,black,,,,
d_ex_wingofvictory_03_65,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_65,True,,5,sad,,1,1,1.0,,,3,idle,,,1,delight,,,,,
d_ex_wingofvictory_03_66,d_ex_wingofvictory_03,Monologue,emma,,Locale_SuddenStory:d_ex_wingofvictory_03_66,False,,5,sad,,1,1,1.0,,,3,idle,,,1,delight,,,,,
d_ex_wingofvictory_03_67,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_67,True,,5,sad,,53,53,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_68,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_68,True,,5,sad,,53,53,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_69,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_69,True,,5,sad,,53,30,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_70,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_70,True,,5,sad,,30,300,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_71,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_71,True,,5,sad,,300,300,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_72,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_72,True,,5,sad,,1,1,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_73,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_73,True,,5,sad,,1,1,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_74,d_ex_wingofvictory_03,Choice,emma,,Locale_SuddenStory:d_ex_wingofvictory_03_74,False,,5,sad,,1,1,1.0,,,3,rage,d_ex_wingofvictory_03_76,,1,delight,,,,,
d_ex_wingofvictory_03_75,d_ex_wingofvictory_03,Choice,emma,,Locale_SuddenStory:d_ex_wingofvictory_03_75,False,,5,sad,,1,1,1.0,,,3,rage,d_ex_wingofvictory_03_76,,1,delight,,,,,
d_ex_wingofvictory_03_76,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_76,True,,5,sad,,1,1,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_77,d_ex_wingofvictory_03,Self,emma,,Locale_SuddenStory:d_ex_wingofvictory_03_77,False,,5,sad,,1,1,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_78,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_78,True,,5,sad,,1,1,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_79,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_79,True,,5,sad,,1,53,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_80,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_80,True,,5,sad,,53,53,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_81,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_81,True,,5,sad,,53,53,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_82,d_ex_wingofvictory_03,Speech,harran,harran,Locale_SuddenStory:d_ex_wingofvictory_03_82,True,,5,sad,,53,53,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_83,d_ex_wingofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_wingofvictory_03_83,True,,5,sad,,53,53,1.0,,,3,rage,,,1,delight,,,,,
d_ex_wingofvictory_03_84,d_ex_wingofvictory_03,Choice,ether,,Locale_SuddenStory:d_ex_wingofvictory_03_84,False,,5,sad,,53,53,1.0,,,3,rage,d_ex_wingofvictory_03_86,,1,delight,,,,,
d_ex_wingofvictory_03_85,d_ex_wingofvictory_03,Choice,ether,,Locale_SuddenStory:d_ex_wingofvictory_03_85,False,,5,sad,,53,53,1.0,,,3,rage,d_ex_wingofvictory_03_89,,1,delight,,,,,
d_ex_wingofvictory_03_86,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_86,True,,5,sad,,1,10,1.0,,,3,rage,,,1,surprise,,,,,
d_ex_wingofvictory_03_87,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_87,True,,5,sad,,10,10,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_88,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_88,True,,5,sad,,10,100,1.0,,,3,rage,d_ex_wingofvictory_03_92,,1,delight,,,,,
d_ex_wingofvictory_03_89,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_89,True,,5,sad,,1,10,1.0,,,3,rage,,,1,surprise,,,,,
d_ex_wingofvictory_03_90,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_90,True,,5,sad,,10,10,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_91,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_91,True,,5,sad,,10,100,1.0,,,3,rage,d_ex_wingofvictory_03_92,,1,delight,,,,,
d_ex_wingofvictory_03_92,d_ex_wingofvictory_03,Self,emma,,Locale_SuddenStory:d_ex_wingofvictory_03_92,False,,5,sad,,100,100,1.0,,,3,rage,,,1,idle,,,,,
d_ex_wingofvictory_03_93,d_ex_wingofvictory_03,Speech,emma,emma,Locale_SuddenStory:d_ex_wingofvictory_03_93,True,,5,sad,,100,100,1.0,,,3,rage,,,1,special,,,,,
d_ex_wingofvictory_03_94,d_ex_wingofvictory_03,Self,emma,,Locale_SuddenStory:d_ex_wingofvictory_03_94,False,,5,sad,,100,100,1.0,,,3,rage,,,1,special,,,,,
d_ex_wingofvictory_03_95,d_ex_wingofvictory_03,Speech,emma,ether,Locale_SuddenStory:d_ex_wingofvictory_03_95,False,,5,sad,,100,100,1.0,,,3,rage,,,1,special,,,,,
d_ex_wingofvictory_03_96,d_ex_wingofvictory_03,Speech,emma,harran,Locale_SuddenStory:d_ex_wingofvictory_03_96,True,,5,sad,,100,100,1.0,,,3,rage,,,1,special,,,,,
d_ex_wingofvictory_03_97,d_ex_wingofvictory_03,Self,emma,,Locale_SuddenStory:d_ex_wingofvictory_03_97,False,,5,sad,,100,100,1.0,,,3,rage,,,1,special,,,,,
d_ex_wingofvictory_03_98,d_ex_wingofvictory_03,Speech,emma,ether,Locale_SuddenStory:d_ex_wingofvictory_03_98,True,,5,sad,,100,100,1.0,,,3,rage,,,1,special,,,,,
d_ex_wingofvictory_03_99,d_ex_wingofvictory_03,Speech,emma,harran,Locale_SuddenStory:d_ex_wingofvictory_03_99,True,,5,sad,,100,100,1.0,,,3,rage,,,1,special,,,,,
d_ex_wingofvictory_03_100,d_ex_wingofvictory_03,Monologue,,,Locale_SuddenStory:d_ex_wingofvictory_03_100,False,,5,sad,none,100,100,1.0,,,3,rage,,,1,special,,ether,harran,emma,
d_ex_wingofvictory_03_101,d_ex_wingofvictory_03,Narration,,,Locale_SuddenStory:d_ex_wingofvictory_03_101,False,,,,,100,100,1.0,,,,,,,,,,,,,sfx_scn_swallow
