id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake
d_ex_workshop_08_43,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_43,True,,1,delight,,13,delight,,15,idle,,S_100,S_100,1.0,,
d_ex_workshop_08_44,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_44,True,,1,delight,,13,angry,,15,idle,,S_100,12,1.0,,
d_ex_workshop_08_45,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_45,True,,1,delight,,13,angry,,15,idle,,12,12,1.0,,
d_ex_workshop_08_46,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_46,True,,1,special,,13,angry,,15,idle,,12,12,1.0,,
d_ex_workshop_08_47,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_47,True,,1,idle,,13,angry,,15,idle,,12,12,1.0,,
d_ex_workshop_08_48,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_48,True,,1,idle,,13,angry,,15,idle,,12,12,1.0,,
d_ex_workshop_08_49,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_49,True,,1,idle,,13,no,,15,idle,,12,XS_130,1.0,,
d_ex_workshop_08_50,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_50,True,,1,idle,,13,no,,15,idle,,XS_130,XS_130,1.0,,
d_ex_workshop_08_51,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_51,True,,1,idle,,13,idle,,15,idle,,XS_130,XS_130,1.0,,
d_ex_workshop_08_52,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_52,True,,1,idle,,13,idle,,15,idle,,XS_130,XS_130,1.0,,
d_ex_workshop_08_53,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_53,True,,1,idle,,13,idle,,15,idle,,XS_130,XS_130,1.0,,
d_ex_workshop_08_54,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_54,True,,1,special,,13,idle,,15,idle,,XS_130,12,1.0,,
d_ex_workshop_08_55,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_55,True,,1,special,,13,idle,,15,idle,,12,12,1.0,,
d_ex_workshop_08_56,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_56,True,,1,special,,13,idle,,15,idle,,12,12,1.0,,
d_ex_workshop_08_57,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_57,True,,1,special,,13,idle,,15,idle,,12,12,1.0,,
d_ex_workshop_08_58,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_58,True,,1,special,,13,idle,,15,idle,,12,12,1.0,,
d_ex_workshop_08_59,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_59,True,,1,special,,13,idle,,15,idle,,12,12,1.0,,
d_ex_workshop_08_60,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_60,True,,1,special,,13,delight,,15,idle,,12,12,1.0,,
d_ex_workshop_08_61,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_61,True,,1,special,,13,delight,,15,idle,,12,12,1.0,,
d_ex_workshop_08_62,d_ex_workshop_08,Speech,elegg,elegg,Locale_SuddenStory:d_ex_workshop_08_62,True,,1,delight,,13,delight,,15,idle,,12,12,1.0,,
d_ex_workshop_08_63,d_ex_workshop_08,Speech,liter,liter,Locale_SuddenStory:d_ex_workshop_08_63,True,,1,delight,,13,delight,,15,idle,,12,12,1.0,,
d_ex_workshop_08_64,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_64,True,,1,delight,,13,delight,,15,idle,,L_150,L_150,1.0,,
d_ex_workshop_08_65,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_65,True,,1,delight,,13,delight,,15,delight,,L_150,L_150,1.0,,
d_ex_workshop_08_66,d_ex_workshop_08,Self,elegg,,Locale_SuddenStory:d_ex_workshop_08_66,False,,1,delight,,13,delight,,15,delight,,L_150,L_150,1.0,,
d_ex_workshop_08_67,d_ex_workshop_08,Speech,centi,centi,Locale_SuddenStory:d_ex_workshop_08_67,True,,1,delight,,13,delight,,15,delight,,L_150,12,1.0,,
d_ex_workshop_08_68,d_ex_workshop_08,Monologue,elegg,,Locale_SuddenStory:d_ex_workshop_08_68,False,,1,delight,,13,delight,,15,delight,,12,12,1.0,,
d_ex_workshop_08_69,d_ex_workshop_08,Monologue,elegg,,Locale_SuddenStory:d_ex_workshop_08_69,False,,1,delight,,13,delight,,15,delight,,12,12,1.0,,
