id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_tower_09_37,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_37,True,,1,1,1.0,,moran,moran,,,13,idle,,,1,idle,,,
d_ex_tower_09_38,d_ex_tower_09,Narration,Locale_SuddenStory:d_ex_tower_09_38,False,,1,3,1.0,,rosanna,,,,13,idle,,,1,idle,,,
d_ex_tower_09_39,d_ex_tower_09,Narration,Locale_SuddenStory:d_ex_tower_09_39,False,,3,3,1.0,,rosanna,,,,13,idle,sfx_scn_safe_landing,,1,idle,rosanna,3,idle
d_ex_tower_09_40,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_40,False,,3,3,1.0,,rosanna,,,,13,idle,,,1,idle,,3,idle
d_ex_tower_09_41,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_41,True,,3,30,1.0,,rosanna,rosanna,,,13,idle,,,1,idle,,3,idle
d_ex_tower_09_42,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_42,True,,30,30,1.0,,rosanna,rosanna,,,13,idle,,,1,idle,,3,idle
d_ex_tower_09_43,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_43,False,,30,XS_130,1.0,,rosanna,,,,13,idle,,,1,idle,,3,idle
d_ex_tower_09_44,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_44,True,,XS_130,XS_130,1.0,,crust,crust,,,13,idle,,,1,idle,,3,idle
d_ex_tower_09_45,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_45,True,,XS_130,XS_130,1.0,,crust,crust,,,13,idle,,,1,idle,,3,idle
d_ex_tower_09_46,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_46,True,,XS_130,10,1.0,,moran,moran,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_47,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_47,True,,10,10,1.0,,moran,moran,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_48,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_48,False,,10,10,1.0,,moran,,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_49,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_49,True,,10,12,0.7,,moran,moran,,,13,idle,,,1,shy,,3,idle
d_ex_tower_09_50,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_50,True,,12,12,1.0,,crust,crust,,,13,idle,,,1,shy,,3,idle
d_ex_tower_09_51,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_51,True,,12,12,1.0,,crust,crust,,,13,idle,,,1,shy,,3,idle
d_ex_tower_09_52,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_52,True,,12,12,1.0,,moran,moran,,,13,idle,,,1,shy,,3,idle
d_ex_tower_09_53,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_53,True,,12,2,1.0,,rosanna,rosanna,,,13,idle,,,1,shy,,3,idle
d_ex_tower_09_54,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_54,True,,2,2,1.0,,rosanna,rosanna,,,13,idle,,,1,shy,,3,idle
d_ex_tower_09_55,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_55,True,,2,2,1.0,,moran,moran,,,13,idle,,,1,angry,,3,idle
d_ex_tower_09_56,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_56,False,,2,2,1.0,,moran,,,,13,idle,,,1,angry,,3,idle
d_ex_tower_09_57,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_57,True,,2,2,1.0,,rosanna,rosanna,,,13,idle,,,1,angry,,3,idle
d_ex_tower_09_58,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_58,True,,2,2,1.0,,rosanna,rosanna,,,13,idle,,,1,angry,,3,idle
d_ex_tower_09_59,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_59,False,,2,2,1.0,,rosanna,,,,13,idle,,,1,angry,,3,idle
d_ex_tower_09_60,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_60,True,,2,2,1.0,,moran,moran,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_61,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_61,False,,2,2,1.0,,moran,,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_62,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_62,True,,2,2,1.0,,rosanna,rosanna,,,13,idle,,,1,think,,3,good
d_ex_tower_09_63,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_63,True,,2,1,1.0,,moran,moran,,,13,idle,,,1,think,,3,good
d_ex_tower_09_64,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_64,True,,1,1,1.0,,moran,moran,,,13,idle,,,1,think,,3,good
d_ex_tower_09_65,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_65,True,,1,1,1.0,,moran,moran,,,13,idle,,,1,idle,,3,good
d_ex_tower_09_66,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_66,True,,1,12,1.0,,moran,moran,,,13,idle,,,1,delight,,3,good
d_ex_tower_09_67,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_67,True,,12,12,1.0,,crust,crust,,,13,delight,,,1,delight,,3,good
d_ex_tower_09_68,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_68,False,,12,12,1.0,,crust,,,,13,delight,,,1,delight,,3,good
d_ex_tower_09_69,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_69,False,,12,12,1.0,,crust,,,,13,delight,,,1,delight,,3,good
d_ex_tower_09_70,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_70,True,,12,10,1.0,,moran,moran,,,13,idle,,,1,think,,3,good
d_ex_tower_09_71,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_71,False,,10,10,1.0,,moran,,,,13,idle,,,1,think,,3,good
d_ex_tower_09_72,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_72,True,,10,10,1.0,,moran,moran,,,13,idle,,,1,worry,,3,good
d_ex_tower_09_73,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_73,False,,10,10,1.0,,moran,,,,13,idle,,,1,worry,,3,good
d_ex_tower_09_74,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_74,True,,10,30,1.0,,rosanna,rosanna,,,13,idle,,,1,worry,,3,good
d_ex_tower_09_75,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_75,True,,30,30,1.0,,rosanna,rosanna,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_76,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_76,False,,30,30,1.0,,rosanna,,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_77,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_77,True,,30,30,1.0,,rosanna,rosanna,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_78,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_78,True,,30,30,1.0,,rosanna,rosanna,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_79,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_79,True,,30,30,1.0,,rosanna,rosanna,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_80,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_80,True,,XS_130,XS_130,1.0,,crust,crust,,,13,idle,,,1,think,,3,idle
d_ex_tower_09_81,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_81,True,,XS_130,XS_130,1.0,,crust,crust,,,13,sad,,,1,think,,3,idle
d_ex_tower_09_82,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_82,True,,XS_130,XS_130,1.0,,crust,crust,,,13,sad,,,1,think,,3,idle
d_ex_tower_09_83,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_83,True,,XS_130,XS_130,1.0,,crust,crust,,,13,sad,,,1,think,,3,idle
d_ex_tower_09_84,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_84,True,,3,3,1.0,,rosanna,rosanna,,,13,sad,,,1,think,,3,idle
d_ex_tower_09_85,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_85,True,,3,12,1.0,,moran,moran,,,13,sad,,,1,idle,,3,idle
d_ex_tower_09_86,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_86,True,,12,12,1.0,,moran,moran,,,13,sad,,,1,idle,,3,idle
d_ex_tower_09_87,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_87,True,,12,12,1.0,,crust,crust,,,13,idle,,,1,idle,,3,idle
d_ex_tower_09_88,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_88,True,,12,12,1.0,,moran,moran,,,13,idle,,,1,idle,,3,idle
d_ex_tower_09_89,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_89,True,,12,12,1.0,,crust,crust,,,13,delight,,,1,idle,,3,idle
d_ex_tower_09_90,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_90,True,,12,12,1.0,,moran,moran,,,13,delight,,,1,delight,,3,idle
d_ex_tower_09_91,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_91,False,,12,12,1.0,,rosanna,,,,13,delight,,,1,delight,,3,idle
d_ex_tower_09_92,d_ex_tower_09,Narration,Locale_SuddenStory:d_ex_tower_09_92,False,,12,3,1.0,,rosanna,,,,13,delight,sfx_scn_bodytouch,,1,delight,,3,idle
d_ex_tower_09_93,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_93,False,,3,3,1.0,,rosanna,,,,13,delight,,,1,delight,,3,idle
d_ex_tower_09_94,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_94,True,,3,30,1.0,,rosanna,rosanna,,,13,delight,,,1,idle,,3,good
d_ex_tower_09_95,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_95,True,,XS_130,XS_130,1.0,,crust,crust,,,13,idle,,,1,idle,,3,good
d_ex_tower_09_96,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_96,True,,2,2,1.0,,rosanna,rosanna,,,13,idle,,,1,idle,,3,good
d_ex_tower_09_97,d_ex_tower_09,Speech,Locale_SuddenStory:d_ex_tower_09_97,True,,2,2,1.0,,moran,moran,,,13,idle,,,1,idle,,3,good
d_ex_tower_09_98,d_ex_tower_09,Self,Locale_SuddenStory:d_ex_tower_09_98,False,,2,2,1.0,,moran,,,,13,idle,,,1,idle,,3,good
d_ex_tower_09_99,d_ex_tower_09,Monologue,Locale_SuddenStory:d_ex_tower_09_99,False,,black,black,1.0,,moran,,,,13,idle,,,1,idle,,3,good
