id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,jump_target
d_ex_library_02_62,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_62,True,,100,10,0.5,,,emma,emma,,,,,,1,surprise,,d_ex_library_02_63
d_ex_library_02_63,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_63,False,,10,10,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_64,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_64,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_65,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_65,True,,10,10,1.0,,,emma,emma,,,,,,1,idle,,
d_ex_library_02_66,d_ex_library_02,Monologue,Locale_SuddenStory:d_ex_library_02_66,False,,10,10,1.0,,,,,,,,,,1,idle,,
d_ex_library_02_67,d_ex_library_02,Narration,Locale_SuddenStory:d_ex_library_02_67,False,,black,black,1.0,sfx_scn_paperfly,,,,,,,,,1,idle,,
d_ex_library_02_68,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_68,True,,10,10,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_69,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_69,False,,10,10,1.0,,,,,,,,,,1,surprise,,
d_ex_library_02_70,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_70,True,,10,10,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_71,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_71,True,,10,10,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_72,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_72,False,,10,100,0.5,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_73,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_73,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_74,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_74,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_75,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_75,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_76,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_76,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_77,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_77,False,,100,10,0.5,,,,,,,,,,1,surprise,,
d_ex_library_02_78,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_78,True,,10,10,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_79,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_79,True,,10,10,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_80,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_80,True,,10,10,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_81,d_ex_library_02,Monologue,Locale_SuddenStory:d_ex_library_02_81,False,,10,10,1.0,,,,,,,,,,1,surprise,,
d_ex_library_02_82,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_82,True,,10,100,0.5,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_83,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_83,False,,100,100,1.0,,,,,,,,,,1,surprise,,
d_ex_library_02_84,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_84,True,,100,100,1.0,,,emma,emma,,,,,,1,surprise,,
d_ex_library_02_85,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_85,True,,100,100,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_86,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_86,True,,100,100,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_87,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_87,True,,100,100,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_88,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_88,True,,100,100,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_89,d_ex_library_02,Self,Locale_SuddenStory:d_ex_library_02_89,False,,100,100,1.0,,,,,,,,,,1,delight,,
d_ex_library_02_90,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_90,True,,100,100,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_91,d_ex_library_02,Speech,Locale_SuddenStory:d_ex_library_02_91,True,,100,10,1.0,,,emma,emma,,,,,,1,delight,,
d_ex_library_02_92,d_ex_library_02,Monologue,Locale_SuddenStory:d_ex_library_02_92,False,,10,10,1.0,,,,,,,,,,1,delight,,
d_ex_library_02_93,d_ex_library_02,Monologue,Locale_SuddenStory:d_ex_library_02_93,False,,10,10,1.0,,,,,,,,,,1,delight,,
