id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_14_11_20,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_20,True,,130,130,1.0,,anis,anis,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_21,d_main_14_11,Choice,Locale_MainScenario:d_main_14_11_21,False,,L_10,L_10,1.0,,,,d_main_14_11_23,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_22,d_main_14_11,Choice,Locale_MainScenario:d_main_14_11_22,False,,L_10,L_10,1.0,,,,d_main_14_11_24,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_23,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_23,True,,L_10,L_10,1.0,,ingrid,ingrid,d_main_14_11_25,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_24,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_24,True,,L_10,L_10,1.0,,ingrid,ingrid,d_main_14_11_25,,13,void,,1,think,,,3,idle,,15,idle,,5,surprise
d_main_14_11_25,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_25,False,,30,30,1.0,,rapi,rapi,,,13,void,,1,think,,,3,idle,,15,idle,,5,surprise
d_main_14_11_26,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_26,True,,L_10,L_10,1.0,,ingrid,ingrid,,,13,void,,1,think,,,3,idle,,15,idle,,5,surprise
d_main_14_11_27,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_27,True,,L_10,L_10,1.0,,ingrid,ingrid,,,13,void,,1,think,,,3,idle,,15,idle,,5,surprise
d_main_14_11_28,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_28,True,,L_10,113,1.0,,anis,anis,,,13,void,,1,think,,,3,idle,,15,idle,,5,surprise
d_main_14_11_29,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_29,True,,113,113,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_30,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_30,True,,113,113,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_31,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_31,True,,113,31,1.0,,rapi,rapi,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_32,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_32,True,,31,31,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_33,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_33,True,,31,31,1.0,,rapi,rapi,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_34,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_34,False,,31,L_10,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_35,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_35,True,,L_10,L_10,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_36,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_36,True,,L_10,L_10,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_37,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_37,True,,L_10,L_10,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_38,d_main_14_11,Self,Locale_MainScenario:d_main_14_11_38,False,,L_10,L_10,1.0,,,,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_39,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_39,True,,L_10,L_100,0.5,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_40,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_40,True,,L_100,L_100,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_41,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_41,True,,L_100,L_100,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_42,d_main_14_11,Self,Locale_MainScenario:d_main_14_11_42,False,,L_100,L_100,1.0,,,,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_43,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_43,False,,L_100,1,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_44,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_44,True,,1,1,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_45,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_45,True,,1,1,1.0,,ingrid,ingrid,,,13,void,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_46,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_46,True,,1,113,1.0,,anis,anis,,,13,angry,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_47,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_47,True,,113,113,1.0,,ingrid,ingrid,,,13,angry,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_48,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_48,True,,113,1,1.0,,ingrid,ingrid,,,13,angry,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_49,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_49,True,,1,1,1.0,,ingrid,ingrid,,,13,angry,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_50,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_50,True,,1,1,1.0,,ingrid,ingrid,,,13,angry,,1,idle,,,3,idle,,15,idle,,5,surprise
d_main_14_11_51,d_main_14_11,Narration,Locale_MainScenario:d_main_14_11_51,False,,1,1,1.0,none,,,,,13,angry,,1,idle,ingrid,,3,idle,,15,idle,,5,surprise
d_main_14_11_52,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_52,False,,30,30,1.0,,rapi,rapi,,,13,void,,,,,,3,idle,,15,idle,,5,surprise
d_main_14_11_53,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_53,False,,130,130,1.0,,anis,anis,,,13,void,,,,,,3,idle,,15,idle,,5,surprise
d_main_14_11_54,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_54,False,,S_150,S_150,1.0,,neon,neon,,,13,void,,,,,,3,idle,,15,idle,,5,surprise
d_main_14_11_55,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_55,True,,53,53,1.0,,marian_p,marian_p,,,13,void,,,,,,3,idle,,15,idle,,5,surprise
d_main_14_11_56,d_main_14_11,Speech,Locale_MainScenario:d_main_14_11_56,True,,53,53,1.0,,rapi,rapi,,,13,void,,,,,,3,idle,,15,idle,,5,surprise
