id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,play_sound,fade
d_main_34_09_s_24,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_24,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_25,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_25,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_26,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_26,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_27,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_27,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_28,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_28,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_29,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_29,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_30,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_30,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_31,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_31,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_32,d_main_34_09_s,Speech,behemoth,behemoth,Locale_MainScenario:d_main_34_09_s_32,True,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_33,d_main_34_09_s,Speech,leviathan,leviathan,Locale_MainScenario:d_main_34_09_s_33,True,,1,behemothandlevi_01,1.0,none,,,,,,,,,,,,,,,,,,,,,
d_main_34_09_s_34,d_main_34_09_s,Monologue,eunhwa_t,,Locale_MainScenario:d_main_34_09_s_34,False,BlackPuddle,90,8,2.0,,,eunhwa_t,9,angry,rapi,7,angry,anis,5,angry,neon,3,idle,vesti_t,1,idle,emma_t,13,idle,sfx_scn_behemothrun,black
d_main_34_09_s_35,d_main_34_09_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_09_s_35,True,,8,8,1.0,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,idle,,
d_main_34_09_s_36,d_main_34_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_34_09_s_36,True,,8,8,1.0,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,idle,,
d_main_34_09_s_37,d_main_34_09_s,Speech,anis,anis,Locale_MainScenario:d_main_34_09_s_37,True,,8,4,2.0,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,idle,,
d_main_34_09_s_38,d_main_34_09_s,Speech,neon,neon,Locale_MainScenario:d_main_34_09_s_38,True,,4,4,1.0,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,idle,,
d_main_34_09_s_39,d_main_34_09_s,Speech,anis,anis,Locale_MainScenario:d_main_34_09_s_39,True,,4,4,1.0,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,idle,,
d_main_34_09_s_40,d_main_34_09_s,Speech,vesti_t,vesti_t,Locale_MainScenario:d_main_34_09_s_40,True,,4,12,2.0,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,idle,,
d_main_34_09_s_41,d_main_34_09_s,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_09_s_41,True,,12,12,1.0,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,rage,,
d_main_34_09_s_42,d_main_34_09_s,Speech,rapi,rapi,Locale_MainScenario:d_main_34_09_s_42,True,,7,70,0.5,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,rage,,
d_main_34_09_s_43,d_main_34_09_s,Self,rapi,,Locale_MainScenario:d_main_34_09_s_43,False,,70,70,1.0,,,,9,angry,,7,angry,,5,angry,,3,idle,,1,idle,,13,rage,,
