id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_18_12_s_21,d_main_18_12_s,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_s_21,False,,S_150,S_150,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_22,d_main_18_12_s,Self,laplace,,Locale_MainScenario:d_main_18_12_s_22,False,,S_150,S_150,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_23,d_main_18_12_s,Speech,rapi,rapi,Locale_MainScenario:d_main_18_12_s_23,True,,30,30,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_24,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_24,True,,30,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_25,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_25,True,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_26,d_main_18_12_s,Narration,maxwell,,Locale_MainScenario:d_main_18_12_s_26,False,,10,1,1.0,,Low_2,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_27,d_main_18_12_s,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_s_27,False,,1,1,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_28,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_28,True,,1,10,2.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_29,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_29,True,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_30,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_30,True,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_31,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_31,True,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_32,d_main_18_12_s,Choice,maxwell,,Locale_MainScenario:d_main_18_12_s_32,False,,10,10,1.0,,,d_main_18_12_s_34,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_33,d_main_18_12_s,Choice,maxwell,,Locale_MainScenario:d_main_18_12_s_33,False,,10,10,1.0,,,d_main_18_12_s_35,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_34,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_34,True,,10,10,1.0,,,d_main_18_12_s_36,,7,idle,,5,idle,,3,idle,,1,delight,,13,idle,,15,sad
d_main_18_12_s_35,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_35,True,,10,10,1.0,,,d_main_18_12_s_36,,7,idle,,5,idle,,3,idle,,1,delight,,13,idle,,15,sad
d_main_18_12_s_36,d_main_18_12_s,Self,maxwell,,Locale_MainScenario:d_main_18_12_s_36,False,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_37,d_main_18_12_s,Self,maxwell,,Locale_MainScenario:d_main_18_12_s_37,False,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_38,d_main_18_12_s,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_s_38,False,,10,S_150,2.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_39,d_main_18_12_s,Monologue,laplace,,Locale_MainScenario:d_main_18_12_s_39,False,,S_150,S_1500,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_40,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_40,True,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_41,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_41,True,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
d_main_18_12_s_42,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_42,True,,10,10,1.0,,,,,7,idle,,5,idle,,3,idle,,1,sad,,13,idle,,15,sad
d_main_18_12_s_43,d_main_18_12_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_s_43,True,,10,100,0.5,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,sad
