id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,set_camera_shake,jump_target
d_ex_gym_06_43,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_43,True,,2,2,1.0,,poli,poli,,1,angry,,3,sad,,13,idle,,,
d_ex_gym_06_44,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_44,True,,2,2,1.0,,poli,poli,,1,angry,,3,sad,,13,idle,,,
d_ex_gym_06_45,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_45,True,,2,2,1.0,,quiry,quiry,,1,angry,,3,surprise,,13,idle,,,
d_ex_gym_06_46,d_ex_gym_06,Choice,Locale_SuddenStory:d_ex_gym_06_46,False,,2,2,1.0,,,,,1,angry,,3,surprise,,13,idle,,,d_ex_gym_06_48
d_ex_gym_06_47,d_ex_gym_06,Choice,Locale_SuddenStory:d_ex_gym_06_47,False,,2,2,1.0,,,,,1,angry,,3,surprise,,13,idle,,,d_ex_gym_06_48
d_ex_gym_06_48,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_48,True,,2,S_30,1.0,,quiry,quiry,,1,angry,,3,special_02,,13,idle,,,
d_ex_gym_06_49,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_49,True,,S_30,S_30,1.0,,quiry,quiry,,1,angry,,3,special_02,,13,idle,,,
d_ex_gym_06_50,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_50,True,,S_130,S_130,1.0,,miranda,miranda,,1,angry,,3,special_02,,13,idle,,,
d_ex_gym_06_51,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_51,True,,XS_10,XS_10,1.0,,poli,poli,,1,angry,,3,special_02,,13,idle,,,
d_ex_gym_06_52,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_52,True,,XS_10,1,1.0,,poli,poli,,1,angry,,3,special_02,,13,idle,,,
d_ex_gym_06_53,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_53,True,,1,1,1.0,,poli,poli,,1,idle,,3,special_02,,13,idle,,,
d_ex_gym_06_54,d_ex_gym_06,Monologue,Locale_SuddenStory:d_ex_gym_06_54,False,,black,black,1.0,,,,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_55,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_55,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_56,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_56,True,,12,12,1.0,,miranda,miranda,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_57,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_57,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_58,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_58,True,,12,12,1.0,,poli,poli,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_59,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_59,True,,12,12,1.0,,miranda,miranda,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_60,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_60,True,,12,12,1.0,,poli,poli,,1,sad,,3,idle,,13,idle,,,
d_ex_gym_06_61,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_61,True,,12,2,1.0,,quiry,quiry,,1,sad,,3,idle,,13,idle,,,
d_ex_gym_06_62,d_ex_gym_06,Monologue,Locale_SuddenStory:d_ex_gym_06_62,False,,2,2,1.0,,,,,1,sad,,3,idle,,13,idle,,,
d_ex_gym_06_63,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_63,False,,2,2,1.0,,,,,1,idle,,3,idle,,13,idle,,,
d_ex_gym_06_64,d_ex_gym_06,Narration,Locale_SuddenStory:d_ex_gym_06_64,False,,2,S_30,0.6,,,,,1,idle,,3,idle,,13,idle,sfx_scn_heavytrip,Low_2,
d_ex_gym_06_65,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_65,True,,S_30,S_30,1.0,,quiry,quiry,,1,idle,,3,sad,,13,idle,,,
d_ex_gym_06_66,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_66,True,,S_30,12,1.0,,poli,poli,,1,surprise,,3,sad,,13,idle,,,
d_ex_gym_06_67,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_67,True,,12,12,1.0,,miranda,miranda,,1,surprise,,3,sad,,13,idle,,,
d_ex_gym_06_68,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_68,True,,12,12,1.0,,poli,poli,,1,surprise,,3,sad,,13,idle,,,
d_ex_gym_06_69,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_69,True,,12,XS_10,1.0,,poli,poli,,1,sad,,3,sad,,13,idle,,,
d_ex_gym_06_70,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_70,False,,XS_10,XS_10,1.0,,,,,1,sad,,3,sad,,13,idle,,,
d_ex_gym_06_71,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_71,True,,XS_10,XS_10,1.0,,poli,poli,,1,idle,,3,sad,,13,idle,,,
d_ex_gym_06_72,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_72,False,,XS_10,XS_10,1.0,,,,,1,idle,,3,sad,,13,idle,,,
d_ex_gym_06_73,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_73,True,,XS_10,XS_10,1.0,,poli,poli,,1,delight,,3,sad,,13,idle,,,
d_ex_gym_06_74,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_74,True,,S_130,S_130,1.0,,miranda,miranda,,1,delight,,3,sad,,13,delight,,,
d_ex_gym_06_75,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_75,True,,S_30,S_30,1.0,,quiry,quiry,,1,delight,,3,sad,,13,delight,,,
d_ex_gym_06_76,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_76,False,,S_30,S_30,1.0,,,,,1,delight,,3,sad,,13,delight,,,
d_ex_gym_06_77,d_ex_gym_06,Monologue,Locale_SuddenStory:d_ex_gym_06_77,False,,black,black,1.0,,,,,1,idle,,3,sad,,13,delight,,,
d_ex_gym_06_78,d_ex_gym_06,Narration,Locale_SuddenStory:d_ex_gym_06_78,False,,13,S_130,0.6,,,,,1,idle,,3,idle,,13,think,sfx_scn_heavytrip,Low_2,
d_ex_gym_06_79,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_79,False,,S_130,S_130,1.0,,,,,1,idle,,3,idle,,13,think,,,
d_ex_gym_06_80,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_80,True,,S_130,12,1.0,,poli,poli,,1,sad,,3,idle,,13,think,,,
d_ex_gym_06_81,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_81,True,,12,12,1.0,,miranda,miranda,,1,sad,,3,idle,,13,think,,,
d_ex_gym_06_82,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_82,True,,12,12,1.0,,miranda,miranda,,1,sad,,3,idle,,13,idle,,,
d_ex_gym_06_83,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_83,True,,12,12,1.0,,poli,poli,,1,sad,,3,idle,,13,idle,,,
d_ex_gym_06_84,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_84,True,,3,3,1.0,,quiry,quiry,,1,sad,,3,special,,13,idle,,,
d_ex_gym_06_85,d_ex_gym_06,Narration,Locale_SuddenStory:d_ex_gym_06_85,False,,3,S_30,0.6,,,,,1,sad,,3,special,,13,idle,sfx_scn_heavytrip,Low_2,
d_ex_gym_06_86,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_86,True,,S_30,S_30,1.0,,quiry,quiry,,1,sad,,3,sad,,13,idle,,,
d_ex_gym_06_87,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_87,True,,S_30,2,1.0,,poli,poli,,1,angry,,3,sad,,13,idle,,,
d_ex_gym_06_88,d_ex_gym_06,Speech,Locale_SuddenStory:d_ex_gym_06_88,True,,2,2,1.0,,poli,poli,,1,angry,,3,sad,,13,idle,,,
d_ex_gym_06_89,d_ex_gym_06,Self,Locale_SuddenStory:d_ex_gym_06_89,False,,2,2,1.0,,,,,1,angry,,3,sad,,13,idle,,,
d_ex_gym_06_90,d_ex_gym_06,Monologue,Locale_SuddenStory:d_ex_gym_06_90,False,,black,black,1.0,,,,,1,angry,,3,sad,,13,idle,,,
