id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,set_filter_01,fade,jump_target
d_main_13af_01_27,d_main_13af_01,Self,andersen,,Locale_MainScenario:d_main_13af_01_27,False,,,,,,,,1,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_28,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_28,True,,,,,,,,L_10,L_10,1.0,,,,1,delight,,,,,,
d_main_13af_01_29,d_main_13af_01,Narration,andersen,,Locale_MainScenario:d_main_13af_01_29,False,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_30,d_main_13af_01,Narration,andersen,,Locale_MainScenario:d_main_13af_01_30,False,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_31,d_main_13af_01,Self,andersen,,Locale_MainScenario:d_main_13af_01_31,False,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_32,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_32,True,,,,,,,,L_10,L_10,1.0,,,,1,delight,,,,,,
d_main_13af_01_33,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_33,True,,,,,,,,L_10,L_10,1.0,,,,1,delight,,,,,,
d_main_13af_01_34,d_main_13af_01,Self,andersen,,Locale_MainScenario:d_main_13af_01_34,False,,,,,,,,L_10,L_10,1.0,,,,1,delight,,,,,,
d_main_13af_01_35,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_35,True,,,,,,,,L_10,L_100,2.0,,,,1,idle,,,,,,
d_main_13af_01_36,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_36,True,,,,,,,,L_100,L_100,1.0,,,,1,idle,,,,,,
d_main_13af_01_37,d_main_13af_01,Self,andersen,,Locale_MainScenario:d_main_13af_01_37,False,,,,,,,,L_100,L_100,1.0,,,,1,idle,,,,,,
d_main_13af_01_38,d_main_13af_01,Choice,andersen,,Locale_MainScenario:d_main_13af_01_38,False,,,,,,,,L_100,L_100,1.0,,,,1,idle,,,,,,d_main_13af_01_40
d_main_13af_01_39,d_main_13af_01,Choice,andersen,,Locale_MainScenario:d_main_13af_01_39,False,,,,,,,,L_100,L_100,1.0,,,,1,idle,,,,,,d_main_13af_01_41
d_main_13af_01_40,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_40,True,,,,,,,,L_100,L_10,1.0,,,,1,think,,,,,,d_main_13af_01_42
d_main_13af_01_41,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_41,True,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_42,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_42,True,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_43,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_43,True,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_44,d_main_13af_01,Self,andersen,,Locale_MainScenario:d_main_13af_01_44,False,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_45,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_45,False,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_46,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_46,True,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_47,d_main_13af_01,Self,andersen,,Locale_MainScenario:d_main_13af_01_47,False,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_48,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_48,True,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_49,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_49,True,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,
d_main_13af_01_50,d_main_13af_01,Choice,andersen,,Locale_MainScenario:d_main_13af_01_50,False,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,d_main_13af_01_52
d_main_13af_01_51,d_main_13af_01,Choice,andersen,,Locale_MainScenario:d_main_13af_01_51,False,,,,,,,,L_10,L_10,1.0,,,,1,idle,,,,,,d_main_13af_01_52
d_main_13af_01_52,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_52,True,,,,,,,,L_10,L_10,1.0,,,,1,angry,,,,,,
d_main_13af_01_53,d_main_13af_01,Self,andersen,,Locale_MainScenario:d_main_13af_01_53,False,,,,,,,,L_10,L_10,1.0,,,,1,angry,,,,,,
d_main_13af_01_54,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_54,True,,,,,,,,L_10,L_100,0.5,,,,1,angry,,,,,,
d_main_13af_01_55,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_55,True,,,,,,,,L_100,L_100,1.0,,,,1,idle,,,,,,
d_main_13af_01_56,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_56,True,,,,,,,,L_100,L_100,1.0,,,,1,idle,,,,,,
d_main_13af_01_57,d_main_13af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_13af_01_57,True,,,,,,,,L_100,L_10,1.0,,,,1,idle,,,,,,
