id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/2/set_char_position,characters/2/show_char_id,characters/2/set_char_anim,set_camera_shake,characters/2/hide_char_id
d_ex_toyshop_02_41,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_41,True,,S_150,S_1500,0.5,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,,
d_ex_toyshop_02_42,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_42,True,,S_1500,S_1500,1.0,,,,maiden,maiden,,3,idle,,5,idle,,15,,idle,Low_2,
d_ex_toyshop_02_43,d_ex_toyshop_02,Monologue,Locale_SuddenStory:d_ex_toyshop_02_43,False,,S_1500,S_100,1.0,,,,,,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_44,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_44,True,,S_100,S_100,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_45,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_45,True,,S_100,S_100,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_46,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_46,True,,S_100,31,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_47,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_47,True,,31,31,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_48,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_48,True,,31,31,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_49,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_49,True,,31,31,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_50,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_50,True,,31,31,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_51,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_51,True,,31,31,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_52,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_52,True,,31,31,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_53,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_53,True,,31,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_54,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_54,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_55,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_55,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_56,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_56,True,,XS_30,S_10,0.5,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_57,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_57,True,,S_10,S_10,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_58,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_58,True,,S_10,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_59,d_ex_toyshop_02,Choice,Locale_SuddenStory:d_ex_toyshop_02_59,False,,XS_30,XS_30,1.0,,,,,,,3,idle,,5,idle,d_ex_toyshop_02_61,1,,idle,,
d_ex_toyshop_02_60,d_ex_toyshop_02,Choice,Locale_SuddenStory:d_ex_toyshop_02_60,False,,XS_30,XS_30,1.0,,,,,,,3,idle,,5,idle,d_ex_toyshop_02_61,1,,idle,,
d_ex_toyshop_02_61,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_61,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,delight,,5,delight,,1,,idle,,
d_ex_toyshop_02_62,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_62,True,,XS_50,XS_50,1.0,,,,mica,mica,,3,delight,,5,delight,,1,,idle,,
d_ex_toyshop_02_63,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_63,True,,S_10,S_10,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_64,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_64,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_65,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_65,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_66,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_66,True,,S_10,S_10,1.0,,,,maiden,maiden,,3,idle,,5,idle,,1,,idle,,
d_ex_toyshop_02_67,d_ex_toyshop_02,Monologue,Locale_SuddenStory:d_ex_toyshop_02_67,False,,S_10,6002,1.0,,,,,,,3,idle,,5,idle,,,,,,maiden
d_ex_toyshop_02_68,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_68,True,,6002,1,1.0,,,,maiden,maiden,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_69,d_ex_toyshop_02,Narration,Locale_SuddenStory:d_ex_toyshop_02_69,False,,black,black,1.0,,,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_70,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_70,True,,6002,6002,1.0,,,,maiden,maiden,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_71,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_71,True,,6002,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_72,d_ex_toyshop_02,Narration,Locale_SuddenStory:d_ex_toyshop_02_72,False,,black,black,1.0,,,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_73,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_73,False,,53,53,1.0,,,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_74,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_74,True,,53,53,1.0,,,,mica,mica,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_75,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_75,True,,53,53,1.0,,,,maiden,maiden,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_76,d_ex_toyshop_02,Narration,Locale_SuddenStory:d_ex_toyshop_02_76,False,,black,black,1.0,,,,,,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_77,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_77,False,,53,53,1.0,,,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_78,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_78,True,,53,53,1.0,,,,belorta,belorta,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_79,d_ex_toyshop_02,Narration,Locale_SuddenStory:d_ex_toyshop_02_79,False,,black,black,1.0,,,,,,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_80,d_ex_toyshop_02,Self,Locale_SuddenStory:d_ex_toyshop_02_80,False,,53,53,1.0,,,,,,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_81,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_81,True,,53,53,1.0,,,,mica,mica,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_82,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_82,True,,53,53,1.0,,,,belorta,belorta,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_83,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_83,True,,53,53,1.0,,,,belorta,belorta,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_84,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_84,False,,53,53,1.0,,,,maiden,maiden,,3,idle,,5,sad,,,,,,
d_ex_toyshop_02_85,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_85,True,,53,53,1.0,,,,mica,mica,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_86,d_ex_toyshop_02,Monologue,Locale_SuddenStory:d_ex_toyshop_02_86,False,,53,6002,1.0,,,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_87,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_87,True,,6002,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_88,d_ex_toyshop_02,Speech,Locale_SuddenStory:d_ex_toyshop_02_88,True,,XS_30,XS_30,1.0,,,,belorta,belorta,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_89,d_ex_toyshop_02,Monologue,Locale_SuddenStory:d_ex_toyshop_02_89,False,,black,black,1.0,,,,,,,3,idle,,5,idle,,,,,,
d_ex_toyshop_02_90,d_ex_toyshop_02,Monologue,Locale_SuddenStory:d_ex_toyshop_02_90,False,,black,black,1.0,,,,,,,3,idle,,5,idle,,,,,,
