id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,conversation_id
d_main_26_12_e_12,d_main_26_12_e,Self,,,Locale_MainScenario:d_main_26_12_e_12,False,,3,idle,,1,void,,13,idle,,3,3,1.0,,,,,,,
d_main_26_12_e_13,d_main_26_12_e,Narration,,,Locale_MainScenario:d_main_26_12_e_13,False,,3,idle,,1,void,,13,idle,,3,8,1.0,,sfx_scn_rapturehowlhuge,Low_2,,,,
d_main_26_12_e_14,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_14,False,,3,idle,,1,void,,13,idle,,8,8,1.0,,,,,,,
d_main_26_12_e_15,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_15,False,,3,idle,,1,void,,13,idle,Sky2,8,L_80,1.0,,,,,,,
d_main_26_12_e_16,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_16,False,,3,idle,,1,void,,13,idle,,L_80,L_80,1.0,,,,,,,
d_main_26_12_e_17,d_main_26_12_e,Speech,anis,anis,Locale_MainScenario:d_main_26_12_e_17,True,,3,angry,,1,angry,,13,idle,CountryVillage_d,12,12,1.0,,,,,,,
d_main_26_12_e_18,d_main_26_12_e,Speech,neon,neon,Locale_MainScenario:d_main_26_12_e_18,True,,3,angry,,1,angry,,13,idle,,12,12,1.0,,,,,,,
d_main_26_12_e_19,d_main_26_12_e,Speech,anis,anis,Locale_MainScenario:d_main_26_12_e_19,True,,3,angry,,1,angry,,13,idle,,12,12,1.0,,,,,,,
d_main_26_12_e_20,d_main_26_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_e_20,True,,3,angry,,1,angry,,13,idle,,30,30,1.0,,,,,,,
d_main_26_12_e_21,d_main_26_12_e,Self,,,Locale_MainScenario:d_main_26_12_e_21,False,,3,angry,,1,angry,,13,idle,,30,30,1.0,,,,,,,
d_main_26_12_e_22,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_22,False,,3,angry,,1,angry,,13,idle,EventScene_Chap_26_07,black,black,1.0,,,,rapi,anis,neon,
d_main_26_12_e_23,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_23,False,,,,,,,,,,,helmface_01,1,0.6,,,Low_2,,,,
d_main_26_12_e_24,d_main_26_12_e,Speech,anis,anis,Locale_MainScenario:d_main_26_12_e_24,True,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_26_12_e_25,d_main_26_12_e,Narration,,,Locale_MainScenario:d_main_26_12_e_25,False,,,,,,,,,,,1,1,1.0,,sfx_scn_groundscrapehuge,Low_2,,,,
d_main_26_12_e_26,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_26,False,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_26_12_e_27,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_27,False,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_26_12_e_28,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_28,False,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_26_12_e_29,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_29,False,,,,,,,,,,,1,helmface_01,1.0,,,,,,,
d_main_26_12_e_30,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_30,False,,,,,,,,,,EventScene_Chap_26_08,helmface_01,helmface_01,1.0,,,,,,,
d_main_26_12_e_31,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_31,False,,,,,,,,,,,helmface_01,helmface_01,1.0,,,,,,,
d_main_26_12_e_32,d_main_26_12_e,Speech,neon,neon,Locale_MainScenario:d_main_26_12_e_32,True,,,,,,,,,,,helmface_01,1,1.0,,,,,,,
d_main_26_12_e_33,d_main_26_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_e_33,True,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_26_12_e_34,d_main_26_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_e_34,True,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_26_12_e_35,d_main_26_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_26_12_e_35,True,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_26_12_e_36,d_main_26_12_e,Narration,,,Locale_MainScenario:d_main_26_12_e_36,False,,,,,,,,,,CountryVillage_d,1,1,1.0,,sfx_scn_phonevibration,,,,,
d_main_26_12_e_37,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_37,False,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_26_12_e_38,d_main_26_12_e,Narration,,,Locale_MainScenario:d_main_26_12_e_38,False,,,,,,,,,,,1,1,1.0,,sfx_scn_phonevibration,,,,,
d_main_26_12_e_39,d_main_26_12_e,Monologue,,,Locale_MainScenario:d_main_26_12_e_39,False,,,,,,,,,,,1,1,1.0,,,,,,,m_main_26_12
d_main_26_12_e_40,d_main_26_12_e,Self,,,Locale_MainScenario:d_main_26_12_e_40,False,,,,,,,,,,,1,1,1.0,,,,,,,
