id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_modernbar_03_49,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_49,True,,2,2,1.0,,,,rapunzel,rapunzel,,1,delight,,,3,idle
d_ex_modernbar_03_50,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_50,True,,2,2,1.0,,,,rapunzel,rapunzel,,1,delight,,,3,idle
d_ex_modernbar_03_51,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_51,True,,2,S_30,1.0,,,,sugar,sugar,,1,delight,,,3,idle
d_ex_modernbar_03_52,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_52,True,,S_30,S_30,1.0,,,,sugar,sugar,,1,delight,,,3,surprise
d_ex_modernbar_03_53,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_53,True,,S_30,S_30,1.0,,,,sugar,sugar,,1,delight,,,3,idle
d_ex_modernbar_03_54,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_54,False,,S_30,S_30,1.0,,,,,,,1,delight,,,3,idle
d_ex_modernbar_03_55,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_55,False,,S_30,S_300,0.5,,,,sugar,sugar,,1,delight,,,3,angry
d_ex_modernbar_03_56,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_56,True,,S_300,S_300,1.0,,,,sugar,sugar,,1,delight,,,3,shy
d_ex_modernbar_03_57,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_57,True,,S_300,S_300,1.0,,,,sugar,sugar,,1,delight,,,3,idle
d_ex_modernbar_03_58,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_58,True,,S_300,S_300,1.0,,,,sugar,sugar,,1,delight,,,3,idle
d_ex_modernbar_03_59,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_59,True,,S_300,100,2.0,,,,rapunzel,rapunzel,,1,shy,,,3,idle
d_ex_modernbar_03_60,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_60,True,,100,100,1.0,,,,rapunzel,rapunzel,,1,shy,,,3,idle
d_ex_modernbar_03_61,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_61,True,,100,2,1.0,,,,sugar,sugar,,1,shy,,,3,idle
d_ex_modernbar_03_62,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_62,True,,2,2,1.0,,,,sugar,sugar,,1,shy,,,3,idle
d_ex_modernbar_03_63,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_63,True,,2,2,1.0,,,,rapunzel,rapunzel,,1,idle,,,3,idle
d_ex_modernbar_03_64,d_ex_modernbar_03,Monologue,Locale_SuddenStory:d_ex_modernbar_03_64,False,,2,S_30,2.0,,,Low_2,,,,1,idle,,,3,idle
d_ex_modernbar_03_65,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_65,False,,S_30,S_30,1.0,,,,,,,1,idle,,,3,idle
d_ex_modernbar_03_66,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_66,True,,S_30,S_30,1.0,,,,sugar,sugar,,1,idle,,,3,angry
d_ex_modernbar_03_67,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_67,True,,S_30,S_30,1.0,,,,sugar,sugar,,1,idle,,,3,idle
d_ex_modernbar_03_68,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_68,True,,S_30,10,2.0,,,,rapunzel,rapunzel,,1,shy,,,3,idle
d_ex_modernbar_03_69,d_ex_modernbar_03,Speech,Locale_SuddenStory:d_ex_modernbar_03_69,True,,10,10,1.0,,Blur_Low,,rapunzel,rapunzel,,1,shy,,,3,idle
d_ex_modernbar_03_70,d_ex_modernbar_03,Self,Locale_SuddenStory:d_ex_modernbar_03_70,False,,10,10,1.0,,Blur_Middle,,,,,1,shy,,,3,idle
d_ex_modernbar_03_71,d_ex_modernbar_03,Monologue,Locale_SuddenStory:d_ex_modernbar_03_71,False,,black,black,1.0,,,,,,,1,shy,,,3,idle
