id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target
d_subquest_1262_19,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_19,True,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,
d_subquest_1262_20,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_20,True,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,
d_subquest_1262_21,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_21,True,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,
d_subquest_1262_22,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_22,True,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,
d_subquest_1262_23,d_subquest_1262,Choice,refugee,,Locale_SubScenario:d_subquest_1262_23,False,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,d_subquest_1262_25
d_subquest_1262_24,d_subquest_1262,Choice,refugee,,Locale_SubScenario:d_subquest_1262_24,False,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,d_subquest_1262_26
d_subquest_1262_25,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_25,True,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,d_subquest_1262_27
d_subquest_1262_26,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_26,True,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,
d_subquest_1262_27,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_27,True,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,
d_subquest_1262_28,d_subquest_1262,Speech,refugee,refugee,Locale_SubScenario:d_subquest_1262_28,True,,5,idle,,3,idle,,1,idle,,13,idle,,130,130,1.0,,,,
d_subquest_1262_29,d_subquest_1262,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1262_29,False,,5,idle,,3,no,,1,worry,,13,idle,,130,10,2.0,,,,
d_subquest_1262_30,d_subquest_1262,Speech,neon,neon,Locale_SubScenario:d_subquest_1262_30,False,,5,idle,,3,no,,1,worry,,13,idle,,10,S_30,1.0,,,,
d_subquest_1262_31,d_subquest_1262,Speech,anis,anis,Locale_SubScenario:d_subquest_1262_31,True,,5,void,,3,no,,1,idle,,13,idle,,S_30,50,0.5,,,,
d_subquest_1262_32,d_subquest_1262,Speech,anis,anis,Locale_SubScenario:d_subquest_1262_32,True,,5,idle,,3,idle,,1,idle,,13,idle,,50,50,1.0,,,,
d_subquest_1262_33,d_subquest_1262,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1262_33,True,,5,idle,,3,idle,,1,think,,13,idle,,10,10,1.0,,,,
