id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,fade,characters/3/hide_char_id,play_sound,set_camera_shake
d_main_24af_03_11,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_11,True,,12,2,1.0,,nihilister_a,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_12,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_12,True,,2,2,1.0,,talkative,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_13,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_13,True,,2,2,1.0,,nihilister_a,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_14,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_14,True,,2,2,1.0,,talkative,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_15,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_15,True,,2,2,1.0,,nihilister_a,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_16,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_16,False,,black,black,1.0,,,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_17,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_17,True,,2,2,1.0,,nihilister_a,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_18,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_18,True,,2,2,1.0,,talkative,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_19,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_19,True,,2,2,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_20,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_20,False,,black,black,1.0,,,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_21,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_21,False,,2,2,1.0,,talkative,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_22,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_22,True,,2,2,1.0,,nihilister_a,,3,idle,,1,shy,,13,idle,,,,,,,,,,,
d_main_24af_03_23,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_23,True,,2,2,1.0,,talkative,,3,idle,,1,shy,,13,idle,,,,,,,,,,,
d_main_24af_03_24,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_24,True,,2,2,1.0,,nihilister_a,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_25,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_25,False,,2,2,1.0,,talkative,,3,idle,,1,angry,,13,idle,,,,,,,,,,,
d_main_24af_03_26,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_26,True,,2,1,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_27,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_27,True,,1,1,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_28,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_28,True,,1,1,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_29,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_29,True,,1,1,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_30,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_30,True,,1,1,1.0,,nihilister_a,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_31,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_31,True,,1,2,1.0,,talkative,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_32,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_32,True,,2,2,1.0,,talkative,,3,idle,,1,angry2,,13,idle,,,,,,,,,,,
d_main_24af_03_33,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_33,True,,2,2,1.0,,nihilister_a,,3,idle,,1,smile,,13,idle,,,,,,,,,,,
d_main_24af_03_34,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_34,True,,2,XS_30,1.0,,talkative,,3,idle,,1,smile,,13,idle,,,,,,,,,,,
d_main_24af_03_35,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_35,True,,XS_30,XS_30,1.0,,talkative,,3,idle,,1,smile,,13,idle,,,,,,,,,,,
d_main_24af_03_36,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_36,True,,XS_30,XS_30,1.0,,talkative,,3,idle,,1,smile,,13,idle,,,,,,,,,,,
d_main_24af_03_37,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_37,True,,XS_30,XS_30,1.0,,talkative,,3,idle,,1,smile,,13,idle,,,,,,,,,,,
d_main_24af_03_38,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_38,True,,XS_30,XS_30,1.0,,talkative,,3,idle,,1,smile,,13,idle,,,,,,,,,,,
d_main_24af_03_39,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_39,False,,XS_30,2,2.0,,nihilister_a,,3,idle,,1,idle,,13,idle,,,,,,,,,,,
d_main_24af_03_40,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_40,True,,2,2,1.0,,nihilister_a,,3,idle,,1,smile,,13,idle,,,,,,,,,,,
d_main_24af_03_41,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_41,True,,2,12,1.0,,indivilia,,3,idle,,1,smile,,13,special,,,,,,,,,,,
d_main_24af_03_42,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_42,True,,12,12,1.0,,indivilia,,3,idle,,1,smile,,13,special,,,,,,,,,,,
d_main_24af_03_43,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_43,True,,12,12,1.0,,nihilister_a,,3,idle,,1,idle,,13,special,,,,,,,,,,,
d_main_24af_03_44,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_44,True,,12,12,1.0,,nihilister_a,,3,idle,,1,angry2,,13,special,,,,,,,,,,,
d_main_24af_03_45,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_45,False,,12,L_130,2.0,,indivilia,,3,idle,,1,angry2,,13,delight,,,,,,,,,,,
d_main_24af_03_46,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_46,True,,L_130,L_130,1.0,,indivilia,,3,idle,,1,angry2,,13,delight,,,,,,,,,,,
d_main_24af_03_47,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_47,True,,L_130,L_130,1.0,,indivilia,,3,idle,,1,idle,,13,delight,,,,,,,,,,,
d_main_24af_03_48,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_48,True,,XS_30,XS_30,1.0,,talkative,,3,idle,,1,idle,,13,delight,,,,,,,,,,,
d_main_24af_03_49,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_49,True,,XS_30,XS_30,1.0,,indivilia,,3,idle,,1,idle,,13,shy,,,,,,,,,,,
d_main_24af_03_50,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_50,False,,XS_30,XS_30,1.0,,talkative,,3,idle,,1,idle,,13,shy,,,,,,,,,,,
d_main_24af_03_51,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_51,True,,XS_30,XS_300,2.0,,talkative,,3,idle,,1,idle,,13,shy,,,,,,,,,,,
d_main_24af_03_52,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_52,True,,XS_300,XS_300,1.0,,talkative,,3,idle,,1,idle,,13,shy,,,,,,,,,,,
d_main_24af_03_53,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_53,True,,1,1,1.0,,nihilister_a,,3,idle,,1,angry2,,13,shy,,,,,,,,,,,
d_main_24af_03_54,d_main_24af_03,Speech,indivilia,Locale_MainScenario:d_main_24af_03_54,False,,13,12,1.0,,indivilia,,3,idle,,1,angry2,,12,shy,,,,,,,,,,,
d_main_24af_03_55,d_main_24af_03,Speech,talkative,Locale_MainScenario:d_main_24af_03_55,False,,3,2,1.0,,talkative,,2,idle,,1,angry2,,12,shy,,,,,,,,,,,
d_main_24af_03_56,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_56,True,,2,1,1.0,,nihilister_a,,2,idle,,1,surprise,,12,shy,,,,,,,,,,,
d_main_24af_03_57,d_main_24af_03,Speech,nihilister_a,Locale_MainScenario:d_main_24af_03_57,True,,black,black,1.0,none,nihilister_a,,2,idle,,1,surprise,,12,shy,,,,,,,,,,,
d_main_24af_03_58,d_main_24af_03,Speech,rapi,Locale_MainScenario:d_main_24af_03_58,False,Desert_02,10,10,1.0,,rapi,,2,idle,,1,surprise,,12,shy,talkative,nihilister_a,indivilia,rapi,1,idle,Blur_Low,black,,,
d_main_24af_03_59,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_59,False,,10,10,1.0,,,,,,,,,,,,,,,,1,idle,Blur_Low,,,,
d_main_24af_03_60,d_main_24af_03,Speech,rapi,Locale_MainScenario:d_main_24af_03_60,False,,10,1,1.0,,rapi,,,,,,,,,,,,,,1,idle,Blur_Low,,,,
d_main_24af_03_61,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_61,False,,1,1,1.0,,,,,,,,,,,,,,,,1,idle,Blur_Low,,,,
d_main_24af_03_62,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_62,False,,1,1,1.0,,,,,,,,,,,,,,,,1,idle,,,,,
d_main_24af_03_63,d_main_24af_03,Speech,rapi,Locale_MainScenario:d_main_24af_03_63,False,,1,1,1.0,,rapi,,,,,,,,,,,,,,1,idle,,,,,
d_main_24af_03_64,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_64,False,,1,1,1.0,,,,,,,,,,,,,,,,1,idle,,,rapi,sfx_scn_down,Low_2
d_main_24af_03_65,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_65,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_24af_03_66,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_66,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_24af_03_67,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_67,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,sfx_scn_regeneration,
d_main_24af_03_68,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_68,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,sfx_scn_regeneration,
d_main_24af_03_69,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_69,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_24af_03_70,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_70,False,,black,black,1.0,,,,,,,,,,,,,,,,,,,,,sfx_scn_regeneration,
d_main_24af_03_71,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_71,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_24af_03_72,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_72,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_24af_03_73,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_73,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,,,
d_main_24af_03_74,d_main_24af_03,Narration,Narration,Locale_MainScenario:d_main_24af_03_74,False,,1,1,1.0,,,redhood,1,think,,,,,,,,,,,,,,,,,
