id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_ex_elevator_01_11,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_11,True,,12,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_12,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_12,True,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_13,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_13,True,,130,1300,3.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_14,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_14,True,,1300,1300,1.0,,none,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_15,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_15,True,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_16,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_16,False,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_17,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_17,True,,S_30,S_300,1.0,,,,,,,1,idle,,,13,worry,,,3,delight,
d_ex_elevator_01_18,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_18,True,,13,13,1.0,,,,,,,1,idle,,,13,worry,,,3,delight,
d_ex_elevator_01_19,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_19,True,,13,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_20,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_20,True,,1,10,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_21,d_ex_elevator_01,Self,rapi,,Locale_SuddenStory:d_ex_elevator_01_21,True,,10,10,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_22,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_22,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_23,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_23,True,,10,10,1.0,,bgm_title_godnessfall,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_24,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_24,True,,10,10,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_25,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_25,True,,10,10,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_26,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_26,True,,10,10,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_27,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_27,True,,10,10,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_28,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_28,True,,10,10,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_29,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_29,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_30,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_30,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_31,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_31,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_32,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_32,True,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_33,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_33,True,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_34,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_34,True,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_35,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_35,False,,130,1300,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_36,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_36,True,,1300,1300,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_37,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_37,True,,1300,1300,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_38,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_38,True,,1300,1300,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_39,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_39,True,,1300,1300,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_40,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_40,True,,100,100,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_41,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_41,True,,100,100,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_42,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_42,True,,100,100,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_43,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_43,True,,100,100,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_44,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_44,False,,S_30,S_300,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_45,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_45,True,,12,12,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_46,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_46,True,,12,12,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_47,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_47,True,,12,12,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_48,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_48,True,,12,12,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_49,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_49,True,,12,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_50,d_ex_elevator_01,Choice,neon,,Locale_SuddenStory:d_ex_elevator_01_50,True,,S_30,S_30,1.0,,,d_ex_elevator_01_52,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_51,d_ex_elevator_01,Choice,neon,,Locale_SuddenStory:d_ex_elevator_01_51,True,,S_30,S_30,1.0,,,d_ex_elevator_01_52,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_52,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_52,False,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_53,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_53,True,,S_30,S_300,1.0,,none,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_54,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_54,True,,S_300,S_300,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_55,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_55,True,,S_300,S_300,1.0,,bgm_story_crawlinganxiety,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_56,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_56,True,,S_300,S_300,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_57,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_57,True,,S_300,S_300,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_58,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_58,True,,S_300,S_300,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_59,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_59,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_60,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_60,True,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_61,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_61,True,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_62,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_62,True,,S_30,S_300,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_63,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_63,True,,130,130,1.0,,,,,,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_64,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_64,False,,10,10,1.0,,,,,,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_65,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_65,True,,10,100,1.0,,,,,,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_66,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_66,False,,130,1300,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_67,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_67,True,,1300,1300,1.0,,none,,,,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_68,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_68,False,,S_30,S_30,1.0,,,,,,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_69,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_69,False,,10,10,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_70,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_70,False,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_71,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_71,True,,130,1300,1.0,,,,,,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_72,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_72,True,,S_30,S_30,1.0,,,,Grey,Blur_Middle,,1,idle,,,13,worry,,,3,no,
d_ex_elevator_01_73,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_73,True,,1300,1300,1.0,,,,,,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_74,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_74,True,,S_30,S_300,1.0,,,,Grey,Blur_Middle,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_75,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_75,True,,S_300,S_300,1.0,,bgm_story_shapeofhope,,Grey,Blur_Middle,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_76,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_76,True,,S_300,S_300,1.0,,,,Grey,Blur_Middle,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_77,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_77,True,,S_300,S_300,1.0,,,,Grey,Blur_Middle,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_78,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_78,True,,S_300,S_300,1.0,,,,Grey,Blur_Middle,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_79,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_79,True,,S_300,S_300,1.0,,,,Grey,Blur_Middle,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_80,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_80,True,,S_300,S_300,1.0,,,,Grey,Blur_Middle,,1,idle,,,13,angry,,,3,no,
d_ex_elevator_01_81,d_ex_elevator_01,Speech,neon,unknown,Locale_SuddenStory:d_ex_elevator_01_81,True,,S_300,S_300,1.0,,,,Grey,Blur_Middle,,1,idle,rapi,,13,angry,anis,,3,no,
d_ex_elevator_01_82,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_82,False,,113,113,1.0,,,,,,rapi,1,idle,,anis,13,worry,,,5,no,neon
d_ex_elevator_01_83,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_83,False,,113,113,1.0,,,,,,,1,idle,,,13,worry,,,,,
d_ex_elevator_01_84,d_ex_elevator_01,Narration,rapi,,Locale_SuddenStory:d_ex_elevator_01_84,True,,black,black,1.0,,,,,,,1,idle,,,13,worry,,,,,
d_ex_elevator_01_85,d_ex_elevator_01,Narration,rapi,,Locale_SuddenStory:d_ex_elevator_01_85,True,ElevatorOut,black,black,1.0,sfx_scn_autodooropen,,,,,,1,idle,,,13,worry,,,,,
d_ex_elevator_01_86,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_86,True,,113,3,1.0,,,,,,,1,idle,,,13,worry,,neon,3,angry,
d_ex_elevator_01_87,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_87,True,,3,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_88,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_88,False,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_89,d_ex_elevator_01,Speech,neon,neon,Locale_SuddenStory:d_ex_elevator_01_89,True,,S_30,S_30,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_90,d_ex_elevator_01,Speech,rapi,rapi,Locale_SuddenStory:d_ex_elevator_01_90,True,,10,10,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_91,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_91,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_92,d_ex_elevator_01,Self,anis,,Locale_SuddenStory:d_ex_elevator_01_92,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_93,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_93,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_94,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_94,True,,130,130,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
d_ex_elevator_01_95,d_ex_elevator_01,Speech,anis,anis,Locale_SuddenStory:d_ex_elevator_01_95,True,,130,1300,1.0,,,,,,,1,idle,,,13,worry,,,3,idle,
