id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,jump_target
d_ex_wingofvictory_06_63,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_63,True,,120,120,1.5,,marciana,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_64,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_64,False,,120,120,1.0,,,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_65,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_65,True,,120,L_40,1.5,,nero,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_66,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_66,True,,L_40,L_40,1.0,,nero,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_67,d_ex_wingofvictory_06,Speech,cat,Locale_SuddenStory:d_ex_wingofvictory_06_67,False,,L_40,L_40,1.0,,cat,,12,surprise,,2,delight,,14,idle,sfx_scn_cat,,4,idle,
d_ex_wingofvictory_06_68,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_68,False,,L_40,L_40,1.0,,,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_69,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_69,True,,L_40,1,1.0,,marciana,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_70,d_ex_wingofvictory_06,Speech,puppies,Locale_SuddenStory:d_ex_wingofvictory_06_70,True,,1,1,1.0,,puppies,,12,surprise,,2,delight,,14,idle,sfx_scn_bowwow,,4,idle,
d_ex_wingofvictory_06_71,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_71,True,,1,13,1.0,,biscuit,,12,surprise,,2,delight,,14,angry,,,4,idle,
d_ex_wingofvictory_06_72,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_72,True,,13,13,1.0,,biscuit,,12,surprise,,2,delight,,14,angry,,,4,idle,
d_ex_wingofvictory_06_73,d_ex_wingofvictory_06,Speech,cat,Locale_SuddenStory:d_ex_wingofvictory_06_73,False,,13,13,1.0,,cat,,12,surprise,,2,delight,,14,angry,sfx_scn_cat,,4,angry,
d_ex_wingofvictory_06_74,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_74,True,,13,3,1.5,,nero,,12,surprise,,2,delight,,14,angry,,,4,angry,
d_ex_wingofvictory_06_75,d_ex_wingofvictory_06,Speech,puppies,Locale_SuddenStory:d_ex_wingofvictory_06_75,True,,3,1,1.0,,puppies,,12,surprise,,2,delight,,14,angry,sfx_scn_bowwow,,4,angry,
d_ex_wingofvictory_06_76,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_76,True,,1,13,1.0,,biscuit,,12,surprise,,2,delight,,14,angry,,,4,angry,
d_ex_wingofvictory_06_77,d_ex_wingofvictory_06,Speech,cat,Locale_SuddenStory:d_ex_wingofvictory_06_77,False,,13,120,1.0,,cat,,12,surprise,,2,delight,,14,angry,sfx_scn_cat,,4,angry,
d_ex_wingofvictory_06_78,d_ex_wingofvictory_06,Speech,puppies,Locale_SuddenStory:d_ex_wingofvictory_06_78,True,,120,120,1.0,,puppies,,12,surprise,,2,delight,,14,angry,sfx_scn_bowwow,,4,angry,
d_ex_wingofvictory_06_79,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_79,False,,120,120,1.0,,marciana,,12,surprise,,2,delight,,14,angry,,,4,angry,
d_ex_wingofvictory_06_80,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_80,False,,120,120,1.0,,,,12,surprise,,2,delight,,14,angry,,,4,angry,
d_ex_wingofvictory_06_81,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_81,False,,120,120,1.0,,,,12,surprise,,2,delight,,14,angry,,,4,angry,
d_ex_wingofvictory_06_82,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_82,True,,120,L_40,1.0,,nero,,12,surprise,,2,delight,,14,angry,,,4,idle,
d_ex_wingofvictory_06_83,d_ex_wingofvictory_06,Speech,nero,Locale_SuddenStory:d_ex_wingofvictory_06_83,True,,L_40,L_40,1.0,,nero,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_84,d_ex_wingofvictory_06,Speech,biscuit,Locale_SuddenStory:d_ex_wingofvictory_06_84,True,,L_40,XS_140,1.5,,biscuit,,12,surprise,,2,delight,,14,idle,,,4,idle,
d_ex_wingofvictory_06_85,d_ex_wingofvictory_06,Speech,cat,Locale_SuddenStory:d_ex_wingofvictory_06_85,False,,XS_140,XS_140,1.0,,cat,,12,surprise,,2,delight,,14,idle,sfx_scn_cat,,4,idle,
d_ex_wingofvictory_06_86,d_ex_wingofvictory_06,Speech,puppies,Locale_SuddenStory:d_ex_wingofvictory_06_86,True,,XS_140,120,1.5,,puppies,,12,surprise,,2,sad,,14,idle,sfx_scn_bowwow,,4,idle,
d_ex_wingofvictory_06_87,d_ex_wingofvictory_06,Narration,Narration,Locale_SuddenStory:d_ex_wingofvictory_06_87,False,,120,120,1.0,,,,12,surprise,,2,sad,,14,idle,,,4,idle,
d_ex_wingofvictory_06_88,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_88,False,,120,120,1.0,,marciana,,12,surprise,,2,sad,,14,idle,,,4,idle,
d_ex_wingofvictory_06_89,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_89,True,,120,120,1.0,,marciana,,12,surprise,,2,sad,,14,idle,,,4,idle,
d_ex_wingofvictory_06_90,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_90,False,,120,120,1.0,,,,12,surprise,,2,sad,,14,idle,,,4,idle,
d_ex_wingofvictory_06_91,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_91,True,,120,120,1.0,,marciana,,12,surprise,,2,sad,,14,idle,,,4,idle,
d_ex_wingofvictory_06_92,d_ex_wingofvictory_06,Self,Self,Locale_SuddenStory:d_ex_wingofvictory_06_92,False,,120,120,1.0,,,,12,surprise,,2,sad,,14,idle,,,4,idle,
d_ex_wingofvictory_06_93,d_ex_wingofvictory_06,Speech,marciana,Locale_SuddenStory:d_ex_wingofvictory_06_93,False,,120,120,1.0,,marciana,,12,surprise,,2,sad,,14,idle,,,4,idle,
d_ex_wingofvictory_06_94,d_ex_wingofvictory_06,Monologue,Monologue,Locale_SuddenStory:d_ex_wingofvictory_06_94,False,,black,black,1.0,,,,12,surprise,,2,idle,,14,idle,,,4,idle,
d_ex_wingofvictory_06_95,d_ex_wingofvictory_06,Monologue,Monologue,Locale_SuddenStory:d_ex_wingofvictory_06_95,False,,black,black,1.0,,,,12,surprise,,2,idle,,14,idle,,,4,idle,
