id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_camera_shake,play_sound,jump_target
d_main_16_02_20,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_20,True,,120,120,1.0,,crow,,6,idle,,4,idle,,2,worry,,12,idle,,14,idle,,16,idle,,,
d_main_16_02_21,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_21,True,,120,1200,2.0,,crow,,6,idle,,4,idle,,2,worry,,12,angry,,14,idle,,16,idle,,,
d_main_16_02_22,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_22,True,,1200,1200,1.0,,crow,,6,idle,,4,idle,,2,worry,,12,angry,,14,idle,,16,idle,,,
d_main_16_02_23,d_main_16_02,Choice,,Locale_MainScenario:d_main_16_02_23,False,,1200,1200,1.0,,,,6,idle,,4,idle,,2,worry,,12,angry,,14,idle,,16,idle,,,d_main_16_02_25
d_main_16_02_24,d_main_16_02,Choice,,Locale_MainScenario:d_main_16_02_24,False,,1200,1200,1.0,,,,6,idle,,4,idle,,2,worry,,12,angry,,14,idle,,16,idle,,,d_main_16_02_26
d_main_16_02_25,d_main_16_02,Speech,anis,Locale_MainScenario:d_main_16_02_25,True,,1200,20,1.0,,anis,,6,idle,,4,idle,,2,worry,,12,angry,,14,idle,,16,idle,,,d_main_16_02_27
d_main_16_02_26,d_main_16_02,Speech,anis,Locale_MainScenario:d_main_16_02_26,True,,1200,20,1.0,,anis,,6,idle,,4,idle,,2,sad,,12,angry,,14,idle,,16,idle,,,
d_main_16_02_27,d_main_16_02,Speech,anis,Locale_MainScenario:d_main_16_02_27,True,,20,20,1.0,,anis,,6,idle,,4,idle,,2,angry,,12,angry,,14,idle,,16,idle,,,
d_main_16_02_28,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_28,True,,20,120,0.5,,crow,,6,idle,,4,idle,,2,angry,,12,angry,,14,idle,,16,idle,,,
d_main_16_02_29,d_main_16_02,Speech,anis,Locale_MainScenario:d_main_16_02_29,True,,120,20,0.5,,anis,,6,idle,,4,idle,,2,angry,,12,angry,,14,idle,,16,idle,,,
d_main_16_02_30,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_30,True,,20,120,1.5,,crow,,6,idle,,4,idle,,2,angry,,12,surprise,,14,idle,,16,idle,,,
d_main_16_02_31,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_31,True,,120,1200,2.0,,crow,,6,idle,,4,idle,,2,angry,,12,surprise,,14,idle,,16,idle,,,
d_main_16_02_32,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_32,True,,1200,1200,1.0,,crow,,6,idle,,4,idle,,2,angry,,12,surprise,,14,idle,,16,idle,,,
d_main_16_02_33,d_main_16_02,Speech,crow,Locale_MainScenario:d_main_16_02_33,True,,1200,120,1.0,,crow,,6,idle,,4,idle,,2,angry,,12,smile,,14,idle,,16,idle,,,
d_main_16_02_34,d_main_16_02,Speech,anis,Locale_MainScenario:d_main_16_02_34,False,,120,20,1.0,,anis,,6,idle,,4,idle,,2,angry,,12,smile,,14,idle,,16,idle,,,
d_main_16_02_35,d_main_16_02,Speech,rapi,Locale_MainScenario:d_main_16_02_35,True,,20,60,1.0,,rapi,,6,idle,,4,idle,,2,angry,,12,smile,,14,idle,,16,idle,,,
d_main_16_02_36,d_main_16_02,Speech,rapi,Locale_MainScenario:d_main_16_02_36,True,,60,600,2.0,,rapi,,6,think,,4,idle,,2,angry,,12,smile,,14,idle,,16,idle,,,
