id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,conversation_id
d_main_07af_02_31,d_main_07af_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_07af_02_31,True,,50,50,1.0,,,,,,,,,5,think,Grey,,
d_main_07af_02_32,d_main_07af_02,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_07af_02_32,True,,50,50,1.0,,,,,,,,,5,think,Grey,,
d_main_07af_02_33,d_main_07af_02,Self,,Self,Locale_MainScenario:d_main_07af_02_33,False,CommanderRoom,100,100,1.0,,,,snowwhite,1,idle,,,5,think,,ludmilla,
d_main_07af_02_34,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_34,False,,100,10,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_35,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_35,True,,10,10,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_36,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_36,True,,10,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_37,d_main_07af_02,Speech,snowwhite,snowwhite,Locale_MainScenario:d_main_07af_02_37,True,,1,1,1.0,,,,,1,idle,,,,,,,
d_main_07af_02_38,d_main_07af_02,Narration,Narration,Narration,Locale_MainScenario:d_main_07af_02_38,False,,1,1,1.0,,,,,1,idle,snowwhite,,,,,,
d_main_07af_02_39,d_main_07af_02,Self,,Self,Locale_MainScenario:d_main_07af_02_39,False,,1,1,1.0,,,,,,,,,,,,,
d_main_07af_02_40,d_main_07af_02,Narration,Narration,Narration,Locale_MainScenario:d_main_07af_02_40,False,,1,1,1.0,none,sfx_scn_phonevibration,,,,,,,,,,,
d_main_07af_02_41,d_main_07af_02,Monologue,,,Locale_MainScenario:d_main_07af_02_41,False,,1,1,1.0,,,,,,,,,,,,,m_main_07af
d_main_07af_02_42,d_main_07af_02,Monologue,,,Locale_MainScenario:d_main_07af_02_42,False,,1,1,1.0,,,,,,,,,,,,,
