id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,set_filter_01,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,jump_target
d_main_15_04_25,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_25,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,idle,,S_160,16,2.0,,,,,,,,Grey,,16,angry,,
d_main_15_04_26,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_26,True,rapi,6,idle,neon,4,idle,anis,2,idle,rupee,12,idle,dolla,14,idle,yan,16,sad,CityForest_02,16,16,1.0,,,,,,,,,,16,angry,syuen,
d_main_15_04_27,d_main_15_04,Choice,,,Locale_MainScenario:d_main_15_04_27,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,sad,,16,16,1.0,,,,,,,,,,,,,d_main_15_04_29
d_main_15_04_28,d_main_15_04,Choice,,,Locale_MainScenario:d_main_15_04_28,False,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,sad,,16,16,1.0,,,,,,,,,,,,,d_main_15_04_32
d_main_15_04_29,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_29,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,no,,16,sad,,16,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_30,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_30,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,no,,16,sad,,S_140,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_31,d_main_15_04,Speech,dolla,dolla,Locale_MainScenario:d_main_15_04_31,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,angry,,16,sad,,S_140,S_140,1.0,,,,,,,,,,,,,
d_main_15_04_32,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_32,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,no,,16,16,1.0,,,,,,,,,,,,,
d_main_15_04_33,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_33,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,no,,16,16,1.0,,,,,,,,,,,,,
d_main_15_04_34,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_34,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,no,,16,16,1.0,,,,,,,,,,,,,
d_main_15_04_35,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_35,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,sad,,16,S_160,2.0,,,,,,,,,,,,,
d_main_15_04_36,d_main_15_04,Speech,yan,yan,Locale_MainScenario:d_main_15_04_36,True,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,16,sad,,S_160,S_160,1.0,,,,,,,,,,,,,
