id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_trainstation_04_30,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_30,True,,1,idle,,1315,1315,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_31,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_31,True,,1,idle,,150,150,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_32,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_32,True,,1,idle,,XS_10,XS_10,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_33,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_33,True,,1,idle,,150,150,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_34,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_34,True,,1,idle,,L_130,L_130,1.0,,,,,13,angry,,15,idle
d_ex_trainstation_04_35,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_35,True,,1,idle,,L_130,L_130,1.0,,,,,13,angry,,15,idle
d_ex_trainstation_04_36,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_36,True,,1,idle,,1315,1315,1.0,,,,,13,angry,,15,idle
d_ex_trainstation_04_37,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_37,True,,1,idle,,1315,1315,1.0,,,,,13,angry,,15,idle
d_ex_trainstation_04_38,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_38,True,,1,idle,,1315,1315,1.0,,,,,13,angry,,15,idle
d_ex_trainstation_04_39,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_39,False,,1,idle,,1315,L_130,2.0,,,,,13,angry,,15,idle
d_ex_trainstation_04_40,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_40,True,,1,idle,,L_130,L_130,1.0,,,,,13,angry,,15,idle
d_ex_trainstation_04_41,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_41,True,,1,idle,,150,150,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_42,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_42,True,,1,idle,,L_130,L_130,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_43,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_43,True,,1,idle,,150,150,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_44,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_44,True,,1,idle,,L_1300,L_1300,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_45,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_45,True,,1,idle,,1500,1500,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_46,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_46,True,,1,idle,,L_1300,L_1300,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_47,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_47,True,,1,idle,,1500,1500,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_48,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_48,True,,1,idle,,L_1300,L_1300,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_49,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_49,True,,1,idle,,1500,1500,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_50,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_50,True,,1,idle,,1315,1315,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_51,d_ex_trainstation_04,Monologue,,,Locale_SuddenStory:d_ex_trainstation_04_51,False,,1,idle,,1315,1315,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_52,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_52,True,,1,idle,,1315,1,2.0,,,,,13,angry,,15,no
d_ex_trainstation_04_53,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_53,False,,1,idle,,1,1,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_54,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_54,True,,1,idle,,1,1,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_55,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_55,False,,1,idle,,1,1,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_56,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_56,False,,1,idle,,1,1315,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_57,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_57,False,,1,idle,,1315,1315,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_58,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_58,False,,1,idle,,1315,1315,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_59,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_59,False,,1,idle,,1315,1315,1.0,,,,,13,angry,,15,no
d_ex_trainstation_04_60,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_60,True,,1,idle,,XS_10,XS_10,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_61,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_61,True,,1,idle,,1315,1315,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_62,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_62,True,,1,idle,,1315,1315,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_63,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_63,True,,1,idle,,L_130,L_130,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_64,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_64,True,,1,idle,,150,150,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_65,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_65,True,,1,idle,,L_1300,L_1300,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_66,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_66,True,,1,idle,,1500,1500,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_67,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_67,False,,1,idle,,XS_100,XS_10,3.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_68,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_68,True,,1,idle,,XS_10,XS_10,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_69,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_69,True,,1,idle,,XS_10,XS_10,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_70,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_70,True,,1,idle,,XS_10,XS_10,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_71,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_71,True,,1,idle,,XS_10,XS_10,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_72,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_72,True,,1,idle,,XS_10,XS_10,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_73,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_73,False,,1,idle,,1315,1315,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_74,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_74,False,,1,idle,,1315,1315,1.0,,,,,13,idle,,15,idle
d_ex_trainstation_04_75,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_75,True,,1,idle,,150,150,1.0,,,,,13,idle,,15,delight
d_ex_trainstation_04_76,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_76,True,,1,idle,,L_130,L_130,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_77,d_ex_trainstation_04,Speech,helm,helm,Locale_SuddenStory:d_ex_trainstation_04_77,True,,1,idle,,1500,1500,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_78,d_ex_trainstation_04,Speech,brid,brid,Locale_SuddenStory:d_ex_trainstation_04_78,True,,1,idle,,L_1300,L_1300,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_79,d_ex_trainstation_04,Monologue,,,Locale_SuddenStory:d_ex_trainstation_04_79,False,,1,idle,,1315,1315,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_80,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_80,True,,1,idle,,1315,1,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_81,d_ex_trainstation_04,Self,,,Locale_SuddenStory:d_ex_trainstation_04_81,False,,1,idle,,1,1,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_82,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_82,False,,1,idle,,1,1,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_83,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_83,True,,1,idle,,1,1,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_84,d_ex_trainstation_04,Speech,epinel,epinel,Locale_SuddenStory:d_ex_trainstation_04_84,True,,1,pain,,1,XS_100,1.0,,,,,13,delight,,15,delight
d_ex_trainstation_04_85,d_ex_trainstation_04,Monologue,,,Locale_SuddenStory:d_ex_trainstation_04_85,False,,1,pain,,XS_100,XS_100,1.0,,,,,13,delight,,15,delight
