id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_28_01_s_11,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_11,True,,13,worry,,1,delight,,3,smile,,12,12,1.0,,,,,,,,
d_main_28_01_s_12,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_12,True,,13,worry,,1,delight,,3,smile,,12,12,1.0,,,,,,,,
d_main_28_01_s_13,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_13,True,,13,delight,,1,delight,,3,smile,,12,12,1.0,,,,,,,,
d_main_28_01_s_14,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_14,True,,13,delight,,1,worry,,3,smile,,12,12,1.0,,,,,,,,
d_main_28_01_s_15,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_15,True,,13,idle,,1,worry,,3,smile,,12,S_130,1.0,,,,,,,,
d_main_28_01_s_16,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_16,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,,,,,,
d_main_28_01_s_17,d_main_28_01_s,Monologue,elegg,,Locale_MainScenario:d_main_28_01_s_17,False,,13,idle,,1,worry,,3,smile,Crystalchunk,S_130,17,1.0,,,,,,,,
d_main_28_01_s_18,d_main_28_01_s,Monologue,elegg,,Locale_MainScenario:d_main_28_01_s_18,False,,13,idle,,1,worry,,3,smile,,17,17,1.0,,,,,,,,
d_main_28_01_s_19,d_main_28_01_s,Monologue,elegg,,Locale_MainScenario:d_main_28_01_s_19,False,,13,idle,,1,worry,,3,smile,,17,17,1.0,,,,,,,,
d_main_28_01_s_20,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_20,True,,13,idle,,1,worry,,3,smile,CrystalCity,17,S_130,1.0,,,,,,,,
d_main_28_01_s_21,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_21,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,,,,,,
d_main_28_01_s_22,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_22,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,,,,,,
d_main_28_01_s_23,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_23,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,,,,,,
d_main_28_01_s_24,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_24,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,,,,,,
d_main_28_01_s_25,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_25,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,,,,,,
d_main_28_01_s_26,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_26,True,,13,idle,,1,surprise,,3,smile,,S_130,12,1.0,,,,,,,,
d_main_28_01_s_27,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_27,True,,13,delight,,1,surprise,,3,smile,,12,12,1.0,,,,,,,,
d_main_28_01_s_28,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_28,True,,13,delight,,1,surprise,,3,smile,,12,12,1.0,,,,,,,,
d_main_28_01_s_29,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_29,True,,13,delight,,1,surprise,,3,smile,,12,12,1.0,,,,,,,,
d_main_28_01_s_30,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_30,True,,13,delight,,1,smile,,3,smile,,12,12,1.0,,,,,,,,
d_main_28_01_s_31,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_31,True,,13,idle,,1,worry,,3,smile,,12,S_130,1.0,,shifty,OP_leftup,idle,,,,
d_main_28_01_s_32,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_32,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,OP_leftup,idle,,,,
d_main_28_01_s_33,d_main_28_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_28_01_s_33,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,OP_leftup,idle,,,,
d_main_28_01_s_34,d_main_28_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_28_01_s_34,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,OP_leftup,surprise,,,,
d_main_28_01_s_35,d_main_28_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_28_01_s_35,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,OP_leftup,surprise,,,,
d_main_28_01_s_36,d_main_28_01_s,Speech,elegg,elegg,Locale_MainScenario:d_main_28_01_s_36,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,OP_leftup,surprise,,,,
d_main_28_01_s_37,d_main_28_01_s,Speech,shifty,shifty,Locale_MainScenario:d_main_28_01_s_37,True,,13,idle,,1,worry,,3,smile,,S_130,S_130,1.0,,,OP_leftup,idle,,,,
d_main_28_01_s_38,d_main_28_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_28_01_s_38,True,,13,idle,,1,worry,,3,smile,,S_130,2,1.0,,,OP_leftup,idle,shifty,rapi,17,idle
d_main_28_01_s_39,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_39,True,,13,idle,,1,worry,,3,smile,,2,2,1.0,,,,,,,17,idle
d_main_28_01_s_40,d_main_28_01_s,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_01_s_40,True,,13,idle,,1,worry,,3,smile,,2,2,1.0,,,,,,,17,idle
d_main_28_01_s_41,d_main_28_01_s,Speech,hammering,hammering,Locale_MainScenario:d_main_28_01_s_41,True,,13,idle,,1,worry,,3,smile,,2,2,1.0,,,,,,,17,idle
d_main_28_01_s_42,d_main_28_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_28_01_s_42,False,,13,idle,,1,worry,,3,smile,,17,17,1.0,,,,,,,17,idle
