id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake
d_subquest_1302_21,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_21,False,,3,idle,,1,void,,13,idle,,3,3,1.0,,,,
d_subquest_1302_22,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_22,True,,3,idle,,1,delight,,13,idle,,12,12,1.0,,anis,anis,
d_subquest_1302_23,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_23,True,,3,idle,,1,delight,,13,idle,,12,12,1.0,,neon,neon,
d_subquest_1302_24,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_24,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,anis,anis,
d_subquest_1302_25,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_25,True,,3,idle,,1,void,,13,idle,,12,12,1.0,,neon,neon,
d_subquest_1302_26,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_26,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,anis,anis,
d_subquest_1302_27,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_27,False,,3,idle,,1,idle,,13,idle,,12,12,1.0,,,,
d_subquest_1302_28,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_28,True,,3,idle,,1,idle,,13,idle,,12,3,1.0,,rapi,rapi,
d_subquest_1302_29,d_subquest_1302,Narration,Locale_SubScenario:d_subquest_1302_29,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,,
d_subquest_1302_30,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_30,False,,3,idle,,1,idle,,13,idle,,17,17,1.0,,,,
d_subquest_1302_31,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_31,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,rapi,
d_subquest_1302_32,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_32,True,,3,idle,,1,idle,,13,idle,,10,10,1.0,,anis,anis,
d_subquest_1302_33,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_33,True,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,neon,neon,
d_subquest_1302_34,d_subquest_1302,Narration,Locale_SubScenario:d_subquest_1302_34,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,,
d_subquest_1302_35,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_35,False,,3,idle,,1,void,,13,worry,,17,17,1.0,,,,
d_subquest_1302_36,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_36,True,,3,idle,,1,void,,13,worry,,30,30,1.0,,rapi,rapi,
d_subquest_1302_37,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_37,True,,3,idle,,1,void,,13,worry,,10,10,1.0,,anis,anis,
d_subquest_1302_38,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_38,True,,3,idle,,1,void,,13,worry,,S_130,S_130,1.0,,neon,neon,
d_subquest_1302_39,d_subquest_1302,Narration,Locale_SubScenario:d_subquest_1302_39,False,,3,idle,,1,void,,13,worry,,black,black,1.0,,,,
d_subquest_1302_40,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_40,False,,3,idle,,1,void,,13,worry,,17,17,1.0,,,,
d_subquest_1302_41,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_41,True,,3,idle,,1,angry,,13,worry,,10,10,1.0,,anis,anis,
d_subquest_1302_42,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_42,False,,3,idle,,1,angry,,13,worry,,10,1,0.6,none,,,Low_2
d_subquest_1302_43,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_43,False,,3,idle,,1,void,,13,idle,,1,17,1.0,bgm_story_fairytalesend_b,,,
d_subquest_1302_44,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_44,False,,3,idle,,1,void,,13,idle,,17,17,1.0,,,,
d_subquest_1302_45,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_45,False,,3,idle,,1,void,,13,idle,,17,1700,1.0,,,,
d_subquest_1302_46,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_46,False,,3,idle,,1,void,,13,idle,,1700,1700,1.0,,,,
d_subquest_1302_47,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_47,False,,3,idle,,1,void,,13,idle,,1700,1700,1.0,,,,
d_subquest_1302_48,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_48,False,,3,idle,,1,void,,13,idle,,1700,170,1.5,,,,
d_subquest_1302_49,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_49,False,,3,idle,,1,void,,13,idle,,170,170,1.0,,,,
d_subquest_1302_50,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_50,False,,3,idle,,1,void,,13,idle,,170,170,1.0,,,,
d_subquest_1302_51,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_51,False,,3,idle,,1,void,,13,idle,,170,170,1.0,,,,
d_subquest_1302_52,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_52,False,,3,idle,,1,void,,13,idle,,170,170,1.0,,,,
d_subquest_1302_53,d_subquest_1302,Narration,Locale_SubScenario:d_subquest_1302_53,False,,3,idle,,1,void,,13,idle,,black,black,1.0,,,,
d_subquest_1302_54,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_54,False,,3,idle,,1,void,,13,idle,,170,170,1.0,,,,
d_subquest_1302_55,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_55,False,,3,idle,,1,void,,13,idle,,170,170,1.0,,,,
d_subquest_1302_56,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_56,False,,3,idle,,1,void,,13,idle,,170,17,1.0,,,,
d_subquest_1302_57,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_57,False,,3,idle,,1,void,,13,idle,,17,17,1.0,,,,
d_subquest_1302_58,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_58,False,,3,idle,,1,void,,13,idle,,17,17,1.0,,,,
d_subquest_1302_59,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_59,False,,3,idle,,1,void,,13,idle,,17,17,1.0,,,,
d_subquest_1302_60,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_60,False,,3,idle,,1,void,,13,idle,,17,1700,0.6,,,,
d_subquest_1302_61,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_61,False,,3,idle,,1,void,,13,idle,,1700,1700,1.0,,,,
d_subquest_1302_62,d_subquest_1302,Narration,Locale_SubScenario:d_subquest_1302_62,False,,3,idle,,1,void,,13,idle,,1700,17,0.5,,,,Low_2
d_subquest_1302_63,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_63,False,,3,idle,,1,void,,13,idle,,17,17,1.0,,,,
d_subquest_1302_64,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_64,False,,3,idle,,1,void,,13,idle,,17,17,1.0,,,,
d_subquest_1302_65,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_65,False,,3,idle,,1,void,,13,idle,,17,17,1.0,,,,
d_subquest_1302_66,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_66,False,,3,idle,,1,void,,13,idle,,17,17,1.0,,,,
d_subquest_1302_67,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_67,True,,3,idle,,1,delight,,13,surprise,,17,12,1.0,,anis,anis,
d_subquest_1302_68,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_68,True,,3,idle,,1,delight,,13,surprise,,12,12,1.0,,neon,neon,
d_subquest_1302_69,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_69,True,,3,idle,,1,delight,,13,surprise,,12,2,1.0,,rapi,rapi,
d_subquest_1302_70,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_70,False,,3,idle,,1,idle,,13,idle,,2,17,1.0,,,,
d_subquest_1302_71,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_71,False,,3,idle,,1,idle,,13,idle,,17,17,1.0,,,,
d_subquest_1302_72,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_72,False,,3,idle,,1,idle,,13,idle,,17,17,1.0,,,,
d_subquest_1302_73,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_73,False,,3,idle,,1,idle,,13,idle,,17,17,1.0,,,,
d_subquest_1302_74,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_74,False,,3,idle,,1,idle,,13,idle,,17,17,1.0,,,,
d_subquest_1302_75,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_75,False,,3,idle,,1,idle,,13,idle,,17,17,1.0,,,,
d_subquest_1302_76,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_76,False,,3,idle,,1,idle,,13,idle,,17,1700,1.0,,,,
d_subquest_1302_77,d_subquest_1302,Monologue,Locale_SubScenario:d_subquest_1302_77,False,,3,idle,,1,idle,,13,idle,,1700,1700,1.0,,,,
d_subquest_1302_78,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_78,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,rapi,
d_subquest_1302_79,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_79,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,none,,,
d_subquest_1302_80,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_80,True,,3,idle,,1,idle,,13,idle,,30,30,1.0,,rapi,rapi,
d_subquest_1302_81,d_subquest_1302,Self,Locale_SubScenario:d_subquest_1302_81,False,,3,idle,,1,idle,,13,idle,,30,30,1.0,,,,
d_subquest_1302_82,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_82,True,,3,think,,1,idle,,13,idle,,30,3,1.0,,rapi,rapi,
d_subquest_1302_83,d_subquest_1302,Speech,Locale_SubScenario:d_subquest_1302_83,True,,3,think,,1,idle,,13,idle,,3,3,1.0,,rapi,rapi,
