id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_library_08_45,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_45,True,,S_70,S_70,1.0,,,7,idle,,5,idle,
d_ex_library_08_46,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_46,True,,S_70,S_70,1.0,,,7,idle,,5,idle,
d_ex_library_08_47,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_47,True,,S_70,S_70,1.0,,,7,idle,,5,idle,
d_ex_library_08_48,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_48,True,,S_70,S_70,1.0,,,7,idle,,5,idle,
d_ex_library_08_49,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_49,True,,S_70,S_70,1.0,,,7,idle,,5,idle,
d_ex_library_08_50,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_50,True,,S_70,S_70,1.0,,,7,idle,,5,idle,
d_ex_library_08_51,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_51,True,,S_70,6,1.0,,,7,idle,,5,idle,
d_ex_library_08_52,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_52,False,,6,6,1.0,,,7,idle,,5,no,
d_ex_library_08_53,d_ex_library_08,Self,guillotine,,Locale_SuddenStory:d_ex_library_08_53,False,,6,6,1.0,,,7,idle,,5,no,
d_ex_library_08_54,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_54,True,,6,6,1.0,,,7,idle,,5,idle,
d_ex_library_08_55,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_55,True,,6,6,1.0,,,7,idle,,5,idle,
d_ex_library_08_56,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_56,True,,6,6,1.0,,,7,idle,,5,idle,
d_ex_library_08_57,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_57,False,,6,6,1.0,,,7,idle,,5,idle,
d_ex_library_08_58,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_58,True,,6,XS_50,1.0,,,7,idle,,5,idle,
d_ex_library_08_59,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_59,True,,XS_50,XS_50,1.0,,,7,idle,,5,idle,
d_ex_library_08_60,d_ex_library_08,Self,guillotine,,Locale_SuddenStory:d_ex_library_08_60,False,,XS_50,XS_50,1.0,,,7,idle,,5,idle,
d_ex_library_08_61,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_61,True,,XS_50,XS_50,1.0,,,7,idle,,5,delight,
d_ex_library_08_62,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_62,True,,XS_50,XS_50,1.0,,,7,idle,,5,delight,
d_ex_library_08_63,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_63,True,,XS_50,XS_50,1.0,,,7,idle,,5,idle,
d_ex_library_08_64,d_ex_library_08,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_library_08_64,True,,XS_50,5,1.0,,,7,idle,,5,idle,
d_ex_library_08_65,d_ex_library_08,Monologue,Monologue,,Locale_SuddenStory:d_ex_library_08_65,False,,5,5,1.0,none,,7,idle,,5,idle,guillotine
d_ex_library_08_66,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_66,True,,7,7,1.0,bgm_story_orangepop,,7,idle,,,,
d_ex_library_08_67,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_67,True,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_68,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_68,False,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_69,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_69,False,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_70,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_70,False,,7,7,1.0,,,7,idle,,,,
d_ex_library_08_71,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_71,True,,7,S_70,1.0,,,7,idle,,,,
d_ex_library_08_72,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_72,True,,S_70,S_70,1.0,,,7,idle,,,,
d_ex_library_08_73,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_73,False,,S_70,S_70,1.0,,,7,idle,,,,
d_ex_library_08_74,d_ex_library_08,Self,kilo,,Locale_SuddenStory:d_ex_library_08_74,False,,S_70,S_70,1.0,,,7,idle,,,,
d_ex_library_08_75,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_75,False,,S_70,S_70,1.0,,,7,idle,,,,
d_ex_library_08_76,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_76,True,,S_70,S_70,1.0,,,7,smile,,,,
d_ex_library_08_77,d_ex_library_08,Speech,kilo,kilo,Locale_SuddenStory:d_ex_library_08_77,True,,S_70,S_70,1.0,,,7,smile,,,,
d_ex_library_08_78,d_ex_library_08,Monologue,kilo,,Locale_SuddenStory:d_ex_library_08_78,False,,black,black,1.0,,,7,smile,,,,
