id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,play_sound,characters/0/hide_char_id
d_ex_church_03_43,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_43,True,,1,delight,,10,10,1.0,,,3,idle,,,
d_ex_church_03_44,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_44,False,,1,delight,,10,100,0.5,,,3,idle,,,
d_ex_church_03_45,d_ex_church_03,Narration,folkwang,,Locale_SuddenStory:d_ex_church_03_45,False,,1,delight,,black,black,1.0,,,3,idle,,sfx_scn_swallow,
d_ex_church_03_46,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_46,True,,1,surprise,,100,10,0.5,,,3,idle,,,
d_ex_church_03_47,d_ex_church_03,Self,folkwang,,Locale_SuddenStory:d_ex_church_03_47,False,,1,surprise,,10,10,1.0,,,3,idle,,,
d_ex_church_03_48,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_48,True,,1,surprise,,10,10,1.0,,,3,idle,,,
d_ex_church_03_49,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_49,True,,1,surprise,,10,10,1.0,,,3,idle,,,
d_ex_church_03_50,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_50,True,,1,delight,,10,10,1.0,,,3,idle,,,
d_ex_church_03_51,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_51,True,,1,idle,,10,30,1.0,,,3,special,,,
d_ex_church_03_52,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_52,True,,1,idle,,30,30,1.0,,,3,special,,,
d_ex_church_03_53,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_53,True,,1,delight,,30,2,1.0,,,3,special,,,
d_ex_church_03_54,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_54,True,,1,idle,,2,2,1.0,,,3,special,,,
d_ex_church_03_55,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_55,True,,1,idle,,2,2,1.0,,,3,idle,,,
d_ex_church_03_56,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_56,True,,1,idle,,2,2,1.0,,,3,idle,,,
d_ex_church_03_57,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_57,True,,1,delight,,2,2,1.0,,,3,idle,,,
d_ex_church_03_58,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_58,False,,1,delight,,2,100,0.5,,,3,idle,,sfx_scn_run,folkwang
d_ex_church_03_59,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_59,False,,,,,100,100,1.0,,,3,idle,,,
d_ex_church_03_60,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_60,False,folkwang,1,surprise,,100,2,1.0,,,3,idle,,sfx_scn_run,
d_ex_church_03_61,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_61,True,,1,surprise,,2,2,1.0,,,3,idle,,,
d_ex_church_03_62,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_62,True,,1,delight,,2,2,1.0,,,3,idle,,,
d_ex_church_03_63,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_63,True,,1,surprise,,2,2,1.0,,,3,idle,,,
d_ex_church_03_64,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_64,True,,1,surprise,,2,2,1.0,,,3,idle,,,
d_ex_church_03_65,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_65,True,,1,delight,,2,10,0.5,,,3,idle,,,
d_ex_church_03_66,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_66,True,,1,idle,,10,30,2.0,,,3,special,,,
d_ex_church_03_67,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_67,True,,1,idle,,30,30,1.0,,,3,special,,,
d_ex_church_03_68,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_68,True,,1,idle,,30,30,1.0,,,3,idle,,,
d_ex_church_03_69,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_69,True,,1,idle,,30,30,1.0,,,3,idle,,,
d_ex_church_03_70,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_70,True,,1,delight,,10,100,0.5,,,3,idle,,,
d_ex_church_03_71,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_71,True,,1,idle,,30,30,1.0,,,3,idle,,,
d_ex_church_03_72,d_ex_church_03,Monologue,harran,,Locale_SuddenStory:d_ex_church_03_72,False,,1,idle,,30,300,2.0,,,3,idle,,,
d_ex_church_03_73,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_73,True,,1,idle,,300,300,1.0,,,3,idle,,,
d_ex_church_03_74,d_ex_church_03,Speech,harran,harran,Locale_SuddenStory:d_ex_church_03_74,True,,1,idle,,300,300,1.0,,,3,idle,,,
d_ex_church_03_75,d_ex_church_03,Speech,folkwang,folkwang,Locale_SuddenStory:d_ex_church_03_75,True,,1,delight,,100,100,1.0,,,3,idle,,,
d_ex_church_03_76,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_76,False,,1,delight,,100,2,2.0,,,3,idle,,,
d_ex_church_03_77,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_77,False,,1,delight,,black,black,1.0,,,3,idle,,,
d_ex_church_03_78,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_78,False,,1,idle,,black,black,1.0,,,3,idle,,,
d_ex_church_03_79,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_79,False,,1,idle,,black,black,1.0,,,3,idle,,,
d_ex_church_03_80,d_ex_church_03,Monologue,folkwang,,Locale_SuddenStory:d_ex_church_03_80,False,,1,idle,,black,black,1.0,,,3,idle,,,
