id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,play_sound,characters/1/hide_char_id
d_ex_goddessofvictory_03_20,d_ex_goddessofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_20,False,,1,shy,,XS_130,XS_130,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_21,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_21,True,,1,shy,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_22,d_ex_goddessofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_22,False,,1,shy,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_23,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_23,True,,1,shy,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_24,d_ex_goddessofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_24,False,,1,shy,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_25,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_25,True,,1,shy,,XS_130,XS_1300,0.5,,,13,idle,,,
d_ex_goddessofvictory_03_26,d_ex_goddessofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_26,False,,1,shy,,XS_1300,XS_1300,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_27,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_27,True,,1,shy,,XS_1300,XS_1300,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_28,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_28,True,,1,shy,,XS_1300,XS_1300,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_29,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_29,True,,1,shy,,XS_1300,XS_1300,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_30,d_ex_goddessofvictory_03,Choice,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_30,False,,1,shy,,XS_1300,XS_1300,1.0,,,13,delight,d_ex_goddessofvictory_03_32,,
d_ex_goddessofvictory_03_31,d_ex_goddessofvictory_03,Choice,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_31,False,,1,shy,,XS_1300,XS_1300,1.0,,,13,delight,d_ex_goddessofvictory_03_33,,
d_ex_goddessofvictory_03_32,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_32,True,,1,shy,,XS_1300,XS_130,2.0,,,13,delight,d_ex_goddessofvictory_03_34,,
d_ex_goddessofvictory_03_33,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_33,True,,1,shy,,XS_1300,XS_130,2.0,,,13,delight,,,
d_ex_goddessofvictory_03_34,d_ex_goddessofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_34,False,,1,shy,,XS_130,XS_130,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_35,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_35,True,,1,shy,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_36,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_36,True,,1,shy,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_37,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_37,True,,1,shy,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_38,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_38,True,,1,shy,,XS_130,XS_130,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_39,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_39,True,,1,shy,,XS_130,XS_130,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_40,d_ex_goddessofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_40,False,,1,shy,,XS_130,XS_130,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_41,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_41,True,,1,shy,,XS_130,12,1.0,none,,13,idle,,,
d_ex_goddessofvictory_03_42,d_ex_goddessofvictory_03,Monologue,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_42,False,,1,shy,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_43,d_ex_goddessofvictory_03,Self,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_43,False,,1,surprise,,12,12,1.0,bgm_enemyclose,,13,idle,,,
d_ex_goddessofvictory_03_44,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_44,True,,1,surprise,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_45,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_45,True,,1,surprise,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_46,d_ex_goddessofvictory_03,Monologue,ether,,Locale_SuddenStory:d_ex_goddessofvictory_03_46,False,,1,surprise,,12,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_47,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_47,True,,1,surprise,,XS_10,XS_100,0.5,,,13,idle,,,
d_ex_goddessofvictory_03_48,d_ex_goddessofvictory_03,Narration,,,Locale_SuddenStory:d_ex_goddessofvictory_03_48,False,,1,surprise,,XS_100,XS_1300,2.0,,,13,idle,,sfx_scn_corrosion,
d_ex_goddessofvictory_03_49,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_49,True,,1,surprise,,XS_1300,XS_1300,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_50,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_50,True,,1,surprise,,XS_1300,XS_1300,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_51,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_51,True,,1,angry,,XS_1300,12,0.5,,,13,idle,,,
d_ex_goddessofvictory_03_52,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_52,True,,1,angry,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_53,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_53,True,,1,angry,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_54,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_54,True,,1,angry,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_55,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_55,True,,1,angry,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_56,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_56,True,,1,angry,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_57,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_57,True,,1,angry,,12,12,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_58,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_58,True,,1,angry,,12,12,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_59,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_59,True,,1,angry,,12,12,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_60,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_60,True,,1,angry,,12,XS_10,0.5,,,13,sad,,,
d_ex_goddessofvictory_03_61,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_61,True,,1,angry,,XS_10,XS_130,2.0,,,13,delight,,,
d_ex_goddessofvictory_03_62,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_62,True,,1,angry,,XS_130,XS_130,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_63,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_63,True,,1,angry,,XS_10,XS_10,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_64,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_64,True,,1,angry,,XS_10,XS_10,1.0,,,13,delight,,,
d_ex_goddessofvictory_03_65,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_65,True,,1,angry,,XS_130,XS_130,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_66,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_66,True,,1,angry,,XS_130,XS_130,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_67,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_67,True,,1,angry,,XS_130,XS_130,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_68,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_68,True,,1,angry,,XS_10,XS_10,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_69,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_69,True,,1,angry,,XS_130,XS_130,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_70,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_70,True,,1,angry,,XS_10,XS_10,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_71,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_71,True,,1,angry,,XS_10,XS_100,0.5,,,13,sad,,,
d_ex_goddessofvictory_03_72,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_72,True,,1,angry,,XS_130,XS_130,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_73,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_73,True,,1,angry,,XS_130,XS_130,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_74,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_74,True,,1,angry,,XS_130,XS_1300,0.5,,,13,sad,,,
d_ex_goddessofvictory_03_75,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_75,True,,1,angry,,XS_1300,XS_1300,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_76,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_76,True,,1,angry,,XS_1300,12,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_77,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_77,True,,1,angry,,12,12,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_78,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_78,True,,1,angry,,12,12,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_79,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_79,True,,1,angry,,12,12,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_80,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_80,True,,1,angry,,12,12,1.0,,,13,sad,,,
d_ex_goddessofvictory_03_81,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_81,True,,1,angry,,12,XS_130,2.0,,,13,sad,,,
d_ex_goddessofvictory_03_82,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_82,True,,1,angry,,XS_130,XS_10,0.5,,,13,sad,,,
d_ex_goddessofvictory_03_83,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_83,True,,1,angry,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_84,d_ex_goddessofvictory_03,Speech,ether,ether,Locale_SuddenStory:d_ex_goddessofvictory_03_84,True,,1,angry,,XS_130,XS_130,1.0,,,13,idle,,,
d_ex_goddessofvictory_03_85,d_ex_goddessofvictory_03,Monologue,,,Locale_SuddenStory:d_ex_goddessofvictory_03_85,False,,1,angry,,XS_130,12,2.0,none,,13,idle,,,ether
d_ex_goddessofvictory_03_86,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_86,True,,1,angry,,12,1,1.0,bgm_story_leisuretime,,,,,,
d_ex_goddessofvictory_03_87,d_ex_goddessofvictory_03,Self,pepper,,Locale_SuddenStory:d_ex_goddessofvictory_03_87,False,,1,angry,,1,1,1.0,,,,,,,
d_ex_goddessofvictory_03_88,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_88,False,,1,surprise,,1,XS_10,0.5,,,,,,,
d_ex_goddessofvictory_03_89,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_89,True,,1,angry,,XS_10,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_90,d_ex_goddessofvictory_03,Self,pepper,,Locale_SuddenStory:d_ex_goddessofvictory_03_90,False,,1,angry,,XS_10,XS_10,1.0,,,,,,,
d_ex_goddessofvictory_03_91,d_ex_goddessofvictory_03,Speech,pepper,pepper,Locale_SuddenStory:d_ex_goddessofvictory_03_91,True,,1,angry,,XS_10,XS_100,0.5,,,,,,,
d_ex_goddessofvictory_03_92,d_ex_goddessofvictory_03,Self,pepper,,Locale_SuddenStory:d_ex_goddessofvictory_03_92,False,,1,angry,,XS_100,XS_100,1.0,,,,,,,
