id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target
d_subquest_1442_s_30,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_30,True,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_31,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_31,True,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_32,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_32,True,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_33,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_33,True,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_34,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_34,True,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_35,d_subquest_1442_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_s_35,True,,5,worry,,3,worry,,1,think,,13,idle,,2,2,1.0,,
d_subquest_1442_s_36,d_subquest_1442_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1442_s_36,True,,5,worry,,3,worry,,1,think,,13,idle,,2,2,1.0,,
d_subquest_1442_s_37,d_subquest_1442_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_s_37,True,,5,worry,,3,worry,,1,think,,13,idle,,2,4,2.0,,
d_subquest_1442_s_38,d_subquest_1442_s,Self,neon,,Locale_SubScenario:d_subquest_1442_s_38,False,,5,worry,,3,worry,,1,think,,13,idle,,4,4,1.0,,
d_subquest_1442_s_39,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_39,True,,5,worry,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_40,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_40,True,,5,idle,,3,worry,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_41,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_41,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_42,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_42,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_43,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_43,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_44,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_44,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,S_130,1.0,,
d_subquest_1442_s_45,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_45,True,,5,idle,,3,idle,,1,idle,,13,idle,,S_130,12,1.0,,
d_subquest_1442_s_46,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_46,True,,5,idle,,3,idle,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1442_s_47,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_47,True,,5,idle,,3,idle,,1,idle,,13,idle,,12,12,1.0,,
d_subquest_1442_s_48,d_subquest_1442_s,Speech,cinderella,cinderella,Locale_SubScenario:d_subquest_1442_s_48,True,,5,idle,,3,idle,,1,idle,,13,delight,,12,12,1.0,,
d_subquest_1442_s_49,d_subquest_1442_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1442_s_49,True,,5,idle,,3,idle,,1,delight,,13,delight,,12,12,1.0,,
d_subquest_1442_s_50,d_subquest_1442_s,Self,rapi,,Locale_SubScenario:d_subquest_1442_s_50,False,,5,idle,,3,idle,,1,delight,,13,delight,,12,12,1.0,,
d_subquest_1442_s_51,d_subquest_1442_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1442_s_51,True,,5,idle,,3,idle,,1,delight,,13,delight,,12,2,1.0,,
d_subquest_1442_s_52,d_subquest_1442_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1442_s_52,True,,5,delight,,3,idle,,1,delight,,13,delight,,2,4,1.0,,
