id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_filter_01,jump_target,characters/1/hide_char_id,characters/2/hide_char_id,fade,set_camera_shake
d_ex_powerplant_02_20,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_20,True,,1,idle,,13,idle,,15,idle,,black,black,1.0,,maxwell,maxwell,,,,,,,
d_ex_powerplant_02_21,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_21,True,,1,idle,,13,idle,,15,idle,,black,black,1.0,,drake,drake,,,,,,,
d_ex_powerplant_02_22,d_ex_powerplant_02,Narration,Locale_SuddenStory:d_ex_powerplant_02_22,False,,1,idle,,13,idle,,15,idle,,black,black,2.0,,drake,,sfx_scn_energecharge,,,,,,
d_ex_powerplant_02_23,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_23,True,,1,idle,,13,idle,,15,idle,TechIndoor,1,1,1.0,bgm_story_backtonormal,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_24,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_24,True,,1,idle,,13,idle,,15,idle,,1,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_25,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_25,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_26,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_26,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_27,d_ex_powerplant_02,Choice,Locale_SuddenStory:d_ex_powerplant_02_27,False,,1,idle,,13,idle,,15,idle,,10,10,1.0,,maxwell,,,Red,d_ex_powerplant_02_29,,,,
d_ex_powerplant_02_28,d_ex_powerplant_02,Choice,Locale_SuddenStory:d_ex_powerplant_02_28,False,,1,idle,,13,idle,,15,idle,,10,10,1.0,,maxwell,,,Red,d_ex_powerplant_02_35,,,,
d_ex_powerplant_02_29,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_29,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_30,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_30,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_31,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_31,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_32,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_32,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_33,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_33,True,,1,idle,,13,idle,,15,angry,,150,150,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_34,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_34,True,,1,idle,,13,idle,,15,angry,,S_130,S_130,1.0,,laplace,laplace,,Red,d_ex_powerplant_02_37,,,,
d_ex_powerplant_02_35,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_35,True,,1,idle,,13,idle,,15,angry,,150,150,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_36,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_36,True,,1,idle,,13,idle,,15,angry,,S_130,S_130,1.0,,laplace,laplace,,Red,d_ex_powerplant_02_37,,,,
d_ex_powerplant_02_37,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_37,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_38,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_38,False,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,laplace,laplace,,Red,,,,,
d_ex_powerplant_02_39,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_39,True,,1,idle,,13,delight,,15,idle,,1315,S_130,1.0,,laplace,laplace,,Red,,,,,
d_ex_powerplant_02_40,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_40,True,,1,idle,,13,delight,,15,idle,,S_130,150,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_41,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_41,True,,1,idle,,13,idle,,15,delight,,150,150,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_42,d_ex_powerplant_02,Self,Locale_SuddenStory:d_ex_powerplant_02_42,False,,1,idle,,13,idle,,15,delight,,150,150,1.0,,drake,,,Red,,,,,
d_ex_powerplant_02_43,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_43,True,,1,idle,,13,idle,,15,no,,150,1500,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_44,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_44,True,,1,idle,,13,idle,,15,idle,,1500,150,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_45,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_45,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_46,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_46,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_47,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_47,True,,1,idle,,13,idle,,15,delight,,1315,1315,1.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_48,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_48,False,,1,idle,,13,angry,,15,idle,,1315,13,1.0,,laplace,laplace,,Red,,,,,
d_ex_powerplant_02_49,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_49,True,,1,idle,,13,angry,,15,idle,,13,S_1300,0.5,,laplace,laplace,,Red,,,,,
d_ex_powerplant_02_50,d_ex_powerplant_02,Self,Locale_SuddenStory:d_ex_powerplant_02_50,False,,1,idle,,13,angry,,15,idle,,S_1300,S_1300,1.0,,laplace,,,Red,,laplace,,,
d_ex_powerplant_02_51,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_51,False,,1,idle,,,,,15,no,,S_1300,150,2.0,,drake,drake,,Red,,,,,
d_ex_powerplant_02_52,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_52,True,,1,idle,,,,,15,delight,,150,1500,0.5,,drake,drake,,Red,,,,,
d_ex_powerplant_02_53,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_53,True,,1,sad,,,,,15,delight,,100,100,1.0,,maxwell,maxwell,,Red,,,drake,,
d_ex_powerplant_02_54,d_ex_powerplant_02,Narration,Locale_SuddenStory:d_ex_powerplant_02_54,False,,1,sad,,,,,,,,1,1,1.0,none,maxwell,,,Red,,,,black,
d_ex_powerplant_02_55,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_55,True,,1,idle,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_56,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_56,True,,1,idle,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_57,d_ex_powerplant_02,Choice,Locale_SuddenStory:d_ex_powerplant_02_57,False,,1,idle,,,,,,,,1,1,1.0,,maxwell,,,Red,d_ex_powerplant_02_62,,,,
d_ex_powerplant_02_58,d_ex_powerplant_02,Choice,Locale_SuddenStory:d_ex_powerplant_02_58,False,,1,idle,,,,,,,,1,1,1.0,,maxwell,,,Red,d_ex_powerplant_02_59,,,,
d_ex_powerplant_02_59,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_59,True,,1,idle,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_60,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_60,True,,1,idle,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_61,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_61,True,,1,idle,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,d_ex_powerplant_02_64,,,,
d_ex_powerplant_02_62,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_62,True,,1,idle,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_63,d_ex_powerplant_02,Monologue,Locale_SuddenStory:d_ex_powerplant_02_63,False,,1,idle,,,,,,,,1,10,1.0,,maxwell,,,Red,d_ex_powerplant_02_64,,,,
d_ex_powerplant_02_64,d_ex_powerplant_02,Narration,Locale_SuddenStory:d_ex_powerplant_02_64,False,,1,idle,,,,,,,,1,1,1.0,,maxwell,,,Red,,,,black,
d_ex_powerplant_02_65,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_65,True,,1,idle,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_66,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_66,True,,1,idle,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_67,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_67,True,,1,idle,laplace,19,angry,,,,MachineRoom,19,19,1.0,bgm_story_orangepop,laplace,laplace,,Grey,,,,black,
d_ex_powerplant_02_68,d_ex_powerplant_02,Narration,Locale_SuddenStory:d_ex_powerplant_02_68,False,,1,idle,,19,angry,,,,,19,S_190,0.5,,laplace,,sfx_scn_glassbreak,Grey,,,,,
d_ex_powerplant_02_69,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_69,True,,1,idle,,19,angry,,,,,S_190,S_190,1.0,,laplace,laplace,,Grey,,,,,
d_ex_powerplant_02_70,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_70,True,,1,idle,,19,angry,,,,,S_190,S_190,1.0,,laplace,laplace,,Grey,,,,,
d_ex_powerplant_02_71,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_71,True,,1,idle,,19,angry,,,,,S_190,S_1900,0.5,,laplace,laplace,,Grey,,,,,
d_ex_powerplant_02_72,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_72,False,,1,sad,,19,angry,,,,,1,1,1.0,,maxwell,maxwell,,Red,,laplace,,black,
d_ex_powerplant_02_73,d_ex_powerplant_02,Self,Locale_SuddenStory:d_ex_powerplant_02_73,False,,1,sad,,,,,,,,1,1,1.0,,maxwell,,,Red,,,,,
d_ex_powerplant_02_74,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_74,True,,1,sad,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_75,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_75,True,,1,angry,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_76,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_76,True,,1,idle,,,,drake,9,no,Drain,9,9,1.0,,drake,drake,,Grey,,,,black,
d_ex_powerplant_02_77,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_77,True,,1,idle,,,,,9,no,,9,9,1.0,,drake,drake,,Grey,,,,,
d_ex_powerplant_02_78,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_78,True,,1,idle,,,,,9,no,,9,9,1.0,,drake,drake,,Grey,,,,,
d_ex_powerplant_02_79,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_79,True,,1,idle,,,,,9,no,,9,9,1.0,,drake,drake,,Grey,,,,,
d_ex_powerplant_02_80,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_80,True,,1,idle,,,,,9,no,,9,90,2.0,,drake,drake,,Grey,,,,,
d_ex_powerplant_02_81,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_81,True,,1,idle,,,,,9,delight,,90,900,0.5,,drake,drake,,Grey,,,,,
d_ex_powerplant_02_82,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_82,True,,1,idle,,,,,9,no,,900,9,2.0,,drake,drake,,Grey,,,,,
d_ex_powerplant_02_83,d_ex_powerplant_02,Self,Locale_SuddenStory:d_ex_powerplant_02_83,False,,1,sad,,,,,9,no,TechIndoor,1,1,1.0,,,,,Red,,,drake,black,
d_ex_powerplant_02_84,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_84,True,,1,sad,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_85,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_85,True,,1,sad,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_86,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_86,True,,1,sad,,,,,,,,1,1,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_87,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_87,True,,1,idle,,,,,,,,1,10,2.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_88,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_88,True,,1,idle,,,,,,,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_89,d_ex_powerplant_02,Choice,Locale_SuddenStory:d_ex_powerplant_02_89,False,,1,idle,,,,,,,,10,10,1.0,,maxwell,,,Red,d_ex_powerplant_02_91,,,,
d_ex_powerplant_02_90,d_ex_powerplant_02,Choice,Locale_SuddenStory:d_ex_powerplant_02_90,False,,1,idle,,,,,,,,10,10,1.0,,maxwell,,,Red,d_ex_powerplant_02_93,,,,
d_ex_powerplant_02_91,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_91,True,,1,idle,,,,,,,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_92,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_92,True,,1,idle,,,,,,,,10,10,1.0,,maxwell,maxwell,,Red,d_ex_powerplant_02_95,,,,
d_ex_powerplant_02_93,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_93,True,,1,idle,,,,,,,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_94,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_94,True,,1,idle,,,,,,,,10,10,1.0,,maxwell,maxwell,,Red,d_ex_powerplant_02_95,,,,
d_ex_powerplant_02_95,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_95,True,,1,idle,,,,,,,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_96,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_96,True,,1,delight,,,,,,,,10,10,1.0,,maxwell,maxwell,,Red,,,,,
d_ex_powerplant_02_97,d_ex_powerplant_02,Self,Locale_SuddenStory:d_ex_powerplant_02_97,False,,1,delight,,,,,,,,10,10,1.0,,,,,Red,,,,,
d_ex_powerplant_02_98,d_ex_powerplant_02,Monologue,Locale_SuddenStory:d_ex_powerplant_02_98,False,,1,idle,,,,,,,MachineRoom,19,19,19.0,,,,,Grey,,,,black,
d_ex_powerplant_02_99,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_99,True,,1,idle,laplace,19,angry,,,,,19,S_190,0.5,,laplace,laplace,,Grey,,,,,
d_ex_powerplant_02_100,d_ex_powerplant_02,Narration,Locale_SuddenStory:d_ex_powerplant_02_100,False,,1,idle,,19,angry,,,,,S_190,S_190,1.0,,laplace,,energescatter,,,,,,
d_ex_powerplant_02_101,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_101,True,,1,idle,,19,think,,,,,S_190,S_1900,0.5,,laplace,laplace,,,,,,,
d_ex_powerplant_02_102,d_ex_powerplant_02,Narration,Locale_SuddenStory:d_ex_powerplant_02_102,False,,1,idle,,19,think,,,,,S_1900,S_190,0.5,,laplace,,sfx_scn_heavyboxclose,,,,,,Low_2
d_ex_powerplant_02_103,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_103,False,,1,idle,,19,angry,,,,,S_190,19,2.0,,laplace,laplace,,,,,,,
d_ex_powerplant_02_104,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_104,True,,1,idle,,19,idle,,,,,19,19,1.0,,laplace,laplace,,,,,,,
d_ex_powerplant_02_105,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_105,True,,1,idle,,19,idle,,,,,19,19,1.0,,laplace,laplace,,,,,,,
d_ex_powerplant_02_106,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_106,True,,1,idle,,19,idle,drake,9,no,Drain,9,9,1.0,,drake,drake,,Grey,,laplace,,black,
d_ex_powerplant_02_107,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_107,True,,1,idle,,,,,9,no,,9,9,1.0,,drake,drake,,Grey,,,,,
d_ex_powerplant_02_108,d_ex_powerplant_02,Narration,Locale_SuddenStory:d_ex_powerplant_02_108,False,,1,idle,,,,,9,no,,9,9,1.0,,drake,,energescatter,,,,,,
d_ex_powerplant_02_109,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_109,True,,1,idle,,,,,9,no,,9,90,0.5,,drake,drake,,,,,,,
d_ex_powerplant_02_110,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_110,True,,1,idle,,,,,9,angry,,90,900,0.5,,drake,drake,,,,,,,
d_ex_powerplant_02_111,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_111,False,,1,idle,,,,,9,no,,900,9,2.0,,drake,drake,,,,,,,
d_ex_powerplant_02_112,d_ex_powerplant_02,Speech,Locale_SuddenStory:d_ex_powerplant_02_112,True,,1,idle,,,,,9,no,,9,9,1.0,,drake,drake,,,,,,,
d_ex_powerplant_02_113,d_ex_powerplant_02,Monologue,Locale_SuddenStory:d_ex_powerplant_02_113,False,,1,idle,,,,,9,no,TechIndoor,1,1,1.0,,,,,,,,drake,black,
d_ex_powerplant_02_114,d_ex_powerplant_02,Monologue,Locale_SuddenStory:d_ex_powerplant_02_114,False,,1,idle,,,,,,,,1,1,1.0,,,,,,,,,,
