id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_18af_01_22,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_22,True,,S_100,S_100,1.0,,,,1,idle,,,13,angry,,3,idle,,15,angry
d_main_18af_01_23,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_23,True,,S_100,S_10,1.0,,,,1,angry,,,13,angry,,3,idle,,15,angry
d_main_18af_01_24,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_24,True,,S_10,S_10,1.0,,,,1,angry,,,13,angry,,3,idle,,15,angry
d_main_18af_01_25,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_25,True,,S_10,S_10,1.0,,,,1,angry,,,13,angry,,3,idle,,15,angry
d_main_18af_01_26,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_26,True,,L_130,L_130,1.0,,,,1,angry,,,13,angry,,3,idle,,15,angry
d_main_18af_01_27,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_27,True,,S_10,S_10,1.0,,,,1,delight,,,13,angry,,3,idle,,15,angry
d_main_18af_01_28,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_28,True,,S_10,S_10,1.0,,,,1,delight,,,13,angry,,3,idle,,15,angry
d_main_18af_01_29,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_29,True,,S_10,S_10,1.0,,,,1,delight,,,13,angry,,3,idle,,15,angry
d_main_18af_01_30,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_30,True,,S_10,S_10,1.0,,,,1,delight,,,13,angry,,3,idle,,15,angry
d_main_18af_01_31,d_main_18af_01,Speech,mustang,mustang,Locale_MainScenario:d_main_18af_01_31,True,,S_10,31,1.0,,,,1,idle,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_32,d_main_18af_01,Speech,mustang,mustang,Locale_MainScenario:d_main_18af_01_32,True,,31,31,1.0,,,,1,idle,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_33,d_main_18af_01,Speech,mustang,mustang,Locale_MainScenario:d_main_18af_01_33,True,,31,31,1.0,,,,1,idle,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_34,d_main_18af_01,Speech,mustang,mustang,Locale_MainScenario:d_main_18af_01_34,True,,31,31,1.0,,,,1,idle,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_35,d_main_18af_01,Speech,mustang,mustang,Locale_MainScenario:d_main_18af_01_35,True,,31,31,1.0,,,,1,idle,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_36,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_36,True,,31,31,1.0,,,,1,delight,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_37,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_37,True,,31,31,1.0,,,,1,delight,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_38,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_38,True,,31,S_10,0.5,,,,1,delight,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_39,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_39,True,,S_10,S_100,1.0,,,,1,delight,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_40,d_main_18af_01,Speech,syuen,syuen,Locale_MainScenario:d_main_18af_01_40,True,,S_100,S_100,1.0,,,,1,delight,,,13,angry,,3,surprise,,15,angry
d_main_18af_01_41,d_main_18af_01,Monologue,,,Locale_MainScenario:d_main_18af_01_41,False,,S_100,S_100,1.0,none,,,1,delight,syuen,,13,angry,,3,surprise,,15,angry
d_main_18af_01_42,d_main_18af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_18af_01_42,False,,L_150,L_150,1.0,,,,,,,,13,think,,3,surprise,,15,angry
d_main_18af_01_43,d_main_18af_01,Speech,mustang,mustang,Locale_MainScenario:d_main_18af_01_43,True,,L_30,L_30,1.0,,,,,,,,13,think,,3,angry,,15,angry
d_main_18af_01_44,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_44,False,,1315,1315,1.0,,,,,,,,13,think,,3,angry,,15,angry
d_main_18af_01_45,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_45,True,,1315,1315,1.0,,,,,,,,13,idle,,3,angry,,15,angry
d_main_18af_01_46,d_main_18af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_18af_01_46,True,,1315,1315,1.0,,,,,,,,13,idle,,3,angry,,15,idle
d_main_18af_01_47,d_main_18af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_18af_01_47,True,,1315,1315,1.0,,,,,,,,13,idle,,3,angry,,15,idle
