id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,fade,jump_target,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id
d_ex_elevator_02_15,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_15,True,,S_120,1,1.0,,maiden,,2,shy,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_16,d_ex_elevator_02,Choice,,Locale_SuddenStory:d_ex_elevator_02_16,False,,1,1,1.0,,,,2,shy,,12,surprise,,,,,d_ex_elevator_02_18,,,,,,,,,,,,,
d_ex_elevator_02_17,d_ex_elevator_02,Choice,,Locale_SuddenStory:d_ex_elevator_02_17,False,,1,1,,,,,2,shy,,12,surprise,,,,,d_ex_elevator_02_18,,,,,,,,,,,,,
d_ex_elevator_02_18,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_18,False,,1,1,1.0,,exia,,2,idle,,12,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_19,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_19,True,,1,1,1.0,,exia,,2,idle,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_20,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_20,True,,1,1,1.0,,maiden,,2,shy,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_21,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_21,True,,1,S_120,1.0,,exia,,2,shy,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_22,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_22,True,,S_120,S_120,1.0,,exia,,2,shy,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_23,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_23,True,,S_120,S_1200,1.0,,exia,,2,shy,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_24,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_24,True,,S_1200,S_1200,1.0,,exia,,2,shy,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_25,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_25,True,,S_1200,S_20,0.5,,maiden,,2,angry,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_26,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_26,True,,S_20,S_20,1.0,,maiden,,2,angry,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_27,d_ex_elevator_02,Choice,,Locale_SuddenStory:d_ex_elevator_02_27,False,,S_20,S_20,1.0,,,,2,angry,,12,surprise,,,,,d_ex_elevator_02_29,,,,,,,,,,,,,
d_ex_elevator_02_28,d_ex_elevator_02,Choice,,Locale_SuddenStory:d_ex_elevator_02_28,False,,S_20,S_20,1.0,,,,2,angry,,12,surprise,,,,,d_ex_elevator_02_32,,,,,,,,,,,,,
d_ex_elevator_02_29,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_29,False,,S_20,1,0.5,,exia,,2,shy,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_30,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_30,True,,1,1,1.0,,exia,,2,shy,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_31,d_ex_elevator_02,Monologue,,Locale_SuddenStory:d_ex_elevator_02_31,False,,black,black,1.0,,,,2,shy,,12,delight,,,,,d_ex_elevator_02_35,,,,,,,,,,,,,
d_ex_elevator_02_32,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_32,False,,S_20,1,0.5,,exia,,2,shy,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_33,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_33,True,,1,1,1.0,,exia,,2,shy,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_34,d_ex_elevator_02,Monologue,,Locale_SuddenStory:d_ex_elevator_02_34,False,,black,black,1.0,,,,2,shy,,12,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_35,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_35,False,,1,1,1.0,,exia,,2,idle,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_36,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_36,True,,1,1,1.0,,exia,,2,idle,,12,sad,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_37,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_37,True,,1,S_20,0.5,,maiden,,2,angry,,12,sad,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_38,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_38,True,,S_20,S_120,0.5,,exia,,2,angry,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_39,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_39,True,,S_120,S_20,0.5,,maiden,,2,angry,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_40,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_40,False,,S_20,S_120,2.0,,exia,,2,angry,,12,surprise,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_41,d_ex_elevator_02,Monologue,,Locale_SuddenStory:d_ex_elevator_02_41,False,,1,13,0.8,none,,,12,idle,,14,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_42,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_42,False,,13,13,1.0,,maiden,,12,idle,,14,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_43,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_43,True,,13,13,1.0,bgm_story_shopperholic,maiden,,12,delight,,14,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_44,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_44,True,,13,13,1.0,,exia,,12,delight,,14,good,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_45,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_45,True,,13,S_120,0.3,,maiden,,12,shy,,14,good,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_46,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_46,True,,S_120,S_120,1.0,,maiden,,12,shy,,14,good,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_47,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_47,True,,S_120,S_140,1.0,,exia,,12,shy,,14,good,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_48,d_ex_elevator_02,Self,Self,Locale_SuddenStory:d_ex_elevator_02_48,False,,S_140,S_140,1.0,,exia,,12,shy,,14,good,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_49,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_49,True,,S_140,13,1.0,,exia,,12,delight,,14,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_50,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_50,True,,13,13,1.0,,maiden,,12,idle,,14,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_51,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_51,True,,13,13,2.0,,maiden,,12,idle,,14,idle,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_52,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_52,True,,13,15,0.8,,exia,,14,idle,,16,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_53,d_ex_elevator_02,Self,Self,Locale_SuddenStory:d_ex_elevator_02_53,False,,15,15,1.0,,exia,,14,idle,,16,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_54,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_54,True,,15,15,1.0,,exia,,14,idle,,16,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_55,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_55,True,,15,15,1.0,,maiden,,14,angry,,16,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_56,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_56,True,,15,S_160,0.3,,exia,,14,angry,,16,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_57,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_57,True,,S_160,S_140,0.3,,maiden,,14,angry,,16,delight,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_58,d_ex_elevator_02,Narration,Narration,Locale_SuddenStory:d_ex_elevator_02_58,False,,black,black,1.0,none,,,14,angry,,16,delight,sfx_scn_autodooropen,,,,,,,,,,,,,,,,,
d_ex_elevator_02_59,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_59,True,Desert_02,15,L_150,1.0,,maiden,,14,shy,,16,sad,sfx_scn_heavytrip,maiden,exia,,,Low_2,,,,,,,,,,,,
d_ex_elevator_02_60,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_60,True,,L_150,L_150,1.0,,exia,,,,,,,sfx_scn_heavytrip,,,,,Low_2,,,,,,,,,,,,
d_ex_elevator_02_61,d_ex_elevator_02,Speech,rapi,Locale_SuddenStory:d_ex_elevator_02_61,False,,L_150,4,2.0,bgm_story_whosdumber,rapi,,,,,,,,,,,,,rapi,4,idle,anis,2,worry,neon,12,idle,,,
d_ex_elevator_02_62,d_ex_elevator_02,Speech,anis,Locale_SuddenStory:d_ex_elevator_02_62,False,,4,2,1.0,,anis,,,,,,,,,,,,,,4,idle,,2,worry,,12,idle,,,
d_ex_elevator_02_63,d_ex_elevator_02,Speech,neon,Locale_SuddenStory:d_ex_elevator_02_63,True,,2,S_120,1.0,,neon,,,,,,,,,,,,,,4,idle,,2,worry,,12,idle,,,
d_ex_elevator_02_64,d_ex_elevator_02,Speech,neon,Locale_SuddenStory:d_ex_elevator_02_64,True,,S_120,S_120,1.0,,neon,,,,,,,,,,,,,,4,idle,,2,worry,,12,idle,,,
d_ex_elevator_02_65,d_ex_elevator_02,Choice,,Locale_SuddenStory:d_ex_elevator_02_65,False,,S_120,S_120,1.0,,neon,,,,,,,,,,,d_ex_elevator_02_67,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_66,d_ex_elevator_02,Choice,,Locale_SuddenStory:d_ex_elevator_02_66,False,,S_120,S_120,1.0,,neon,,,,,,,,,,,d_ex_elevator_02_70,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_67,d_ex_elevator_02,Speech,neon,Locale_SuddenStory:d_ex_elevator_02_67,False,,S_120,S_120,1.0,,neon,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_68,d_ex_elevator_02,Speech,neon,Locale_SuddenStory:d_ex_elevator_02_68,True,,S_120,S_120,1.0,,neon,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_69,d_ex_elevator_02,Self,Self,Locale_SuddenStory:d_ex_elevator_02_69,False,,S_120,S_120,1.0,,neon,,,,,,,,,,,d_ex_elevator_02_73,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_70,d_ex_elevator_02,Speech,neon,Locale_SuddenStory:d_ex_elevator_02_70,True,,S_120,S_120,1.0,,neon,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_71,d_ex_elevator_02,Speech,neon,Locale_SuddenStory:d_ex_elevator_02_71,True,,S_120,S_120,1.0,,neon,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_72,d_ex_elevator_02,Self,Self,Locale_SuddenStory:d_ex_elevator_02_72,False,,S_120,S_120,1.0,,neon,,,,,,,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_73,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_73,True,,15,15,1.0,,maiden,maiden,14,shy,exia,16,sad,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_74,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_74,True,,15,15,1.0,,maiden,,14,shy,,16,sad,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_75,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_75,True,,15,15,1.0,,exia,,14,idle,,16,surprise,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_76,d_ex_elevator_02,Speech,anis,Locale_SuddenStory:d_ex_elevator_02_76,True,,2,2,1.0,,anis,,14,idle,,16,surprise,,,,,,,,4,idle,,2,worry,,12,idle,,,
d_ex_elevator_02_77,d_ex_elevator_02,Speech,anis,Locale_SuddenStory:d_ex_elevator_02_77,True,,2,2,1.0,,anis,,14,idle,,16,idle,,,,,,,,4,idle,,2,worry,,12,idle,,,
d_ex_elevator_02_78,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_78,True,,2,15,0.5,,exia,,14,idle,,16,delight,,,,,,,,4,idle,,2,worry,,12,idle,,,
d_ex_elevator_02_79,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_79,True,,15,15,1.0,,maiden,,14,angry,,16,delight,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_80,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_80,True,,15,S_140,1.0,,maiden,,14,angry,,16,delight,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_81,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_81,True,,S_140,S_140,1.0,,maiden,,14,angry,,16,delight,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_82,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_82,True,,S_140,S_140,1.0,,maiden,,14,angry,,16,delight,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_83,d_ex_elevator_02,Speech,exia,Locale_SuddenStory:d_ex_elevator_02_83,True,,S_140,S_160,0.5,,exia,,14,angry,,16,delight,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_84,d_ex_elevator_02,Speech,maiden,Locale_SuddenStory:d_ex_elevator_02_84,True,,S_160,S_140,0.5,,maiden,,14,angry,,16,delight,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_85,d_ex_elevator_02,Self,Self,Locale_SuddenStory:d_ex_elevator_02_85,False,,S_140,S_140,1.0,,,,14,angry,,16,delight,,,,,,,,4,idle,,2,idle,,12,idle,,,
d_ex_elevator_02_86,d_ex_elevator_02,Monologue,,Locale_SuddenStory:d_ex_elevator_02_86,False,Elevator,15,15,1.0,none,,,14,idle,,16,sad,,maiden,exia,black,,,,4,idle,,2,idle,,12,idle,rapi,anis,neon
d_ex_elevator_02_87,d_ex_elevator_02,Monologue,,Locale_SuddenStory:d_ex_elevator_02_87,False,,15,15,1.0,,,maiden,14,idle,exia,16,sad,,,,,,,,,,,,,,,,,,
d_ex_elevator_02_88,d_ex_elevator_02,Monologue,,Locale_SuddenStory:d_ex_elevator_02_88,False,,black,black,1.0,,,,14,idle,,16,sad,,,,,,,,,,,,,,,,,,
