id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,jump_target
d_ex_clothingstore_05_13,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_13,True,,31,31,1.0,,,1,idle,,,3,delight,,,
d_ex_clothingstore_05_14,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_14,True,,31,31,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_15,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_15,True,,31,XS_30,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_16,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_16,False,,XS_30,XS_30,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_17,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_17,True,,10,10,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_18,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_18,True,,10,10,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_19,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_19,False,,XS_30,XS_30,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_20,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_20,False,,31,31,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_21,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_21,False,,31,31,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_22,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_22,False,GoodOffice,15,1,1.0,,,1,idle,,,3,surprise,sakura,alice,
d_ex_clothingstore_05_23,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_23,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_05_24,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_24,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_05_25,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_25,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_05_26,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_26,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_05_27,d_ex_clothingstore_05,Choice,Choice,,Locale_SuddenStory:d_ex_clothingstore_05_27,False,,1,1,1.0,,,,,,,,,,,d_ex_clothingstore_05_29
d_ex_clothingstore_05_28,d_ex_clothingstore_05,Choice,Choice,,Locale_SuddenStory:d_ex_clothingstore_05_28,False,,1,1,1.0,,,,,,,,,,,d_ex_clothingstore_05_31
d_ex_clothingstore_05_29,d_ex_clothingstore_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_clothingstore_05_29,False,,1,1,1.0,sfx_scn_paperopen,,,,,,,,,,
d_ex_clothingstore_05_30,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_30,False,,1,1,1.0,,,,,,,,,,,d_ex_clothingstore_05_34
d_ex_clothingstore_05_31,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_31,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_05_32,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_32,False,,1,1,1.0,,,,,,,,,,,
d_ex_clothingstore_05_33,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_33,False,,1,1,1.0,,,,,,,,,,,d_ex_clothingstore_05_34
d_ex_clothingstore_05_34,d_ex_clothingstore_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_clothingstore_05_34,False,ClothingStore,15,31,1.0,,,,,none,,,,,,
d_ex_clothingstore_05_35,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_35,False,,31,31,1.0,,sakura,1,idle,,alice,3,surprise,,,
d_ex_clothingstore_05_36,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_36,False,,31,31,1.0,,,1,idle,,,3,surprise,,,
d_ex_clothingstore_05_37,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_37,True,,31,XS_300,0.5,,,1,idle,bgm_story_whosdumber,,3,special,,,
d_ex_clothingstore_05_38,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_38,True,,XS_300,100,2.0,,,1,angry,,,3,special,,,
d_ex_clothingstore_05_39,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_39,True,,100,100,1.0,,,1,angry,,,3,special,,,
d_ex_clothingstore_05_40,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_40,True,,100,100,1.0,,,1,angry,,,3,special,,,
d_ex_clothingstore_05_41,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_41,True,,100,100,1.0,,,1,angry,,,3,special,,,
d_ex_clothingstore_05_42,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_42,False,,100,1,1.0,,,1,idle,,,3,special,,,
d_ex_clothingstore_05_43,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_43,True,,1,1,1.0,,,1,idle,,,3,special,,,
d_ex_clothingstore_05_44,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_44,True,,1,1,1.0,,,1,idle,,,3,special,,,
d_ex_clothingstore_05_45,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_45,True,GoodOffice,7,1,3.0,,,1,idle,none,,3,special,,alice,
d_ex_clothingstore_05_46,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_46,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_47,d_ex_clothingstore_05,Choice,Choice,,Locale_SuddenStory:d_ex_clothingstore_05_47,False,,1,1,1.0,,,1,idle,,,,,,,d_ex_clothingstore_05_49
d_ex_clothingstore_05_48,d_ex_clothingstore_05,Choice,Choice,,Locale_SuddenStory:d_ex_clothingstore_05_48,False,,1,1,1.0,,,1,idle,,,,,,,d_ex_clothingstore_05_49
d_ex_clothingstore_05_49,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_49,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_50,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_50,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_51,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_51,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_52,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_52,False,,1,15,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_53,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_53,False,,15,15,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_54,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_54,False,,15,15,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_55,d_ex_clothingstore_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_clothingstore_05_55,False,,15,15,1.0,sfx_scn_paperopen,,1,idle,,,,,,,
d_ex_clothingstore_05_56,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_56,True,,15,15,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_57,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_57,False,,15,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_58,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_58,True,,1,10,2.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_59,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_59,True,,10,10,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_60,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_60,False,,10,100,2.0,,,1,idle,bgm_story_shapeofhope,,,,sakura,,
d_ex_clothingstore_05_61,d_ex_clothingstore_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_clothingstore_05_61,False,,100,100,1.0,sfx_scn_paperopen,,,,,,,,,,
d_ex_clothingstore_05_62,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_62,True,,100,100,1.0,,,,,,,,,,,
d_ex_clothingstore_05_63,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_63,True,,100,100,1.0,,,,,,,,,,,
d_ex_clothingstore_05_64,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_64,True,,100,100,1.0,,,,,,,,,,,
d_ex_clothingstore_05_65,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_65,False,,100,100,1.0,,sakura,1,idle,,,,,,,
d_ex_clothingstore_05_66,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_66,True,,100,100,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_67,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_67,True,,100,100,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_68,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_68,False,,100,100,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_69,d_ex_clothingstore_05,Choice,Choice,,Locale_SuddenStory:d_ex_clothingstore_05_69,False,,100,100,1.0,,,1,idle,,,,,,,d_ex_clothingstore_05_71
d_ex_clothingstore_05_70,d_ex_clothingstore_05,Choice,Choice,,Locale_SuddenStory:d_ex_clothingstore_05_70,False,,100,100,1.0,,,1,idle,,,,,,,d_ex_clothingstore_05_83
d_ex_clothingstore_05_71,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_71,True,,100,100,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_72,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_72,False,,100,1,2.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_73,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_73,False,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_74,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_74,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_75,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_75,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_76,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_76,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_77,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_77,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_78,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_78,False,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_79,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_79,False,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_80,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_80,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_81,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_81,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_82,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_82,False,,1,1,1.0,,,1,idle,,,,,,,d_ex_clothingstore_05_90
d_ex_clothingstore_05_83,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_83,False,,100,100,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_84,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_84,True,,100,1,2.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_85,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_85,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_86,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_86,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_87,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_87,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_88,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_88,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_89,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_89,False,,1,1,1.0,,,1,idle,,,,,,,d_ex_clothingstore_05_90
d_ex_clothingstore_05_90,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_90,False,,1,100,2.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_91,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_91,False,,100,100,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_92,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_92,True,,100,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_93,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_93,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_94,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_94,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_95,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_95,False,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_96,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_96,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_97,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_97,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_98,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_98,True,,1,1,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_99,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_99,False,,1,10,2.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_100,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_100,True,,10,10,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_101,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_101,True,,10,10,1.0,,,1,idle,,,,,,,
d_ex_clothingstore_05_102,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_102,True,ClothingStore,7,3,1.0,,,1,idle,bgm_story_girlstalk,alice,3,delight,sakura,,
d_ex_clothingstore_05_103,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_103,True,,3,3,1.0,,,,,,,3,delight,,,
d_ex_clothingstore_05_104,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_104,True,,3,3,1.0,,,,,,,3,surprise,,,
d_ex_clothingstore_05_105,d_ex_clothingstore_05,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_05_105,True,,3,1,1.0,,,,,,,3,surprise,,,
d_ex_clothingstore_05_106,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_106,True,,1,1,1.0,,sakura,1,shy,,,3,surprise,,,
d_ex_clothingstore_05_107,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_107,False,,1,1,1.0,,,1,shy,,,3,idle,,,
d_ex_clothingstore_05_108,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_108,True,,1,1,1.0,,,1,shy,,,3,idle,,,
d_ex_clothingstore_05_109,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_109,False,,1,10,2.0,,,1,shy,,,3,idle,,,
d_ex_clothingstore_05_110,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_110,False,,10,100,0.5,,,1,shy,,,3,idle,,,
d_ex_clothingstore_05_111,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_111,True,,100,10,2.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_112,d_ex_clothingstore_05,Self,Self,Self,Locale_SuddenStory:d_ex_clothingstore_05_112,False,,10,10,1.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_113,d_ex_clothingstore_05,Choice,Choice,,Locale_SuddenStory:d_ex_clothingstore_05_113,False,,10,10,1.0,,,1,idle,,,3,idle,,,d_ex_clothingstore_05_115
d_ex_clothingstore_05_114,d_ex_clothingstore_05,Choice,Choice,,Locale_SuddenStory:d_ex_clothingstore_05_114,False,,10,10,1.0,,,1,idle,,,3,idle,,,d_ex_clothingstore_05_115
d_ex_clothingstore_05_115,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_115,True,,10,100,0.5,,,1,shy,,,3,idle,,,
d_ex_clothingstore_05_116,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_116,True,,100,100,1.0,,,1,shy,,,3,idle,,,
d_ex_clothingstore_05_117,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_117,False,,100,100,1.0,,,1,shy,,,3,idle,,,
d_ex_clothingstore_05_118,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_118,True,,100,10,1.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_119,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_119,True,,10,10,1.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_120,d_ex_clothingstore_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_clothingstore_05_120,True,,10,1,1.0,,,1,idle,,,3,idle,,,
d_ex_clothingstore_05_121,d_ex_clothingstore_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_clothingstore_05_121,False,,1,1,1.0,sfx_scn_chimebell,,1,idle,,,3,idle,sakura,,
d_ex_clothingstore_05_122,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_122,False,,1,1,1.0,,,,,,,3,idle,,,
d_ex_clothingstore_05_123,d_ex_clothingstore_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_clothingstore_05_123,False,,1,1,1.0,,,,,,,3,idle,,,
