id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_29_03_s_11,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_11,True,,XS_50,XS_50,1.0,,,,,,,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_12,d_main_29_03_s,Narration,drilley,,Locale_MainScenario:d_main_29_03_s_12,False,,XS_50,XS_50,1.0,none,,sfx_scn_walldebris,,,,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_13,d_main_29_03_s,Narration,drilley,,Locale_MainScenario:d_main_29_03_s_13,False,,XS_50,XS_50,1.0,bgm_emergency,,,,,,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_14,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_14,False,,XS_50,5,0.6,,,,,,,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_15,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_15,True,,5,5,1.0,,,,,,,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_16,d_main_29_03_s,Narration,drilley,,Locale_MainScenario:d_main_29_03_s_16,False,,5,8,1.0,,Low_2,sfx_scn_raptureoperate,,,,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_17,d_main_29_03_s,Narration,drilley,,Locale_MainScenario:d_main_29_03_s_17,False,,8,8,1.0,,,,,,,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_18,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_18,True,,8,5,1.0,,,,,,,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_19,d_main_29_03_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_03_s_19,True,,5,5,1.0,,,,shifty,OP_leftup,angry,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_20,d_main_29_03_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_03_s_20,False,,5,5,1.0,,,,,OP_leftup,angry,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_21,d_main_29_03_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_03_s_21,True,,5,5,1.0,,,,,OP_leftup,angry,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_22,d_main_29_03_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_03_s_22,True,,5,5,1.0,,,,,OP_leftup,angry,,,5,angry,,1,angry,,13,void,,15,idle
d_main_29_03_s_23,d_main_29_03_s,Speech,neon,neon,Locale_MainScenario:d_main_29_03_s_23,True,,14,14,1.0,,,,,OP_leftup,angry,shifty,,5,angry,,1,angry,,13,void,,15,surprise
d_main_29_03_s_24,d_main_29_03_s,Speech,anis,anis,Locale_MainScenario:d_main_29_03_s_24,True,,14,14,1.0,,,,,,,,,5,angry,,1,angry,,13,angry,,15,surprise
d_main_29_03_s_25,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_25,True,,5,5,1.0,,,,,,,,,5,angry,,1,angry,,13,angry,,15,surprise
d_main_29_03_s_26,d_main_29_03_s,Narration,drilley,,Locale_MainScenario:d_main_29_03_s_26,False,,5,XS_50,0.6,,Low_2,sfx_scn_nearrunaway,,,,,,5,angry,,1,angry,,13,angry,,15,surprise
d_main_29_03_s_27,d_main_29_03_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_03_s_27,True,,XS_50,XS_50,1.0,,,,,,,,,5,angry,,1,angry,,13,angry,,15,surprise
d_main_29_03_s_28,d_main_29_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_03_s_28,True,,10,10,1.0,,,,,,,,,5,angry,,1,angry,,13,angry,,15,surprise
