id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target
d_ex_court_03_13,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_13,True,,113,S_10,0.5,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_14,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_14,True,,S_10,S_10,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_15,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_15,True,,S_10,S_10,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_16,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_16,True,,S_10,S_10,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_17,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_17,True,,S_10,113,1.0,,,yulha,yulha,,1,angry,,13,pain,
d_ex_court_03_18,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_18,True,,113,113,1.0,,,privaty,privaty,,1,angry,,13,pain,
d_ex_court_03_19,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_19,True,,113,113,1.0,,,yulha,yulha,,1,angry,,13,pain,
d_ex_court_03_20,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_20,True,,113,113,1.0,,,privaty,privaty,,1,surprise,,13,pain,
d_ex_court_03_21,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_21,True,,113,113,1.0,,,yulha,yulha,,1,surprise,,13,idle,
d_ex_court_03_22,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_22,True,,113,1,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_23,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_23,True,,1,1,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_24,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_24,True,,1,1,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_25,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_25,True,,1,S_10,0.5,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_26,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_26,True,,S_10,S_100,0.5,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_27,d_ex_court_03,Self,Locale_SuddenStory:d_ex_court_03_27,False,,S_100,S_100,1.0,,,,,,1,angry,,13,idle,
d_ex_court_03_28,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_28,True,,S_100,S_10,0.5,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_29,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_29,True,,S_10,S_10,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_30,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_30,True,,L_130,L_130,1.0,,,yulha,yulha,,1,angry,,13,idle,
d_ex_court_03_31,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_31,True,,S_10,S_10,1.0,,,privaty,privaty,,1,angry,,13,idle,
d_ex_court_03_32,d_ex_court_03,Narration,Locale_SuddenStory:d_ex_court_03_32,False,,S_10,L_130,1.0,,,,,,1,angry,,13,idle,
d_ex_court_03_33,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_33,True,,L_130,L_130,1.0,,,yulha,yulha,,1,angry,,13,pain,
d_ex_court_03_34,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_34,True,,L_130,113,1.0,,,privaty,privaty,,1,idle,,13,pain,
d_ex_court_03_35,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_35,True,,113,113,1.0,,,yulha,yulha,,1,idle,,13,pain,
d_ex_court_03_36,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_36,True,,113,113,1.0,,,privaty,privaty,,1,idle,,13,pain,
d_ex_court_03_37,d_ex_court_03,Narration,Locale_SuddenStory:d_ex_court_03_37,False,,113,113,1.0,,Low_2,,,,1,idle,,13,pain,
d_ex_court_03_38,d_ex_court_03,Narration,Locale_SuddenStory:d_ex_court_03_38,False,,113,113,1.0,,,,,,1,idle,,13,pain,
d_ex_court_03_39,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_39,True,,113,L_130,0.5,,,yulha,yulha,,1,idle,,13,angry,
d_ex_court_03_40,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_40,True,,L_130,L_130,1.0,,,yulha,yulha,,1,idle,,13,angry,
d_ex_court_03_41,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_41,True,,L_130,L_130,1.0,,,yulha,yulha,,1,idle,,13,angry,
d_ex_court_03_42,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_42,True,,L_130,L_130,1.0,,,yulha,yulha,,1,idle,,13,angry,
d_ex_court_03_43,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_43,True,,S_10,S_10,0.5,,,privaty,privaty,,1,surprise,,13,angry,
d_ex_court_03_44,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_44,True,,L_130,L_130,1.0,,,yulha,yulha,,1,surprise,,13,angry,
d_ex_court_03_45,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_45,True,,L_130,L_130,1.0,,,yulha,yulha,,1,surprise,,13,angry,
d_ex_court_03_46,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_46,True,,S_10,S_10,0.5,,,privaty,privaty,,1,surprise,,13,angry,
d_ex_court_03_47,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_47,True,,S_10,S_10,1.0,,,privaty,privaty,,1,surprise,,13,angry,
d_ex_court_03_48,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_48,True,,L_130,L_130,1.0,,,yulha,yulha,,1,surprise,,13,idle,
d_ex_court_03_49,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_49,True,,L_130,L_130,1.0,,,yulha,yulha,,1,surprise,,13,idle,
d_ex_court_03_50,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_50,True,,S_10,S_10,0.5,,,privaty,privaty,,1,surprise,,13,idle,
d_ex_court_03_51,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_51,True,,L_130,L_130,1.0,,,yulha,yulha,,1,surprise,,13,idle,
d_ex_court_03_52,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_52,True,,S_10,S_10,1.0,,,privaty,privaty,,1,surprise,,13,idle,
d_ex_court_03_53,d_ex_court_03,Choice,Locale_SuddenStory:d_ex_court_03_53,False,,S_10,S_10,1.0,,,,,,1,surprise,,13,idle,d_ex_court_03_55
d_ex_court_03_54,d_ex_court_03,Choice,Locale_SuddenStory:d_ex_court_03_54,False,,S_10,S_10,1.0,,,,,,1,surprise,,13,idle,d_ex_court_03_56
d_ex_court_03_55,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_55,True,,S_10,S_100,1.0,,,privaty,privaty,,1,surprise,,13,idle,d_ex_court_03_56
d_ex_court_03_56,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_56,True,,S_100,113,1.0,,,yulha,yulha,,1,surprise,,13,idle,
d_ex_court_03_57,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_57,True,,113,113,1.0,,,privaty,privaty,,1,surprise,,13,idle,
d_ex_court_03_58,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_58,True,,113,113,1.0,,,yulha,yulha,,1,surprise,,13,angry,
d_ex_court_03_59,d_ex_court_03,Speech,Locale_SuddenStory:d_ex_court_03_59,True,,113,113,1.0,,,yulha,yulha,,1,surprise,,13,angry,
d_ex_court_03_60,d_ex_court_03,Monologue,Locale_SuddenStory:d_ex_court_03_60,False,,black,black,1.0,,,,,,1,surprise,,13,angry,
