id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/1/hide_char_id,fade
d_ex_observationpost_08_39,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_39,True,,1,idle,,3,shy,,2,2,1.0,,signal,signal,,,
d_ex_observationpost_08_40,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_40,True,,1,idle,,3,shy,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_41,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_41,True,,1,idle,,3,shy,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_42,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_42,True,,1,idle,,3,shy,,2,2,1.0,,signal,signal,,,
d_ex_observationpost_08_43,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_43,False,,1,idle,,3,shy,,2,2,1.0,,signal,,,,
d_ex_observationpost_08_44,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_44,True,,1,idle,,3,idle,,2,2,1.0,,signal,signal,,,
d_ex_observationpost_08_45,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_45,False,,1,idle,,3,idle,,black,black,1.0,,signal,,,,
d_ex_observationpost_08_46,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_46,False,,1,idle,,3,idle,,black,black,1.0,,signal,,,,
d_ex_observationpost_08_47,d_ex_observationpost_08,Narration,Locale_SuddenStory:d_ex_observationpost_08_47,False,,1,idle,,3,idle,,black,black,1.0,none,signal,,,,black
d_ex_observationpost_08_48,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_48,True,,1,idle,,3,idle,,XS_30,XS_30,1.0,bgm_story_leisuretime,signal,signal,,,
d_ex_observationpost_08_49,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_49,False,,1,idle,,3,idle,,XS_30,XS_30,1.0,,signal,,,,
d_ex_observationpost_08_50,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_50,True,,1,idle,,3,idle,,XS_30,2,1.0,,signal,signal,,,
d_ex_observationpost_08_51,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_51,False,,1,idle,,3,idle,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_52,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_52,True,,1,void,,3,idle,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_53,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_53,True,,1,void,,3,idle,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_54,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_54,True,,1,void,,3,idle,,2,2,1.0,,signal,signal,,,
d_ex_observationpost_08_55,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_55,True,,1,void,,3,idle,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_56,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_56,True,,1,void,,3,idle,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_57,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_57,True,,1,smile,,3,idle,,2,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_58,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_58,True,,1,smile,,3,sad,,10,XS_30,1.0,,signal,signal,,,
d_ex_observationpost_08_59,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_59,True,,1,smile,,3,sad,,XS_30,XS_30,1.0,,signal,signal,,,
d_ex_observationpost_08_60,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_60,True,,1,special,,3,idle,,XS_30,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_61,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_61,False,,1,special,,3,idle,,2,2,1.0,,d_w,,,,
d_ex_observationpost_08_62,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_62,False,,1,special,,3,idle,,2,2,1.0,,d_w,,,,
d_ex_observationpost_08_63,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_63,False,,1,special,,3,idle,,2,2,1.0,,d_w,,,,
d_ex_observationpost_08_64,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_64,True,,1,special,,3,idle,,2,2,1.0,,signal,signal,,,
d_ex_observationpost_08_65,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_65,True,,1,special,,3,idle,,2,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_66,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_66,True,,1,special,,3,idle,,2,XS_30,1.0,,signal,signal,,,
d_ex_observationpost_08_67,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_67,True,,1,special,,3,shy,,XS_30,XS_30,1.0,,signal,signal,,,
d_ex_observationpost_08_68,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_68,False,,1,special,,3,shy,,XS_30,XS_30,1.0,,signal,,,,
d_ex_observationpost_08_69,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_69,True,,1,idle,,3,idle,,XS_30,XS_30,1.0,,signal,signal,,,
d_ex_observationpost_08_70,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_70,True,,1,idle,,3,idle,,XS_30,2,1.0,,d_w,d_w,,,
d_ex_observationpost_08_71,d_ex_observationpost_08,Monologue,Locale_SuddenStory:d_ex_observationpost_08_71,False,,1,idle,,3,idle,OutpostOut,black,black,1.0,none,d_w,,,signal,
d_ex_observationpost_08_72,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_72,True,,1,void,,,,,10,10,1.0,bgm_story_orangepop,d_w,d_w,,,black
d_ex_observationpost_08_73,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_73,True,,1,void,,,,,10,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_74,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_74,False,,1,void,,,,,10,10,1.0,,d_w,,,,
d_ex_observationpost_08_75,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_75,False,,1,void,,,,,10,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_76,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_76,True,,1,void,,,,,10,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_77,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_77,True,,1,void,,,,,10,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_78,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_78,True,,1,void,,,,,10,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_79,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_79,True,,1,void,,,,,10,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_80,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_80,True,,1,void,,,,,10,10,1.0,,d_w,d_w,,,
d_ex_observationpost_08_81,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_81,False,,1,void,,,,,10,10,1.0,,d_w,,,,
d_ex_observationpost_08_82,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_82,True,,1,think,,,,,10,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_83,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_83,True,,1,think,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_84,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_84,False,,1,think,,,,,100,100,1.0,,d_w,,,,
d_ex_observationpost_08_85,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_85,False,,1,think,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_86,d_ex_observationpost_08,Speech,Locale_SuddenStory:d_ex_observationpost_08_86,True,,1,think,,,,,100,100,1.0,,d_w,d_w,,,
d_ex_observationpost_08_87,d_ex_observationpost_08,Self,Locale_SuddenStory:d_ex_observationpost_08_87,False,,1,think,,,,,100,100,1.0,,d_w,,,,
d_ex_observationpost_08_88,d_ex_observationpost_08,Narration,Locale_SuddenStory:d_ex_observationpost_08_88,False,,1,void,,,,,100,100,1.0,,d_w,,,,
