id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/1/play_effect_id,effects/1/set_effect_position,play_sound,set_camera_shake,characters/0/hide_char_id,effects/0/stop_effect_id,effects/1/stop_effect_id
d_main_01_01_s_11,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_11,False,,marian_event_01_03,marian_event_01_02,0.2,,Blur_Middle,Grey,,event,idle,,,,,,,,,
d_main_01_01_s_12,d_main_01_01_s,Narration,marian,marian,Locale_MainScenario:d_main_01_01_s_12,False,,marian_event_01_02,marian_event_01_02,1.0,,Blur_Middle,,,event,idle,,,,,sfx_scn_aedshock,Low_1,,,
d_main_01_01_s_13,d_main_01_01_s,Self,marian,marian,Locale_MainScenario:d_main_01_01_s_13,False,,marian_event_01_02,marian_event_01_02,1.0,,Blur_Low,,,event,idle,,,,,,,,,
d_main_01_01_s_14,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_14,False,,marian_event_01_02,marian_event_01_02,1.0,,Blur_Low,,,event,idle,,,,,,,,,
d_main_01_01_s_15,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_15,False,,marian_event_01_02,marian_event_01_02,1.0,,Blur_Low,,,event,idle,,,,,,,,,
d_main_01_01_s_16,d_main_01_01_s,Self,marian,marian,Locale_MainScenario:d_main_01_01_s_16,False,,marian_event_01_02,marian_event_01_02,1.0,,Blur_Low,,,event,idle,,,,,,,,,
d_main_01_01_s_17,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_17,False,,marian_event_01_02,marian_event_01_03,1.0,,Blur_Low,,,event,idle,,,,,,,,,
d_main_01_01_s_18,d_main_01_01_s,Self,marian,marian,Locale_MainScenario:d_main_01_01_s_18,False,,marian_event_01_03,marian_event_01_03,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_19,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_19,False,,marian_event_01_03,marian_event_01_03,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_20,d_main_01_01_s,Self,marian,marian,Locale_MainScenario:d_main_01_01_s_20,False,,marian_event_01_03,marian_event_01_03,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_21,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_21,False,,marian_event_01_03,marian_event_01_03,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_22,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_22,False,,marian_event_01_03,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_23,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_23,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_24,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_24,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_25,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_25,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_26,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_26,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_27,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_27,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_28,d_main_01_01_s,Self,marian,marian,Locale_MainScenario:d_main_01_01_s_28,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_29,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_29,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_30,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_30,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_31,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_31,False,,marian_event_01_04,marian_event_01_04,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_32,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_32,False,,marian_event_01_04,marian_event_01_05,2.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_33,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_33,False,,marian_event_01_05,marian_event_01_05,1.0,,,,,event,idle,,,,,,,,,
d_main_01_01_s_34,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_34,True,CityForest_03,10,10,1.0,,,,marian,1,angry,,,,,,,marian_event_01,fx_vn_fire_ptc_01,fx_vn_spark
d_main_01_01_s_35,d_main_01_01_s,Speech,marian,marian,Locale_MainScenario:d_main_01_01_s_35,True,,10,100,0.5,,,,,1,angry,,,,,,,,,
