id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id
d_ex_observationpost_03_51,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_51,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_52,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_52,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_53,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_53,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_54,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_54,False,,1,1,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_55,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_55,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_56,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_56,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_57,d_ex_observationpost_03,Speech,Locale_SuddenStory:d_ex_observationpost_03_57,True,,1,1,1.0,,,snowwhite,snowwhite,,1,idle,,
d_ex_observationpost_03_58,d_ex_observationpost_03,Self,Locale_SuddenStory:d_ex_observationpost_03_58,False,,1,1,1.0,,,snowwhite,,,1,idle,,
d_ex_observationpost_03_59,d_ex_observationpost_03,Narration,Locale_SuddenStory:d_ex_observationpost_03_59,False,,1,1,1.0,,,,,,1,idle,,snowwhite
d_ex_observationpost_03_60,d_ex_observationpost_03,Monologue,Locale_SuddenStory:d_ex_observationpost_03_60,False,,1,1,1.0,,,,,,,,,
d_ex_observationpost_03_61,d_ex_observationpost_03,Monologue,Locale_SuddenStory:d_ex_observationpost_03_61,False,none,1,1,1.0,,,,,,,,,
