id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_shopping_08_19,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_19,True,,2,idle,,200,20,1.0,,clay,clay,,,,,,
d_ex_shopping_08_20,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_20,True,,2,idle,,20,20,1.0,,clay,clay,,,,,,
d_ex_shopping_08_21,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_21,False,,2,idle,,20,20,1.0,,clay,,,,,,,
d_ex_shopping_08_22,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_22,False,,2,idle,,20,20,1.0,,clay,,,,,,,
d_ex_shopping_08_23,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_23,True,,2,idle,,20,200,1.0,,clay,clay,,,,,,
d_ex_shopping_08_24,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_24,True,,2,idle,,200,200,1.0,,clay,clay,,,,,,
d_ex_shopping_08_25,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_25,False,,2,idle,,200,200,1.0,,clay,,,,,,,
d_ex_shopping_08_26,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_26,True,,2,idle,,200,200,1.0,,clay,clay,,,,,,
d_ex_shopping_08_27,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_27,True,,2,idle,,200,200,1.0,,clay,clay,,,,,,
d_ex_shopping_08_28,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_28,False,,2,idle,,200,200,1.0,,clay,,,,,,,
d_ex_shopping_08_29,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_29,True,,2,idle,,200,200,1.0,,clay,clay,,,,,,
d_ex_shopping_08_30,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_30,True,,2,idle,,200,200,1.0,,clay,clay,,,,,,
d_ex_shopping_08_31,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_31,True,,2,delight,,200,200,1.0,,clay,clay,,,,,,
d_ex_shopping_08_32,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_32,False,,2,delight,,200,200,1.0,,clay,,,,,,,
d_ex_shopping_08_33,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_33,True,,2,delight,,200,20,1.0,,clay,clay,,,,,,
d_ex_shopping_08_34,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_34,False,,2,delight,,20,20,1.0,,clay,,,,,,,
d_ex_shopping_08_35,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_35,False,,2,delight,,black,black,1.0,,clay,,,clay,yan,12,idle,
d_ex_shopping_08_36,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_36,True,,,,,12,12,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_37,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_37,True,,,,,12,12,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_38,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_38,False,,,,,12,12,1.0,,yan,,,,,12,idle,
d_ex_shopping_08_39,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_39,False,,,,,12,12,1.0,,yan,,,,,12,idle,
d_ex_shopping_08_40,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_40,True,,,,,12,12,1.0,,yan,yan,,,,12,no,
d_ex_shopping_08_41,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_41,False,,,,,12,4,1.0,,yan,,,,,12,no,
d_ex_shopping_08_42,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_42,True,,,,,4,12,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_43,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_43,False,,,,,12,12,1.0,,yan,,,,,12,idle,
d_ex_shopping_08_44,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_44,True,,,,,12,12,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_45,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_45,True,,,,,12,S_120,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_46,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_46,False,,,,,S_120,S_120,1.0,,yan,,,,,12,idle,
d_ex_shopping_08_47,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_47,True,,,,,S_120,S_120,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_48,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_48,True,,,,,S_120,S_120,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_49,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_49,True,,,,,S_120,S_120,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_50,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_50,True,,,,,S_120,S_120,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_51,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_51,False,,,,,S_120,S_120,1.0,,yan,,,,,12,idle,
d_ex_shopping_08_52,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_52,True,,,,,S_120,S_1200,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_53,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_53,True,,,,,S_1200,S_1200,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_54,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_54,True,,,,,S_1200,S_1200,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_55,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_55,True,,,,,S_1200,S_1200,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_56,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_56,True,,,,,S_1200,S_1200,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_57,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_57,False,,,,,S_1200,S_1200,1.0,,yan,,,,,12,idle,
d_ex_shopping_08_58,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_58,True,,,,,S_1200,S_1200,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_59,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_59,True,,,,,S_1200,S_1200,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_60,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_60,True,,,,,S_1200,S_1200,1.0,,yan,yan,,,,12,idle,
d_ex_shopping_08_61,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_61,False,,,,,S_1200,S_1200,1.0,,yan,,,,,12,idle,
d_ex_shopping_08_62,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_62,False,,,,,S_1200,S_1200,1.0,,yan,,,,,12,idle,
d_ex_shopping_08_63,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_63,True,,,,,S_1200,S_120,1.0,,yan,yan,,,,12,delight,
d_ex_shopping_08_64,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_64,True,,,,,S_120,S_120,1.0,,yan,yan,,,,12,delight,
d_ex_shopping_08_65,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_65,False,clay,2,idle,,black,black,1.0,,yan,,,,,12,delight,yan
d_ex_shopping_08_66,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_66,True,,2,surprise,,2,2,1.0,,clay,clay,,,,,,
d_ex_shopping_08_67,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_67,False,,2,surprise,,2,2,1.0,,clay,,,,,,,
d_ex_shopping_08_68,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_68,True,,2,delight,,2,2,1.0,,clay,clay,,,,,,
d_ex_shopping_08_69,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_69,True,,2,delight,,2,2,1.0,,clay,clay,,,,,,
d_ex_shopping_08_70,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_70,False,,2,delight,,2,2,1.0,,clay,,,,,,,
d_ex_shopping_08_71,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_71,True,,2,delight,,2,20,1.0,,clay,clay,,,,,,
d_ex_shopping_08_72,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_72,False,,2,delight,,20,20,1.0,,clay,,,,,,,
d_ex_shopping_08_73,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_73,True,,2,delight,,20,200,1.0,,clay,clay,sfx_scn_pompom3,,,,,
d_ex_shopping_08_74,d_ex_shopping_08,Self,Locale_SuddenStory:d_ex_shopping_08_74,False,,2,delight,,200,200,1.0,,clay,,,,,,,
d_ex_shopping_08_75,d_ex_shopping_08,Speech,Locale_SuddenStory:d_ex_shopping_08_75,False,,2,delight,,200,200,1.0,,clay,speaker,,,,,,
d_ex_shopping_08_76,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_76,False,,2,delight,,200,200,1.0,,clay,,,,,,,
d_ex_shopping_08_77,d_ex_shopping_08,Monologue,Locale_SuddenStory:d_ex_shopping_08_77,False,,2,delight,,200,200,1.0,,clay,,,,,,,
