id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_camera_shake
d_main_21_08_s_19,d_main_21_08_s,Speech,anis,anis,Locale_MainScenario:d_main_21_08_s_19,True,,5,worry,,3,idle,,1,idle,,OP_leftup,idle,EventScene_Chap_21_02_01,1,53,1.0,,,anis,rapi,johan,cecil_op_l,
d_main_21_08_s_20,d_main_21_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_08_s_20,True,,,,,,,,,,,,,,53,53,1.0,,,,,,,
d_main_21_08_s_21,d_main_21_08_s,Speech,anis,anis,Locale_MainScenario:d_main_21_08_s_21,True,,,,,,,,,,,,,,53,53,1.0,,,,,,,
d_main_21_08_s_22,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_22,True,,,,,,,,,,,,,,53,53,1.0,bgm_disaster,,,,,,
d_main_21_08_s_23,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_23,False,,,,,,,,,,,,,,53,53,1.0,,,,,,,
d_main_21_08_s_24,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_24,False,,,,,,,,,,,,,,53,53,1.0,,,,,,,
d_main_21_08_s_25,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_25,False,,,,,,,,,,,,,,53,53,1.0,,sfx_scn_flare,,,,,Low_2
d_main_21_08_s_26,d_main_21_08_s,Self,,Self,Locale_MainScenario:d_main_21_08_s_26,False,,,,,,,,,,,,,,53,53,1.0,,,,,,,
d_main_21_08_s_27,d_main_21_08_s,Speech,anis,anis,Locale_MainScenario:d_main_21_08_s_27,False,,,,,,,,,,,,,,53,53,1.0,,,,,,,
d_main_21_08_s_28,d_main_21_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_08_s_28,False,,,,,,,,,,,,,,53,53,1.0,,,,,,,
d_main_21_08_s_29,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_29,False,,,,,,,,,,,,,,53,mother_01,0.5,,sfx_scn_anchorwhizby,,,,,Low_2
d_main_21_08_s_30,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_30,False,,,,,,,,,,,,,EventScene_Chap_21_02_02,mother_01,1,1.0,,sfx_scn_anchorhit,,,,,Low_1
d_main_21_08_s_31,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_31,True,,,,,,,,,,,,,EventScene_Chap_21_02,1,1,1.0,,,,,,,
d_main_21_08_s_32,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_32,False,,,,,,,,,,,,,,1,mother_02,0.5,,sfx_scn_anchorwhizby,,,,,Low_2
d_main_21_08_s_33,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_33,False,,,,,,,,,,,,,EventScene_Chap_21_02_03,mother_02,1,1.0,,sfx_scn_anchorhit,,,,,Low_1
d_main_21_08_s_34,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_34,True,,,,,,,,,,,,,EventScene_Chap_21_03,1,1,1.0,,,,,,,
d_main_21_08_s_35,d_main_21_08_s,Speech,anis,anis,Locale_MainScenario:d_main_21_08_s_35,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_21_08_s_36,d_main_21_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_08_s_36,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_21_08_s_37,d_main_21_08_s,Speech,anis,anis,Locale_MainScenario:d_main_21_08_s_37,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_21_08_s_38,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_38,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_21_08_s_39,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_39,False,,,,,,,,,,,,,,1,mother_03,0.5,,sfx_scn_anchorwhizby,,,,,Low_2
d_main_21_08_s_40,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_40,False,,,,,,,,,,,,,EventScene_Chap_21_02_04,mother_03,1,1.0,,sfx_scn_anchorhit,,,,,Low_1
d_main_21_08_s_41,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_41,True,,,,,,,,,,,,,EventScene_Chap_21_05,1,1,1.0,,,,,,,
d_main_21_08_s_42,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_42,True,,,,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_21_08_s_43,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_43,False,,,,,,,,,,,,,,1,1,3.0,,sfx_scn_largewinchpull,,,,,Low_2
d_main_21_08_s_44,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_44,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_21_08_s_45,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_45,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_21_08_s_46,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_46,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,
d_main_21_08_s_47,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_47,False,,,,,,,,,,,,,,1,1,1.0,,sfx_scn_rapturehowlhuge,,,,,
d_main_21_08_s_48,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_48,True,anis,5,void,rapi,3,idle,johan,1,idle,cecil_op_l,OP_leftup,idle,Desert_02,53,53,1.0,,,,,,,
d_main_21_08_s_49,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_49,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,53,53,1.0,,,,,,,
d_main_21_08_s_50,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_50,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,53,53,1.0,,,,,,,
d_main_21_08_s_51,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_51,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,53,53,1.0,,sfx_scn_machinestoplarge,,,,,Low_2
d_main_21_08_s_52,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_52,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,53,53,1.0,,,,,,,
d_main_21_08_s_53,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_53,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,53,53,1.0,,,,,,,
d_main_21_08_s_54,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_54,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,53,53,1.0,,,,,,,
d_main_21_08_s_55,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_55,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,53,1,1.0,,,,,,,
d_main_21_08_s_56,d_main_21_08_s,Self,,Self,Locale_MainScenario:d_main_21_08_s_56,False,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,,,,,,
d_main_21_08_s_57,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_57,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,,,,,,
d_main_21_08_s_58,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_58,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,1,1.0,,,,,,,
d_main_21_08_s_59,d_main_21_08_s,Speech,johan,johan,Locale_MainScenario:d_main_21_08_s_59,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,1,L_10,1.0,,,,,,,
d_main_21_08_s_60,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_60,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,,L_10,L_10,1.0,,,,,,,
d_main_21_08_s_61,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_61,True,,5,void,,3,idle,,1,idle,,OP_leftup,idle,EventScene_Chap_21_06,1,mother_05,3.0,,,anis,rapi,johan,cecil_op_l,
d_main_21_08_s_62,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_62,True,,,,,,,,,,,,,,mother_05,mother_05,1.0,,,,,,,
d_main_21_08_s_63,d_main_21_08_s,Speech,anis,anis,Locale_MainScenario:d_main_21_08_s_63,True,,,,,,,,,,,,,,mother_05,mother_05,1.0,,,,,,,
d_main_21_08_s_64,d_main_21_08_s,Speech,rapi,rapi,Locale_MainScenario:d_main_21_08_s_64,True,,,,,,,,,,,,,,mother_05,mother_05,1.0,,,,,,,
d_main_21_08_s_65,d_main_21_08_s,Speech,anis,anis,Locale_MainScenario:d_main_21_08_s_65,True,,,,,,,,,,,,,,mother_05,mother_05,1.0,,,,,,,
d_main_21_08_s_66,d_main_21_08_s,Speech,johan,johan,Locale_MainScenario:d_main_21_08_s_66,True,,,,,,,,,,,,,,mother_05,mother_05,1.0,,,,,,,
d_main_21_08_s_67,d_main_21_08_s,Narration,,Narration,Locale_MainScenario:d_main_21_08_s_67,False,,,,,,,,,,,,,,mother_05,mother_05,1.0,,sfx_scn_rapturelandingmany,,,,,Low_1
d_main_21_08_s_68,d_main_21_08_s,Monologue,,Monologue,Locale_MainScenario:d_main_21_08_s_68,False,,,,,,,,,,,,,,mother_05,mother_05,1.0,,,,,,,
d_main_21_08_s_69,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_69,True,,,,,,,,,,,,,,mother_05,mother_05,1.0,,,,,,,
d_main_21_08_s_70,d_main_21_08_s,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_21_08_s_70,True,,,,,,,,,,,,,,mother_05,mother_05,1.0,,,,,,,
