id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,fade
d_main_06_03_33,d_main_06_03,Speech,anis,anis,Locale_MainScenario:d_main_06_03_33,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,130,150,1.0,,,,,,,,
d_main_06_03_34,d_main_06_03,Speech,rapi,rapi,Locale_MainScenario:d_main_06_03_34,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,150,130,1.0,,,,,,,,
d_main_06_03_35,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_35,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,130,10,1.0,,,,,,,,
d_main_06_03_36,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_36,True,,3,idle,,1,idle,,13,idle,,15,void,,17,idle,,10,10,1.0,,,,,,,,
d_main_06_03_37,d_main_06_03,Speech,anis,anis,Locale_MainScenario:d_main_06_03_37,True,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,10,150,1.0,,,,,,,,
d_main_06_03_38,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_38,True,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,,S_30,S_300,0.5,,,,,,,,
d_main_06_03_39,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_39,True,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,,,,,
d_main_06_03_40,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_40,True,,3,surprise,,1,idle,,13,idle,,15,idle,,17,idle,,S_30,S_300,1.0,,,,,,,,
d_main_06_03_41,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_41,True,,3,surprise,,1,think,,13,idle,,15,idle,,17,idle,,S_300,31,1.0,,,,,,,,
d_main_06_03_42,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_42,True,,3,surprise,,1,think,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,,
d_main_06_03_43,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_43,True,,3,surprise,,1,think,,13,idle,,15,idle,,17,idle,,31,31,1.0,,,,,,,,
d_main_06_03_44,d_main_06_03,Speech,anis,anis,Locale_MainScenario:d_main_06_03_44,True,,3,surprise,,1,think,,13,idle,,15,void,,17,idle,,150,150,1.0,,,,,,,,
d_main_06_03_45,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_45,False,,3,surprise,,1,think,,13,idle,,15,void,,17,idle,,10,10,1.0,,,,,,,,
d_main_06_03_46,d_main_06_03,Speech,alice,alice,Locale_MainScenario:d_main_06_03_46,True,,3,surprise,,1,think,,13,idle,,15,void,,17,idle,,10,31,1.0,,,,,,,,
d_main_06_03_47,d_main_06_03,Speech,ludmilla,ludmilla,Locale_MainScenario:d_main_06_03_47,True,,3,surprise,,1,think,,13,idle,,15,void,,17,idle,,31,31,1.0,,,,,,,,
