id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_ex_hotel_11_27,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_27,True,,S_100,S_10,1.0,,,,,1,surprise,
d_ex_hotel_11_28,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_28,True,,S_10,S_10,1.0,,,,,1,surprise,
d_ex_hotel_11_29,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_29,False,,S_10,S_10,1.0,,,,,1,surprise,
d_ex_hotel_11_30,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_30,True,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_31,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_31,False,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_32,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_32,True,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_33,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_33,True,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_34,d_ex_hotel_11,Narration,bready,,Locale_SuddenStory:d_ex_hotel_11_34,False,,S_10,1,1.0,,sfx_scn_autodooropen,,,1,idle,
d_ex_hotel_11_35,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_35,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_36,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_36,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_37,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_37,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_38,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_38,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_39,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_39,False,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_40,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_40,True,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_41,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_41,True,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_42,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_42,True,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_43,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_43,False,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_44,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_44,True,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_45,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_45,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_46,d_ex_hotel_11,Narration,bready,,Locale_SuddenStory:d_ex_hotel_11_46,False,,1,S_10,1.0,,sfx_scn_servingcart,,,1,idle,
d_ex_hotel_11_47,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_47,True,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_48,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_48,True,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_49,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_49,True,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_50,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_50,True,,S_10,S_10,1.0,,,,,1,delight,
d_ex_hotel_11_51,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_51,True,,S_10,S_10,1.0,,,,,1,shy,
d_ex_hotel_11_52,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_52,True,,S_10,S_100,1.0,,,,,1,shy,
d_ex_hotel_11_53,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_53,True,,S_100,S_100,1.0,,,,,1,shy,
d_ex_hotel_11_54,d_ex_hotel_11,Narration,bready,,Locale_SuddenStory:d_ex_hotel_11_54,False,,S_100,S_100,1.0,,sfx_scn_knock,,,1,shy,
d_ex_hotel_11_55,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_55,False,,S_100,S_10,1.0,,,,,1,surprise,
d_ex_hotel_11_56,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_56,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_57,d_ex_hotel_11,Narration,bready,,Locale_SuddenStory:d_ex_hotel_11_57,False,,S_10,1,1.0,,sfx_scn_autodooropen,,,1,no,
d_ex_hotel_11_58,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_58,True,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_59,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_59,True,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_60,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_60,True,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_61,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_61,True,,1,1,1.0,,,,,1,no,
d_ex_hotel_11_62,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_62,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_63,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_63,False,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_64,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_64,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_65,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_65,True,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_66,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_66,False,,1,1,1.0,,,,,1,idle,
d_ex_hotel_11_67,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_67,True,,1,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_68,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_68,True,,S_10,S_10,1.0,,,,,1,special,
d_ex_hotel_11_69,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_69,False,,S_10,S_10,1.0,,,,,1,special,
d_ex_hotel_11_70,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_70,False,,S_10,S_10,1.0,,,,,1,special,
d_ex_hotel_11_71,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_71,False,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_72,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_72,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_73,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_73,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_74,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_74,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_75,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_75,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_76,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_76,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_77,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_77,False,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_78,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_78,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_79,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_79,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_80,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_80,True,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_81,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_81,False,,S_10,S_10,1.0,,,,,1,no,
d_ex_hotel_11_82,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_82,True,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_83,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_83,True,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_84,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_84,False,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_85,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_85,True,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_86,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_86,True,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_87,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_87,False,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_88,d_ex_hotel_11,Speech,bready,bready,Locale_SuddenStory:d_ex_hotel_11_88,True,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_89,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_89,False,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_90,d_ex_hotel_11,Self,bready,,Locale_SuddenStory:d_ex_hotel_11_90,False,,S_10,S_10,1.0,,,,,1,idle,
d_ex_hotel_11_91,d_ex_hotel_11,Monologue,bready,,Locale_SuddenStory:d_ex_hotel_11_91,False,,black,black,1.0,,,,,1,idle,
d_ex_hotel_11_92,d_ex_hotel_11,Monologue,bready,,Locale_SuddenStory:d_ex_hotel_11_92,False,,black,black,1.0,,,,,1,idle,
