id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_observationpost_07_68,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_68,True,,1,delight,,13,idle,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_69,d_ex_observationpost_07,Speech,exia,exia,Locale_SuddenStory:d_ex_observationpost_07_69,True,,5,delight,,13,idle,,12,12,1.0,,sfx_scn_stepdust,,,exia,,,
d_ex_observationpost_07_70,d_ex_observationpost_07,Monologue,,,Locale_SuddenStory:d_ex_observationpost_07_70,False,,,,,13,idle,,12,12,1.0,,sfx_scn_autodooropen,,,,,,
d_ex_observationpost_07_71,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_71,True,,,,,13,sad,,12,12,1.0,,,,,,,,
d_ex_observationpost_07_72,d_ex_observationpost_07,Self,,,Locale_SuddenStory:d_ex_observationpost_07_72,False,,,,,13,sad,,12,12,1.0,none,,,,,,,
d_ex_observationpost_07_73,d_ex_observationpost_07,Narration,,,Locale_SuddenStory:d_ex_observationpost_07_73,False,,,,,13,idle,,black,black,1.0,,,,,,exia_c2,5,good
d_ex_observationpost_07_74,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_74,True,,,,,13,idle,,12,12,1.0,bgm_story_heynewbie,sfx_scn_autodooropen,,,,,1,good
d_ex_observationpost_07_75,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_75,True,,,,,13,idle,,12,12,1.0,,,,,,,1,good
d_ex_observationpost_07_76,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_76,True,,,,,13,idle,,12,12,1.0,,,,,,,1,good
d_ex_observationpost_07_77,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_77,True,,,,,13,idle,,12,12,1.0,,,,,,,1,good
d_ex_observationpost_07_78,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_78,True,,,,,13,idle,,12,1,1.0,,,,,,,1,good
d_ex_observationpost_07_79,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_79,True,,,,,13,idle,,1,1,1.0,,,,,,,1,good
d_ex_observationpost_07_80,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_80,True,,,,,13,idle,,1,S_10,0.6,,,,,,,1,good
d_ex_observationpost_07_81,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_81,True,,,,,13,idle,,S_10,S_10,1.0,,,,,,,1,good
d_ex_observationpost_07_82,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_82,True,,,,,13,idle,,S_10,S_100,1.0,,,,,,,1,good
d_ex_observationpost_07_83,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_83,True,,,,,13,idle,,S_100,S_100,0.6,,,,,,,1,good
d_ex_observationpost_07_84,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_84,True,,,,,13,idle,,S_100,XS_130,1.0,,,,,,,1,good
d_ex_observationpost_07_85,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_85,True,,,,,13,idle,,XS_130,XS_130,1.0,,,,,,,1,good
d_ex_observationpost_07_86,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_86,True,,,,,13,idle,,XS_130,12,1.0,,,,,,,1,idle
d_ex_observationpost_07_87,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_87,True,,,,,13,delight,,12,12,1.0,,,,,,,1,idle
d_ex_observationpost_07_88,d_ex_observationpost_07,Self,,,Locale_SuddenStory:d_ex_observationpost_07_88,False,,,,,13,delight,,12,12,1.0,,,,,,,1,idle
d_ex_observationpost_07_89,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_89,True,,,,,13,idle,,12,12,1.0,,,,,,,1,good
d_ex_observationpost_07_90,d_ex_observationpost_07,Monologue,exia_c2,,Locale_SuddenStory:d_ex_observationpost_07_90,False,,,,,13,idle,,12,S_10,1.0,,,,,,,1,good
d_ex_observationpost_07_91,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_91,True,,,,,13,idle,,S_10,S_10,1.0,,,,,,,1,good
d_ex_observationpost_07_92,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_92,True,,,,,13,idle,,S_10,S_10,1.0,,,,,,,1,good
d_ex_observationpost_07_93,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_93,True,,,,,13,idle,,S_10,S_10,1.0,,,,,,,1,good
d_ex_observationpost_07_94,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_94,True,,,,,13,idle,,XS_1300,XS_1300,1.0,,,,,,,1,good
d_ex_observationpost_07_95,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_95,True,,,,,13,idle,,XS_1300,XS_130,1.0,,,,,,,1,good
d_ex_observationpost_07_96,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_96,True,,,,,13,idle,,S_10,S_100,0.6,,,,,,,1,idle
d_ex_observationpost_07_97,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_97,True,,,,,13,idle,,S_100,S_100,1.0,,,,,,,1,idle
d_ex_observationpost_07_98,d_ex_observationpost_07,Self,,,Locale_SuddenStory:d_ex_observationpost_07_98,False,,,,,13,idle,,S_100,S_200,1.0,,,,,,,1,idle
d_ex_observationpost_07_99,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_99,True,,,,,13,idle,,S_200,S_100,0.6,,,,,,,1,idle
d_ex_observationpost_07_100,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_100,True,,,,,13,idle,,S_100,S_100,1.0,,,,,,,1,delight
d_ex_observationpost_07_101,d_ex_observationpost_07,Speech,exia_c2,exia_c2,Locale_SuddenStory:d_ex_observationpost_07_101,True,,,,,13,idle,,S_100,12,1.0,,,,,,,1,delight
d_ex_observationpost_07_102,d_ex_observationpost_07,Self,exia_c2,,Locale_SuddenStory:d_ex_observationpost_07_102,False,,,,,13,idle,,12,12,1.0,,,,,,,1,delight
d_ex_observationpost_07_103,d_ex_observationpost_07,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_07_103,True,,,,,13,idle,,12,12,1.0,,,,,,,1,delight
d_ex_observationpost_07_104,d_ex_observationpost_07,Monologue,signal,,Locale_SuddenStory:d_ex_observationpost_07_104,False,,,,,13,idle,,12,12,1.0,,sfx_scn_remotesignal,,,,,1,delight
