id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,speaker
d_ex_police_10_79,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_79,True,,2,2,1.0,,,3,idle,,1,idle,milk_b
d_ex_police_10_80,d_ex_police_10,Self,milk_b,Locale_SuddenStory:d_ex_police_10_80,False,,2,2,1.0,,,3,idle,,1,idle,
d_ex_police_10_81,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_81,True,,2,2,1.0,,,3,idle,,1,idle,privaty_m
d_ex_police_10_82,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_82,True,,2,2,1.0,,,3,idle,,1,idle,privaty_m
d_ex_police_10_83,d_ex_police_10,Self,privaty_m,Locale_SuddenStory:d_ex_police_10_83,False,,2,2,1.0,,,3,idle,,1,idle,
d_ex_police_10_84,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_84,True,,2,10,0.8,,,3,idle,,1,shy3,milk_b
d_ex_police_10_85,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_85,True,,10,30,0.8,,,3,shy2,,1,shy3,privaty_m
d_ex_police_10_86,d_ex_police_10,Self,privaty_m,Locale_SuddenStory:d_ex_police_10_86,False,,30,30,1.0,,,3,shy2,,1,shy3,
d_ex_police_10_87,d_ex_police_10,Speech,milk_b,Locale_SuddenStory:d_ex_police_10_87,True,,10,100,0.5,,,3,shy2,,1,shy3,milk_b
d_ex_police_10_88,d_ex_police_10,Speech,privaty_m,Locale_SuddenStory:d_ex_police_10_88,True,,30,300,0.5,,,3,shy2,,1,shy3,privaty_m
d_ex_police_10_89,d_ex_police_10,Self,privaty_m,Locale_SuddenStory:d_ex_police_10_89,False,,300,300,1.5,,,3,shy2,,1,shy3,
d_ex_police_10_90,d_ex_police_10,Monologue,privaty_m,Locale_SuddenStory:d_ex_police_10_90,False,,black,black,1.0,,,3,shy2,,1,shy3,
d_ex_police_10_91,d_ex_police_10,Monologue,privaty_m,Locale_SuddenStory:d_ex_police_10_91,False,,black,black,1.0,,,3,shy2,,1,shy3,
