id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id
d_ex_cafe_05_16,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_16,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_17,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_17,False,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_18,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_18,True,,1,idle,,3,idle,,30,30,1.0,,,,,,,,,,
d_ex_cafe_05_19,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_19,True,,1,idle,,3,idle,,10,10,1.0,,,,,,,,,,
d_ex_cafe_05_20,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_20,False,,1,idle,,3,idle,,300,300,1.0,,,,,,,,,,
d_ex_cafe_05_21,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_21,False,,1,idle,,3,idle,,100,100,1.0,,,,,,,,,,
d_ex_cafe_05_22,d_ex_cafe_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_05_22,False,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_23,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_23,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_24,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_24,True,,1,idle,,3,delight,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_25,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_25,True,,1,idle,,3,delight,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_26,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_26,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_27,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_27,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_28,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_28,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_29,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_29,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_30,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_30,True,,1,idle,,3,delight,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_31,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_31,True,,1,idle,,3,delight,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_32,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_32,True,,1,idle,,3,delight,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_33,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_33,True,,1,idle,,3,delight,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_34,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_34,False,,1,idle,,3,idle,,31,100,1.0,,,,,,,,,,
d_ex_cafe_05_35,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_35,True,,1,idle,,3,idle,,100,10,1.0,,,,,,,,,,
d_ex_cafe_05_36,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_36,True,,1,idle,,3,idle,,10,30,1.0,,,,,,,,,,
d_ex_cafe_05_37,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_37,False,,1,idle,,3,idle,,30,30,1.0,,,,,,,,,,
d_ex_cafe_05_38,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_38,False,,1,idle,,3,idle,,30,30,1.0,,d_ex_cafe_05_40,,,,,,,,
d_ex_cafe_05_39,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_39,False,,1,idle,,3,idle,,30,30,1.0,,d_ex_cafe_05_40,,,,,,,,
d_ex_cafe_05_40,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_40,True,,1,idle,,3,delight,,30,300,1.0,,,,,,,,,,
d_ex_cafe_05_41,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_41,True,,1,idle,,3,delight,,300,300,1.0,,,,,,,,,,
d_ex_cafe_05_42,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_42,False,,1,idle,,3,idle,,300,3,1.0,,,sfx_scn_putdown,,,,,,,
d_ex_cafe_05_43,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_43,False,,1,idle,,3,idle,,3,3,1.0,,,sfx_scn_fillacup,,,,,,,
d_ex_cafe_05_44,d_ex_cafe_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_05_44,False,,1,idle,,3,idle,,3,3,1.0,,,,,,,,,,
d_ex_cafe_05_45,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_45,True,,1,idle,,3,idle,,3,300,2.0,,,,,,,,,,
d_ex_cafe_05_46,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_46,False,,1,idle,,3,idle,,300,300,1.0,,,,,,,,,,
d_ex_cafe_05_47,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_47,False,,1,idle,,3,idle,,300,300,1.0,,,,,,,,,,
d_ex_cafe_05_48,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_48,True,,1,idle,,3,idle,,300,31,1.0,,,,,,,,,,
d_ex_cafe_05_49,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_49,False,,1,idle,,3,idle,,31,31,1.0,,d_ex_cafe_05_51,,,,,,,,
d_ex_cafe_05_50,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_50,False,,1,idle,,3,idle,,31,31,1.0,,d_ex_cafe_05_51,,,,,,,,
d_ex_cafe_05_51,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_51,True,,1,delight,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_52,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_52,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_53,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_53,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_54,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_54,False,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_55,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_55,True,,1,idle,,3,idle,,31,5,1.0,,,,sugar,5,idle,,,,
d_ex_cafe_05_56,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_56,False,,1,idle,,3,idle,,5,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_57,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_57,True,,1,idle,,3,idle,,XS_50,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_58,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_58,False,,1,idle,,3,idle,,XS_50,XS_50,1.0,,d_ex_cafe_05_60,,,5,idle,,,,
d_ex_cafe_05_59,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_59,False,,1,idle,,3,idle,,XS_50,XS_50,1.0,,d_ex_cafe_05_60,,,5,idle,,,,
d_ex_cafe_05_60,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_60,True,,1,idle,,3,idle,,XS_50,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_61,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_61,True,,1,idle,,3,idle,,XS_50,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_62,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_62,True,,1,idle,,3,idle,,XS_50,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_63,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_63,True,,1,idle,,3,idle,,XS_50,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_64,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_64,True,,1,idle,,3,idle,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_65,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_65,True,,1,idle,,3,idle,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_66,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_66,True,,1,idle,,3,idle,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_67,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_67,True,,1,idle,,3,idle,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_68,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_68,True,,1,idle,,3,idle,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_69,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_69,False,,1,idle,,3,idle,,53,30,1.0,,,sfx_scn_putdown,,5,idle,,,,
d_ex_cafe_05_70,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_70,False,,1,idle,,3,idle,,30,30,1.0,,,sfx_scn_fillacup,,5,idle,,,,
d_ex_cafe_05_71,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_71,False,,1,idle,,3,idle,,30,3,1.0,,,sfx_scn_glasstable,,5,idle,,,,
d_ex_cafe_05_72,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_72,True,,1,idle,,3,idle,,3,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_73,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_73,True,,1,idle,,3,idle,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_74,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_74,True,,1,idle,,3,idle,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_75,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_75,False,,1,idle,,3,idle,,53,XS_500,2.0,,,,,5,idle,,,,
d_ex_cafe_05_76,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_76,True,,1,idle,,3,idle,,XS_500,XS_500,1.0,,,,,5,idle,,,,
d_ex_cafe_05_77,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_77,True,,1,idle,,3,idle,,XS_500,XS_500,1.0,,,,,5,idle,,,,
d_ex_cafe_05_78,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_78,True,,1,idle,,3,idle,,XS_500,XS_500,1.0,,,,,5,idle,,,,
d_ex_cafe_05_79,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_79,False,,1,idle,,3,idle,,XS_500,XS_500,1.0,,,,,5,idle,,,,
d_ex_cafe_05_80,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_80,True,,1,idle,,3,idle,,XS_500,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_81,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_81,True,,1,idle,,3,idle,,XS_50,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_82,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_82,False,,1,idle,,3,idle,,53,53,1.0,,,,,5,idle,black,,,
d_ex_cafe_05_83,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_83,True,,1,idle,,3,surprise,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_84,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_84,True,,1,idle,,3,surprise,,53,31,1.0,,,,,5,idle,,,,
d_ex_cafe_05_85,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_85,True,,1,idle,,3,idle,,31,53,1.0,,,,,5,delight,,,,
d_ex_cafe_05_86,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_86,False,,1,idle,,3,idle,,53,53,1.0,,d_ex_cafe_05_89,,,5,delight,,,,
d_ex_cafe_05_87,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_87,False,,1,idle,,3,idle,,53,53,1.0,,d_ex_cafe_05_88,,,5,delight,,,,
d_ex_cafe_05_88,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_88,True,,1,idle,,3,idle,,53,30,1.0,,d_ex_cafe_05_89,,,5,idle,,,,
d_ex_cafe_05_89,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_89,False,,1,idle,,3,idle,,30,300,1.0,,,,,5,idle,,,,
d_ex_cafe_05_90,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_90,False,,1,idle,,3,surprise,,300,30,1.0,,,,,5,idle,,,,
d_ex_cafe_05_91,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_91,False,,1,idle,,3,surprise,,30,300,1.0,,,,,5,idle,,,,
d_ex_cafe_05_92,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_92,False,,1,idle,,3,surprise,,300,30,1.0,,,,,5,idle,,,,
d_ex_cafe_05_93,d_ex_cafe_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_05_93,False,,1,idle,,3,angry,,30,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_94,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_94,False,,1,idle,,3,angry,,53,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_95,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_95,True,,1,idle,,3,angry,,53,53,1.0,,,,,5,delight,,,,
d_ex_cafe_05_96,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_96,True,,1,idle,,3,angry,,53,XS_500,1.0,,,,,5,delight,,,,
d_ex_cafe_05_97,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_97,False,,1,idle,,3,angry,,XS_500,XS_500,1.0,,,,,5,delight,,,,
d_ex_cafe_05_98,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_98,True,,1,idle,,3,angry,,XS_500,XS_500,1.0,,,,,5,delight,,,,
d_ex_cafe_05_99,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_99,True,,1,idle,,3,angry,,XS_500,XS_500,1.0,,,,,5,delight,,,,
d_ex_cafe_05_100,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_100,False,,1,idle,,3,angry,,30,3,0.5,,,sfx_scn_glasstable,,5,delight,,,,
d_ex_cafe_05_101,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_101,True,,1,idle,,3,angry,,3,3,1.0,,,,,5,idle,,,,
d_ex_cafe_05_102,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_102,True,,1,idle,,3,angry,,3,3,1.0,,,,,5,idle,,,,
d_ex_cafe_05_103,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_103,True,,1,idle,,3,angry,,3,3,1.0,,,,,5,idle,,,,
d_ex_cafe_05_104,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_104,True,,1,idle,,3,angry,,3,53,1.0,,,,,5,idle,,,,
d_ex_cafe_05_105,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_105,False,,1,idle,,3,angry,,53,XS_500,1.0,,,,,5,idle,,,,
d_ex_cafe_05_106,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_106,True,,1,idle,,3,angry,,XS_500,XS_500,1.0,,,,,5,idle,,,,
d_ex_cafe_05_107,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_107,True,,1,delight,,3,angry,,10,10,1.0,,,,,5,idle,,,,
d_ex_cafe_05_108,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_108,True,,1,idle,,3,angry,,10,10,1.0,,,,,5,idle,,,,
d_ex_cafe_05_109,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_109,True,,1,idle,,3,angry,,XS_50,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_110,d_ex_cafe_05,Speech,sugar,sugar,Locale_SuddenStory:d_ex_cafe_05_110,True,,1,idle,,3,angry,,XS_50,XS_50,1.0,,,,,5,idle,,,,
d_ex_cafe_05_111,d_ex_cafe_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_05_111,False,,1,idle,,3,angry,,XS_50,31,1.0,,,,,5,idle,,sugar,,
d_ex_cafe_05_112,d_ex_cafe_05,Narration,Narration,Narration,Locale_SuddenStory:d_ex_cafe_05_112,False,,1,idle,,3,angry,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_113,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_113,True,,1,idle,,3,angry,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_114,d_ex_cafe_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_05_114,False,,1,idle,,3,angry,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_115,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_115,True,,1,idle,,3,angry,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_116,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_116,True,,1,idle,,3,angry,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_117,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_117,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_118,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_118,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_119,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_119,False,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,ludmilla,sakura
d_ex_cafe_05_120,d_ex_cafe_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_05_120,False,,,,,,,none,black,black,1.0,,,,,,,,,,
