id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_elevator_05_62,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_62,False,,10,10,1.0,,,,,1,delight,,,,,,,
d_ex_elevator_05_63,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_63,False,,10,10,1.0,,,,,1,delight,,,,,,,
d_ex_elevator_05_64,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_64,False,,10,10,1.0,,,,,1,angry,,sfx_scn_aim,,,,,
d_ex_elevator_05_65,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_65,False,,10,100,1.0,,,,,1,angry,,,,,,,
d_ex_elevator_05_66,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_66,False,,100,100,1.0,,,,,1,angry,,,,,,,
d_ex_elevator_05_67,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_67,True,,100,100,1.0,,rosanna,rosanna,,1,good,,,,,,,
d_ex_elevator_05_68,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_68,True,,100,100,1.0,,rosanna,rosanna,,1,good,,,,,,,
d_ex_elevator_05_69,d_ex_elevator_05,Choice,Locale_SuddenStory:d_ex_elevator_05_69,False,,100,100,1.0,,,,,1,good,d_ex_elevator_05_71,,,,,,
d_ex_elevator_05_70,d_ex_elevator_05,Choice,Locale_SuddenStory:d_ex_elevator_05_70,False,,100,100,1.0,,,,,1,good,d_ex_elevator_05_71,,,,,,
d_ex_elevator_05_71,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_71,False,,100,100,1.0,,,,,1,good,,,,,,,
d_ex_elevator_05_72,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_72,True,,100,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_73,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_73,True,,10,10,1.0,,rosanna,rosanna,,1,idle,,,,,,,
d_ex_elevator_05_74,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_74,True,,10,10,1.0,,rosanna,rosanna,,1,angry,,,,,,,
d_ex_elevator_05_75,d_ex_elevator_05,Narration,Locale_SuddenStory:d_ex_elevator_05_75,False,,black,black,1.0,none,,,,1,angry,,sfx_scn_autodooropen,,,,,
d_ex_elevator_05_76,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_76,False,,black,black,1.0,,,,,1,idle,,,,,,,
d_ex_elevator_05_77,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_77,True,,30,30,1.0,,centi,centi,,1,idle,,,,centi,3,idle,
d_ex_elevator_05_78,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_78,False,,30,30,1.0,,,,,1,idle,,,,,3,idle,
d_ex_elevator_05_79,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_79,False,,30,30,1.0,bgm_story_herecomestrouble,,,,1,idle,,,,,3,idle,
d_ex_elevator_05_80,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_80,False,,30,30,1.0,,,,,1,idle,,,,,3,idle,
d_ex_elevator_05_81,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_81,True,,30,30,1.0,,centi,centi,,1,idle,,,,,3,idle,
d_ex_elevator_05_82,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_82,True,,30,30,1.0,,centi,centi,,1,idle,,,,,3,surprise,
d_ex_elevator_05_83,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_83,True,,30,30,1.0,,centi,centi,,1,idle,,,,,3,surprise,
d_ex_elevator_05_84,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_84,True,,30,30,1.0,,centi,centi,,1,idle,,,,,3,surprise,
d_ex_elevator_05_85,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_85,True,,30,31,1.0,,rosanna,rosanna,,1,idle,,,,,3,surprise,
d_ex_elevator_05_86,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_86,False,,31,31,1.0,,,,,1,idle,,,,,3,surprise,
d_ex_elevator_05_87,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_87,True,,31,31,1.0,,rosanna,rosanna,,1,idle,,,,,3,surprise,
d_ex_elevator_05_88,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_88,True,,31,31,1.0,,centi,centi,,1,idle,,,,,3,idle,
d_ex_elevator_05_89,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_89,True,,31,31,1.0,,rosanna,rosanna,,1,angry,,,,,3,idle,
d_ex_elevator_05_90,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_90,True,,31,31,1.0,,centi,centi,,1,angry,,,,,3,idle,
d_ex_elevator_05_91,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_91,False,,31,31,1.0,,,,,1,angry,,,,,3,idle,
d_ex_elevator_05_92,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_92,True,,31,31,1.0,,centi,centi,,1,angry,,,,,3,idle,
d_ex_elevator_05_93,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_93,False,,31,31,1.0,,rosanna,rosanna,,1,angry,,,,,3,idle,
d_ex_elevator_05_94,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_94,False,,31,31,1.0,,,,,1,angry,,,,,3,idle,
d_ex_elevator_05_95,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_95,True,,31,L_30,1.0,,centi,centi,,1,angry,,,,,3,surprise,
d_ex_elevator_05_96,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_96,True,,L_30,L_30,1.0,,centi,centi,,1,angry,,,,,3,surprise,
d_ex_elevator_05_97,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_97,False,,L_30,L_30,1.0,,,,,1,angry,,,,,3,surprise,
d_ex_elevator_05_98,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_98,True,,L_30,L_30,1.0,,centi,centi,,1,angry,,,,,3,delight,
d_ex_elevator_05_99,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_99,True,,L_30,L_30,1.0,,centi,centi,,1,angry,,,,,3,delight,
d_ex_elevator_05_100,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_100,False,,L_30,10,2.0,,rosanna,rosanna,,1,angry,,,,,3,delight,centi
d_ex_elevator_05_101,d_ex_elevator_05,Choice,Locale_SuddenStory:d_ex_elevator_05_101,False,,10,10,1.0,,,,,1,angry,d_ex_elevator_05_103,,,,,,
d_ex_elevator_05_102,d_ex_elevator_05,Choice,Locale_SuddenStory:d_ex_elevator_05_102,False,,10,10,1.0,,,,,1,angry,d_ex_elevator_05_103,,,,,,
d_ex_elevator_05_103,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_103,True,,10,100,1.0,,rosanna,rosanna,,1,good,,,,,,,
d_ex_elevator_05_104,d_ex_elevator_05,Self,Locale_SuddenStory:d_ex_elevator_05_104,False,,100,100,1.0,,,,,1,good,,,,,,,
d_ex_elevator_05_105,d_ex_elevator_05,Speech,Locale_SuddenStory:d_ex_elevator_05_105,True,,100,100,1.0,,rosanna,rosanna,,1,good,,,,,,,
d_ex_elevator_05_106,d_ex_elevator_05,Monologue,Locale_SuddenStory:d_ex_elevator_05_106,False,,black,black,1.0,,,,,1,good,,,,,,,
