id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_13_05_s_11,d_main_13_05_s,Speech,anis,anis,Locale_MainScenario:d_main_13_05_s_11,True,,3,angry,,1,worry,,13,surprise,,9,idle,,7,pain,,5,surprise,,3,30,0.5,,,,,,,
d_main_13_05_s_12,d_main_13_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_s_12,True,,3,angry,,1,worry,,13,surprise,,9,idle,,7,pain,,5,surprise,,30,10,2.0,,,,,,,
d_main_13_05_s_13,d_main_13_05_s,Self,rapi,,Locale_MainScenario:d_main_13_05_s_13,True,,3,angry,,1,worry,,13,idle,,9,idle,,7,pain,,5,surprise,,10,10,1.0,,,,,,,
d_main_13_05_s_14,d_main_13_05_s,Speech,soline,soline,Locale_MainScenario:d_main_13_05_s_14,True,,3,void,,1,idle,,13,idle,,9,idle,,7,angry,,5,idle,,S_70,S_70,1.0,,,,,,,
d_main_13_05_s_15,d_main_13_05_s,Speech,brid,brid,Locale_MainScenario:d_main_13_05_s_15,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,S_70,8,1.0,,,,,,,
d_main_13_05_s_16,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_16,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,delight,,8,5,2.0,,,,,,,
d_main_13_05_s_17,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_17,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,5,50,1.0,,,,,,,
d_main_13_05_s_18,d_main_13_05_s,Speech,neon,neon,Locale_MainScenario:d_main_13_05_s_18,True,,3,void,,1,idle,,13,delight,,9,idle,,7,idle,,5,idle,,S_130,S_130,1.0,,,,,,,
d_main_13_05_s_19,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_19,True,,3,void,,1,idle,,13,delight,,9,idle,,7,idle,,5,delight,,50,50,1.0,,,,,,,
d_main_13_05_s_20,d_main_13_05_s,Speech,anis,anis,Locale_MainScenario:d_main_13_05_s_20,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,50,4,1.0,,,,,,,
d_main_13_05_s_21,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_21,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,4,4,1.0,,,,,,,
d_main_13_05_s_22,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_22,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,4,4,1.0,,,,,,,
d_main_13_05_s_23,d_main_13_05_s,Speech,brid,brid,Locale_MainScenario:d_main_13_05_s_23,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,L_90,L_90,1.0,,,,,,,
d_main_13_05_s_24,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_24,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,50,50,1.0,,,,,,,
d_main_13_05_s_25,d_main_13_05_s,Speech,brid,brid,Locale_MainScenario:d_main_13_05_s_25,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,L_90,L_900,0.5,bgm_emergency,,,,,,
d_main_13_05_s_26,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_26,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,surprise,,50,500,2.0,,,,,,,
d_main_13_05_s_27,d_main_13_05_s,Narration,diesel,,Locale_MainScenario:d_main_13_05_s_27,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,surprise,,500,500,1.0,,,,,,,
d_main_13_05_s_28,d_main_13_05_s,Speech,anis,anis,Locale_MainScenario:d_main_13_05_s_28,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,surprise,,30,30,1.0,,,,,,,
d_main_13_05_s_29,d_main_13_05_s,Speech,shifty,shifty,Locale_MainScenario:d_main_13_05_s_29,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,surprise,,30,30,1.0,,,,shifty,OP_leftup,idle,
d_main_13_05_s_30,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_30,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,delight,,30,4,1.0,,,,,OP_leftup,idle,shifty
d_main_13_05_s_31,d_main_13_05_s,Narration,diesel,,Locale_MainScenario:d_main_13_05_s_31,True,,3,void,,1,idle,,13,idle,,9,idle,,7,idle,,5,idle,,4,4,1.0,,,Low_2,,,,
d_main_13_05_s_32,d_main_13_05_s,Speech,brid,brid,Locale_MainScenario:d_main_13_05_s_32,True,,3,void,,1,idle,,13,idle,,9,angry,,7,idle,,5,idle,,L_90,L_90,1.0,,,,,,,
d_main_13_05_s_33,d_main_13_05_s,Speech,diesel,diesel,Locale_MainScenario:d_main_13_05_s_33,True,,3,void,,1,idle,,13,idle,,9,angry,,7,idle,,5,worry,,6,6,1.0,,,,,,,
d_main_13_05_s_34,d_main_13_05_s,Speech,soline,soline,Locale_MainScenario:d_main_13_05_s_34,True,,3,void,,1,idle,,13,idle,,9,angry,,7,angry,,5,worry,,6,6,1.0,,,,,,,
d_main_13_05_s_35,d_main_13_05_s,Speech,brid,brid,Locale_MainScenario:d_main_13_05_s_35,True,,3,void,,1,idle,,13,idle,,9,angry,,7,idle,,5,worry,,6,8,1.0,,,,,,,
d_main_13_05_s_36,d_main_13_05_s,Speech,rapi,rapi,Locale_MainScenario:d_main_13_05_s_36,True,,3,void,,1,idle,,13,idle,,9,angry,,7,idle,,5,idle,,10,10,1.0,,,,,,,
