id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,speaker,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_32_af_01_36,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_36,True,,1315,1315,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_37,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_37,False,,1315,1315,1.0,,,,,,anis,,,,13,worry,,15,idle
d_main_32_af_01_38,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_38,True,,1315,13,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_39,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_39,True,,13,13,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_40,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_40,True,,13,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_41,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_41,True,,130,S_150,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_42,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_42,True,,S_150,S_150,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_43,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_43,False,,S_150,S_150,1.0,,,,,,neon,,,,13,worry,,15,idle
d_main_32_af_01_44,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_44,True,,S_150,S_150,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_45,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_45,True,,S_150,S_150,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_46,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_46,True,,S_150,S_150,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_47,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_47,True,,S_150,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_48,d_main_32_af_01,Monologue,Locale_MainScenario:d_main_32_af_01_48,False,,130,130,1.0,,,,,,anis,,,,13,worry,,15,idle
d_main_32_af_01_49,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_49,False,,130,130,1.0,,,,,,anis,,,,13,worry,,15,idle
d_main_32_af_01_50,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_50,True,,130,1300,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_51,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_51,True,,1300,1300,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_52,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_52,True,,1300,1300,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_53,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_53,True,,1300,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_54,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_54,True,,130,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_55,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_55,True,,130,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_56,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_56,True,,130,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_57,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_57,False,,130,130,1.0,,,,,,anis,,,,13,worry,,15,idle
d_main_32_af_01_58,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_58,False,,130,130,1.0,,,,,,anis,,,,13,worry,,15,idle
d_main_32_af_01_59,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_59,True,,130,S_150,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_60,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_60,True,,S_150,S_150,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_61,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_61,True,,S_150,S_150,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_62,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_62,False,,S_150,S_150,1.0,,,,,,neon,,,,13,worry,,15,idle
d_main_32_af_01_63,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_63,False,,S_150,S_150,1.0,,,,,,neon,,,,13,worry,,15,idle
d_main_32_af_01_64,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_64,True,,S_150,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_65,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_65,True,,130,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_66,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_66,True,,130,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_67,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_67,True,,130,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_68,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_68,True,,130,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_69,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_69,False,,130,130,1.0,,,,,,anis,,,,13,worry,,15,idle
d_main_32_af_01_70,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_70,True,,130,130,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_71,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_71,True,,130,1315,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_72,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_72,True,,1315,1315,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_73,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_73,False,,1315,1315,1.0,,,,,,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_74,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_74,True,,1315,1315,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_75,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_75,True,,1315,1315,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_76,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_76,True,,1315,1315,1.0,,,,,,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_77,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_77,False,,1315,1315,1.0,,,,,,anis,,,,13,worry,,15,idle
d_main_32_af_01_78,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_78,False,,1315,1315,1.0,,,cinderella,1,idle,anis,,,,13,worry,,15,idle
d_main_32_af_01_79,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_79,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,idle
d_main_32_af_01_80,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_80,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,idle
d_main_32_af_01_81,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_81,True,,130,130,1.0,,,,1,idle,anis,anis,,,13,worry,,15,idle
d_main_32_af_01_82,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_82,False,,S_150,S_150,1.0,,,,1,idle,neon,neon,,,13,worry,,15,idle
d_main_32_af_01_83,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_83,False,,S_10,S_10,1.0,,,,1,idle,cinderella,,,,13,worry,,15,idle
d_main_32_af_01_84,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_84,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,idle
d_main_32_af_01_85,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_85,True,,S_10,S_100,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,idle
d_main_32_af_01_86,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_86,True,,S_100,S_100,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,idle
d_main_32_af_01_87,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_87,False,,S_100,S_100,1.0,,,,1,idle,cinderella,,,,13,worry,,15,idle
d_main_32_af_01_88,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_88,True,,S_100,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,idle
d_main_32_af_01_89,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_89,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,worry
d_main_32_af_01_90,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_90,False,,S_10,130,1.0,,,,1,idle,anis,anis,,,13,worry,,15,worry
d_main_32_af_01_91,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_91,False,,130,S_150,1.0,,,,1,idle,neon,neon,,,13,worry,,15,worry
d_main_32_af_01_92,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_92,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,worry
d_main_32_af_01_93,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_93,False,,S_10,S_10,1.0,,,,1,idle,cinderella,,,,13,worry,,15,worry
d_main_32_af_01_94,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_94,True,,S_10,130,1.0,,,,1,idle,anis,anis,,,13,worry,,15,worry
d_main_32_af_01_95,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_95,True,,130,S_150,1.0,,,,1,idle,neon,neon,,,13,worry,,15,worry
d_main_32_af_01_96,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_96,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,worry
d_main_32_af_01_97,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_97,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,worry
d_main_32_af_01_98,d_main_32_af_01,Self,Locale_MainScenario:d_main_32_af_01_98,False,,S_10,S_10,1.0,,,,1,idle,cinderella,,,,13,worry,,15,worry
d_main_32_af_01_99,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_99,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,worry
d_main_32_af_01_100,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_100,True,,S_10,S_10,1.0,,,,1,idle,cinderella,cinderella,,,13,worry,,15,worry
d_main_32_af_01_101,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_101,False,,S_10,130,1.0,,,,1,idle,anis,anis,,,13,worry,,15,worry
d_main_32_af_01_102,d_main_32_af_01,Speech,Locale_MainScenario:d_main_32_af_01_102,True,,130,1300,1.0,,,,1,idle,anis,anis,,,13,worry,,15,worry
