id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_ex_clothingstore_02_60,d_ex_clothingstore_02,Self,,,Locale_SuddenStory:d_ex_clothingstore_02_60,False,,31,31,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_61,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_61,True,,31,31,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_62,d_ex_clothingstore_02,Speech,mica,mica,Locale_SuddenStory:d_ex_clothingstore_02_62,True,,31,31,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_63,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_63,True,,31,113,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_64,d_ex_clothingstore_02,Self,,,Locale_SuddenStory:d_ex_clothingstore_02_64,False,,113,113,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_65,d_ex_clothingstore_02,Speech,belorta,belorta,Locale_SuddenStory:d_ex_clothingstore_02_65,True,,113,113,0.5,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_66,d_ex_clothingstore_02,Speech,mica,mica,Locale_SuddenStory:d_ex_clothingstore_02_66,True,,XS_30,XS_30,0.5,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_67,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_67,True,,S_130,S_130,0.5,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_68,d_ex_clothingstore_02,Self,,,Locale_SuddenStory:d_ex_clothingstore_02_68,False,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle,,,
d_ex_clothingstore_02_69,d_ex_clothingstore_02,Narration,,,Locale_SuddenStory:d_ex_clothingstore_02_69,False,,S_130,S_130,1.0,none,,sfx_scn_doorclose,,1,idle,,13,idle,,3,idle,ludmilla,15,idle
d_ex_clothingstore_02_70,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_70,False,,S_130,S_130,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_71,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_71,False,,S_130,1315,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_72,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_72,True,,1315,1315,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_73,d_ex_clothingstore_02,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_02_73,False,,1315,150,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_74,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_74,False,,150,150,1.0,bgm_story_herecomestrouble,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_75,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_75,True,,150,150,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_76,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_76,True,,150,150,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_77,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_77,False,,150,150,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_78,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_78,False,,150,1500,2.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_79,d_ex_clothingstore_02,Choice,,,Locale_SuddenStory:d_ex_clothingstore_02_79,False,,1500,1500,1.0,,d_ex_clothingstore_02_81,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_80,d_ex_clothingstore_02,Choice,,,Locale_SuddenStory:d_ex_clothingstore_02_80,False,,1500,1500,1.0,,d_ex_clothingstore_02_82,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_81,d_ex_clothingstore_02,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_02_81,True,,1500,1500,1.0,,d_ex_clothingstore_02_83,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_82,d_ex_clothingstore_02,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_02_82,True,,1500,1500,1.0,,d_ex_clothingstore_02_83,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_83,d_ex_clothingstore_02,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_02_83,True,,1500,1315,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_84,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_84,True,,1315,1315,0.5,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_85,d_ex_clothingstore_02,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_02_85,True,,1315,1315,0.5,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_86,d_ex_clothingstore_02,Speech,alice,alice,Locale_SuddenStory:d_ex_clothingstore_02_86,True,,1315,1315,0.5,,,,,1,idle,,13,delight,,3,idle,,15,idle
d_ex_clothingstore_02_87,d_ex_clothingstore_02,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_clothingstore_02_87,True,,1315,1315,0.5,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_88,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_88,False,,1315,1315,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
d_ex_clothingstore_02_89,d_ex_clothingstore_02,Monologue,,,Locale_SuddenStory:d_ex_clothingstore_02_89,False,,black,black,1.0,,,,,1,idle,,13,idle,,3,idle,,15,idle
